"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","476029","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Janusia","schwannioides","Janusia schwannioides","W.R.Anderson","A. M. Amorim","A. M. V. de Carvalho","3772","1992","02","19","South America","Brazil","Bahia","Caetité","Ramal a 29 km na estrada Caetité/Brumado. Ca. 3 kms ramal adentro","-42.47","-14.06","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476029","NY00476029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","71330","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Janusia","schwannioides","Janusia schwannioides","W.R.Anderson",NA,"W. R. Anderson","11748","1976","03","07","South America","Brazil","Bahia",NA,"Caatinga 1.5 km NW of Lagoinha (which is 5 km southwest of Delfino) to Minas do Mimoso.","-41.27","-10.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721106' target='other'> <mi>dwc_moreinfo</mi></a>","NY00071330","NY00071330_01","isotype","640","640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476028","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Janusia","schwannioides","Janusia schwannioides","W.R.Anderson","W. R. Anderson","S. A. Mori","9517","1978","03","05","South America","Brazil","Bahia","Poçoes","Km 10 da estrada que liga Poçoes (BR-116) ao povoado de Bom Jesus da Serra (ao W de Poçoes)","-40.3653","-14.5297","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476028",NA,NA,"750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01873571","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Janusia","schwannioides","Janusia schwannioides","W.R.Anderson","W. R. Anderson","A. M. Amorim","2181","1998","01","27","South America","Brazil","Bahia","Seabra","Distrito de Bebedouro. Coletas ca. 12 km a partir do ramal que leva ao Distrito","-41.7703","-12.4186","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708136' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873571","NY01873571_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","777903","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Janusia","schwannioides","Janusia schwannioides","W.R.Anderson",NA,"W. R. Anderson","12514","1982","03","08","South America","Brazil","Bahia","Poçoes","2.5 km W of Pocoes on road to bon Jesus da Serra","-40.3653","-14.5297","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777903","NY00777903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-19 15:44:21-03","UNEB","HUNEB","1350","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Janusia","schwannioides","Janusia schwannioides","W.Anderson",NA,"Melo, E.de","26510","1997","02","23",NA,"Brasil","Bahia","Iaçu","Morro da garrafa.","-39.856667","-12.755",NA,"Piedmont arbustivo.","HUNEB0001350",NA,NA,"275","275","Dicotyledoneae","39W51'24''","12S45'18''",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-19 15:44:21-03","UNEB","HUNEB","7517","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Janusia","schwannioides","Janusia schwannioides","W.Anderson",NA,"França, F.","1614","1996","04","21",NA,"Brasil","Bahia","Itatim","Morro do Agenor","-39.7","-12.716667",NA,NA,"HUNEB0007517",NA,NA,"580","580","Dicotyledoneae","39W42'0''","12S43'0''",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:19:05-03","UFBA","ALCB","07310","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Janusia","schwannioides","Janusia schwannioides","W.R.Anderson","Sebastiani, R","Queiroz, LP de; Guedes, ML","69","1981","01","20","Southern America","Brasil","Bahia","Maracás","Sudoeste, fazenda Tanquinho","-40.416667","-13.433333",NA,"pilosa com flores amarelas, pétalas fimbriadas em umbelas axilares. Fruto sâmara.","ALCB041081",NA,NA,NA,NA,NA,"-40.416667","-13.433333","2009","10",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:19:05-03","UFBA","ALCB","56581","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Janusia","schwannioides","Janusia schwannioides","W.R.Anderson","Amorim, AMA; Carvalho, PD","Guedes, ML; Santana, DL; Loureiro, DM; Alves, L. de J.","9321","2001","08","14","Southern America","Brasil","Bahia","Cravolândia","Sudoeste, Assentamento Palestina","-39.820278","-13.423056",NA,"Pubescente. Folhas cartáceas, discolores, face adaxial verde intenso e a abaxial pubescente. Frutos samâras imaturos verdes, com alas vináceas.","ALCB041085",NA,NA,NA,NA,NA,"-39.820278","-13.423056","2005","12",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:19:05-03","UFBA","ALCB","75578","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Janusia","schwannioides","Janusia schwannioides","W.R.Anderson","Sebastiani, R","Guedes, ML; Rigueira, D; Alunos de Botânica III","12958","2006","12","09","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Ventura","-41.018056","-11.671667",NA,"Herbácea. Folhas membranáceas, discolores, vilosa na face abaxial. Flores com pétalas amarelas.","ALCB041084",NA,NA,NA,NA,NA,"-41.018056","-11.671667","2009","12","19",NA,NA,NA,NA,NA
