"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","fieldNumber","preparationType","individualCount","dayIdentified"
"1","2020-12-20 21:15:45-03","UFV","VIC","052887","PreservedSpecimen","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Escaramai, M.","46","2012","02","08","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Bifurcação da MG 10 para Morro do pilar,afloramento rochoso.","-43.7144012451172","-19.1688995361328","26557","Arbusto de folhas verde escuro e brilhantes ,brácteas e flores amarelas.","VIC052887","VIC052887","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:15:45-03","UFV","VIC","052888","PreservedSpecimen","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Pirani, J.R.; Mello-Silva, R.","11330","1989","03","24","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557","Erva semi prostrada,entre gramineas. caule verde listrado de castanho,hirsuto na parte basal. invólucro verde claro lustroso. Flores liuguladas amarelo claro,as tubulosas amarelo ouro.","VIC052888","VIC052888","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:15:45-03","UFV","VIC","52888","PreservedSpecimen","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Pirani, J.R.; Mello-Silva, R.","s.n.","1989","03","24","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557","Erva. Caule verde listrado de castanho, hisruto na parte basal. Invólucro verde-claro lustroso. Flores liguladas amarelo-claro, as tubulosas amarelo-ouro.","VIC052888","VIC052888","auto","Fardin, F.","2014","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:23:34-03","UNICAMP","UEC","127883","S","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Souza, VC; Miyage, PH; Souza, JP","8202","1995","03","10","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Rod. Belo Horizonte-Conceição do Mato Dentro, ca. 18 Km após Chapeu de Sol. Fazenda Cachoeira da Capivara","-43.545611","-19.249972",NA,"Erva, até 1m alt.; capítulos amarelos; Entre rochas","UEC120523","UEC120523",NA,NA,NA,NA,"Magnoliopsida","-43.545611","-19.249972","1300","1300",NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:23:34-03","UNICAMP","UEC","2494","S","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Joly, AB; Semir, J; Ugadim, Y","348","1970","06","08","Brazil","Minas Gerais","Jaboticatubas","entre km 137-138 da rodovia Lagoa Santa-Conceição do Matao Dentro-Diamantina","-43.7449989318848","-19.513599395752","31264","inflorescência amarela, arbusto ca. 70cm","UEC029037","UEC029037","auto","Pruski, JF","1988",NA,"Magnoliopsida",NA,NA,"1240","1240","paratypus",NA,NA,NA,NA,NA
"6","2021-03-01 16:23:34-03","UNICAMP","UEC","2482","S","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Joly, AB; Semir, J; Joly, AM; Martins, F","2452","1972","05","29","Brazil","Minas Gerais","Jaboticatubas","km 128 ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina","-43.7449989318848","-19.513599395752","31264","subarbusto 70cm, capítulos amarelos","UEC029026","UEC029026","auto","Pruski, JF","1988",NA,"Magnoliopsida",NA,NA,NA,NA,"paratypus",NA,NA,NA,NA,NA
"7","2021-03-01 16:23:34-03","UNICAMP","UEC","2483","S","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Joly, AB; Gemtchujnicov, I; Semir, J; Giulietti, AM; Joly, AM; Martins, F","1137","1972","03","05","Brazil","Minas Gerais","Jaboticatubas","km 128 ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina","-43.7449989318848","-19.513599395752","31264","capítulos amarelos, planta 40cm","UEC029036","UEC029036","auto","Pruski, JF","1988",NA,"Magnoliopsida",NA,NA,NA,NA,"paratypus",NA,NA,NA,NA,NA
"8","2021-03-01 16:23:34-03","UNICAMP","UEC","2484","S","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Joly, AB; Semir, J; Joly, AM; Martins, F","1341","1972","03","06","Brazil","Minas Gerais","Jaboticatubas","km 132 ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina","-43.7449989318848","-19.513599395752","31264","flor amarela, planta 40cm","UEC029035","UEC029035","auto","Pruski, JF","1988",NA,"Magnoliopsida",NA,NA,NA,NA,"paratypus",NA,NA,NA,NA,NA
"9","2021-03-01 16:23:34-03","UNICAMP","UEC","2481","S","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Joly, AB; Semir, J; Joly, AM; Martins, F","2185","1972","05","27","Brazil","Minas Gerais","Jaboticatubas","km 138-9 ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina","-43.7449989318848","-19.513599395752","31264","capítulos amarelos, subarbusto 40 a 50cm","UEC029028","UEC029028","auto","Pruski, JF","1988",NA,"Magnoliopsida",NA,NA,NA,NA,"paratypus",NA,NA,NA,NA,NA
"10","2021-03-01 16:23:34-03","UNICAMP","UEC","2488","S","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Joly, AB; Semir, J; Joly, AM; Martins, F","2187","1972","05","27","Brazil","Minas Gerais","Jaboticatubas","km 138-9 ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina","-43.7449989318848","-19.513599395752","31264","capítulos amarelos mais ou menos 60cm","UEC029027","UEC029027","auto","Pruski, JF","1988",NA,"Magnoliopsida",NA,NA,NA,NA,"paratypus",NA,NA,NA,NA,NA
"11","2021-03-01 16:23:34-03","UNICAMP","UEC","2491","S","Plantae","Asteraceae","Calea","heteropappa","Calea heteropappa","Pruski & Urbatsch","Joly, AB; Sendulsky, T; Pereira, SMB; Joly, AM; Martins, F","1906","1972","04","17","Brazil","Minas Gerais","Jaboticatubas","km 139 ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina","-43.7449989318848","-19.513599395752","31264","flor amarela, subarbusto 50cm","UEC029030","UEC029030","auto","Pruski, JF","1988",NA,"Magnoliopsida",NA,NA,"1290","1290","paratypus",NA,NA,NA,NA,NA
