"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:03-03","E","E","274287","PreservedSpecimen","Plantae","Labiatae","Aegiphila","candelabrum","Aegiphila candelabrum","Pott, A.; De Barros, A.T.M.; Tomas, W.","5419","1989","11","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:284954","<a href=http://data.rbge.org.uk/herb/E00274287 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","540930","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","candelabrum","Aegiphila candelabrum","G. G. Hatschbach","19157","1968","04","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540930","Magnoliophyta","Lamiales","Briq.","H. N. Moldenke","Paraná","Marechal Cândido Rondon","Dois Irmaos","-54.0567","-24.5561","NY00540930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","533301","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","candelabrum","Aegiphila candelabrum","E. M. Francisco",NA,"2000","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533301","Magnoliophyta","Lamiales","Briq.","S. F. de Andrade","Paraná","Santo Antônio do Paraíso","Fazenda Santa Cecília do Bom Jesus, Santo Antônio do Paraíso.","-50.6456","-23.4936","NY00533301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","540931","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","candelabrum","Aegiphila candelabrum","F. C. Hoehne","4301","1911","02",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540931","Magnoliophyta","Lamiales","Briq.","H. N. Moldenke","Mato Grosso do Sul","Corumbá","Corumbá","-57.6531","-19.0094","NY00540931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","540932","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","candelabrum","Aegiphila candelabrum","E. M. Zardini","21847","1990","07","07","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540932","Magnoliophyta","Lamiales","Briq.","R. L. Liesner","Cordillera",NA,"Parque Nacional Vapor Cué. Arroyo Yaghuy","-56.67","-25.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00955482","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","G. G. Hatschbach","62151","1995","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955482","Magnoliophyta","Lamiales","Hayek","F. França","Mato Grosso do Sul","Anastácio","Rod. BR-262, 10-15km O do trevo para Anastácio","-55.8067","-20.4836","NY00955482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","540935","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","R. S. Pinheiro","1023","1971","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540935","Magnoliophyta","Lamiales","Hayek","H. N. Moldenke","Bahia","Ilhéus","Ilhéus, CEPEC","-39.2273659","-14.771874","NY00540935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","540936","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","R. P. Belém","1436","1965","08","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540936","Magnoliophyta","Lamiales","Hayek","H. N. Moldenke","Bahia","Mucuri","Fazenda Afonsópolis, margem do Rio Mucuri","-39.5506","-18.0867","NY00540936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","540938","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","R. P. Belém","1430","1965","07","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540938","Magnoliophyta","Lamiales","Hayek","H. N. Moldenke","Bahia",NA,"Rodovia Camacan - Itabuna",NA,NA,"NY00540938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","103748","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha",NA,"2314","1834",NA,NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103748","Magnoliophyta","Lamiales","Hayek",NA,"Loreto",NA,"Yurimaguas; Maynas",NA,NA,"NY00103748_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","540941","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","J. P. P. Carauta","4298","1982","06","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540941","Magnoliophyta","Lamiales","Hayek","H. N. Moldenke","Rio de Janeiro","Bom Jesus de Itabapoana","Carabuçu, Fazenda do Seu Jorge",NA,NA,"NY00540941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","540940","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","J. P. P. Carauta","3752","1981","04","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540940","Magnoliophyta","Lamiales","Hayek","H. N. Moldenke","Rio de Janeiro","Santo Antônio de Pádua","Humaitá, prope estrada para Ibitiguaçu","-42.1803","-21.5394","NY00540940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","540942","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","Illegible collector name",NA,"1892","06",NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540942","Magnoliophyta","Lamiales","Hayek","H. N. Moldenke","Santa Cruz",NA,"Yapacani",NA,NA,NA,NA,"400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1262274","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","J. G. Jardim","1884",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727800' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262274","Magnoliophyta","Lamiales","Hayek","O. Kosovsky","Bahia","Jussari","Rod. Jussari/Palmira, entrada ca 7,5 km, Fazenda Teimoso, 1.5 km E da entrada, Reserva do Patrimônio Natural (RPPN), Serra do Teimoso.","-39.58","-15.17","NY01262274_01",NA,"400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2447099","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","D. A. do Araújo","1903","2011","11","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2358014' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447099","Magnoliophyta","Lamiales","Hayek","O. Kosovsky","Pernambuco",NA,"Lagoa dos Gatos. RPPN Pedr Danta. Mata do Peru.","-35.8597","-8.6914","NY02447099_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","540937","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","L. A. Mattos Silva","407","1979","05","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540937","Magnoliophyta","Lamiales","Hayek","H. N. Moldenke","Bahia","Ilhéus","Area do CEPEC (Centro de Pesq. do Cacau), km 22 rodovia Ilhéus/Itabuna - BR 415. Quadra D, Reserva Zoobotânica","-39.22095","-14.7739696","NY00540937_01",NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","540943","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","W. A. Palacios","2656","1988","07","08","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540943","Magnoliophyta","Lamiales","Hayek","R. L. Liesner","Esmeraldas",NA,"San Lorenzo. Finca La Chiquita","-78.82","1.22",NA,NA,"80","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02350320","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","R. de Lemos Fróes","22543","1947","10","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2534347' target='other'> <mi>dwc_moreinfo</mi></a>","NY02350320","Magnoliophyta","Lamiales","Hayek",NA,"Amazonas",NA,"Rio Negro; Padauiry, Castanha.",NA,NA,"NY02350320_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","540939","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","R. P. Belém","1436","1965","08","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540939","Magnoliophyta","Lamiales","Hayek","H. N. Moldenke","Bahia","Mucuri","Fazenda Afonsópolis, margem do Rio Mucuri","-39.5506","-18.0867","NY00540939_01 NY00540939_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","540934","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","R. P. Belém","1430","1965","07","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540934","Magnoliophyta","Lamiales","Hayek","H. N. Moldenke","Bahia",NA,"Rodovia Camacan - Itabuna",NA,NA,"NY00540934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","02350323","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","R. de Lemos Fróes","26304","1950","06","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2534359' target='other'> <mi>dwc_moreinfo</mi></a>","NY02350323","Magnoliophyta","Lamiales","Hayek",NA,"Amazonas",NA,"Rio Tefé; Muguentaua.",NA,NA,"NY02350323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02350321","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","M. G. da Silva","761","1967","04","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2534348' target='other'> <mi>dwc_moreinfo</mi></a>","NY02350321","Magnoliophyta","Lamiales","Hayek",NA,"Amazonas","Anori","Solimões, próximo a embocadura do rio Purus, fazenda Braga","-61.6441993713379","-3.77277994155884","NY02350321_01",NA,NA,NA,"173293","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02350319","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha","R. de Lemos Fróes","20533","1945","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2534344' target='other'> <mi>dwc_moreinfo</mi></a>","NY02350319","Magnoliophyta","Lamiales","Hayek",NA,"Amazonas","Manaus",NA,"-60.0250015258789","-3.10193991661072","NY02350319_01",NA,NA,NA,"138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","103749","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha glabra","G. Klug","3894","1934","10",NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=586115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103749","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","San Martín",NA,"Juan Jui, Alto Río Huallaga","-76.730683","-7.179499","NY00103749_01","type","400","400",NA,NA,"glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","103749","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","chrysantha","Aegiphila chrysantha glabra","G. Klug","3894","1934","10",NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=586115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103749","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","San Martín",NA,"Juan Jui, Alto Río Huallaga","-76.730683","-7.179499","NY00103749_01","type","400","400",NA,NA,"glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","103759","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","cuspidata","Aegiphila cuspidata","Martii Herbar. Florae Brasil.","1041","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103759","Magnoliophyta","Lamiales","Mart.","Unspecified Determiner","Bahia","Ilhéus",NA,"-39.0492","-14.7892","NY00103759_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","542277","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","lanceolata","Aegiphila lanceolata","A. Löfgren","s.n.","1900","01","22","South America","Brazil","sheet",NA,"F. C. Hoehne <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542277","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","São Paulo","Sao Paulo","Horto Botanico","-46.63","-23.5403","NY00542277_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02350331","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","lanceolata","Aegiphila lanceolata","J. B. E. Pohl","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2534462' target='other'> <mi>dwc_moreinfo</mi></a>","NY02350331","Magnoliophyta","Lamiales","Moldenke",NA,NA,NA,"Rio Paranahyba.",NA,NA,"NY02350331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","542281","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","lanceolata","Aegiphila lanceolata","N. T. da Silva","399","1949","12","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542281","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","Rondônia","Porto Velho","Territorio do Guaporé. Mata do km 14 da estrada de rodagem","-63.9039","-8.76194","NY00542281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00542280","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","lanceolata","Aegiphila lanceolata","A. Macedo","2055","1949","12","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542280","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","Minas Gerais","Ituiutaba","S. Terzinha","-49.465","-18.9692","NY00542280_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","542279","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","lanceolata","Aegiphila lanceolata","G. G. Hatschbach","19047","1968","04","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450863' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542279","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","Paraná","Umuarama","Ivaté","-53.325","-23.7664","NY00542279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","542282","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","lanceolata","Aegiphila lanceolata","Bertoni","1264","1945","05","04","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542282","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","Misiones",NA,"Dep. Corpus. Puerto XII",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00955502","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","lanceolata","Aegiphila lanceolata","A. Macedo","619","1944","12","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955502","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","Minas Gerais","Ituiutaba","S. Terezinha.","-49.465","-18.9692","NY00955502_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","542276","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","lanceolata","Aegiphila lanceolata","F. C. Hoehne","s.n.","1927","05","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450866' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542276","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","São Paulo","Amparo","Amparo","-46.7597","-22.7003","NY00542276_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
