"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","662913","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","J. R. Swallen","L. B. Smith","8620","1956","12","17","South America","Brazil","Santa Catarina","Pôrto Uniao","East of Valoes (Irineópolis) on the road to Canoinhas","-51.0781","-26.2383","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662913","NY00662913_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","662910","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","J. R. Swallen","L. B. Smith","8278","1956","12","04","South America","Brazil","Santa Catarina","Curitibanos","Between Ponte Alta and Curitibanos, 5 km. from P. A.","-50.5842","-27.2831","800","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662910","NY00662910_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","662908","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","D. C. Wasshausen","L. B. Smith","15662","1971","12","05","South America","Brazil","Paraná","Palmas","8 km south of Palmas","-51.9906","-26.4844",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662908","NY00662908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","662912","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","L. B. Smith","L. B. Smith","13323","1964","11","15","South America","Brazil","Santa Catarina","Abelardo Luz","8-12 km north of Aberlado Luz","-52.33","-26.53","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662912","NY00662912_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 03:08:00-03","NY","NYBG","662915","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides",NA,NA,"E. Hassler","11377","1912",NA,NA,"South America","Paraguay","Amambay",NA,"Sierra de Amambay",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","662911","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","J. R. Swallen","R. M. Klein","3336","1962","12","06","South America","Brazil","Santa Catarina",NA,"Marombas, Curitibanos",NA,NA,"900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662911","NY00662911_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","662914","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","D. C. Wasshausen","L. B. Smith","15482","1971","11","29","South America","Brazil","Santa Catarina","Curitibanos","5 km. north of Curitibanos","-50.5842","-27.2831",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662914","NY00662914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","662905","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","E. L. Ekman","P. K. H. Dusén","10885","1910","11","29","South America","Brazil","Paraná","Ponta Grossa","Desvio Ribas","-50.1617","-25.095",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662905","NY00662905_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","662907","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","S. A. Renvoize","G. G. Hatschbach","28165","1971","12","04","South America","Brazil","Paraná","Palmas","10 km a Noroeste de Palmas","-51.9906","-26.4844",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662907","NY00662907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","662906","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"J. R. Swallen","8363","1946","01","30","South America","Brazil","Paraná",NA,"Estacao Experimental, Ponta Grossa",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662906","NY00662906_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
