"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","typeStatus","maximumElevationInMeters","minimumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:11-03","E","E","314769","PreservedSpecimen","Plantae","Labiatae","Vitex","polygama","Vitex polygama","Ratter, J.A.; Rocha, M.P. & de Castro, R.A.","1980","09","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319381","<a href=http://data.rbge.org.uk/herb/E00314769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:11-03","E","E","314768","PreservedSpecimen","Plantae","Labiatae","Vitex","polygama","Vitex polygama","Ramos, José & Sousa, R.","1905","05","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319383","<a href=http://data.rbge.org.uk/herb/E00314768 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314768","165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:11-03","E","E","314770","PreservedSpecimen","Plantae","Labiatae","Vitex","polygama","Vitex polygama","Ratter, J.A.; Bridgewater, S.; Cardoso, E.; Fonsêca, J.; de Lima, Valdir; Passon, Lucília; dos Santos, R.R. & Sanaiotti, Tânia","1993","07","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319378","<a href=http://data.rbge.org.uk/herb/E00314770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","592292","PreservedSpecimen","Plantae","Lamiaceae","Vitex","polygama","Vitex polygama","P. K. H. Dusén","1910","09","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592292","10175","Magnoliophyta","Lamiales","Cham.","P. K. H. Dusén","Paraná","Cândido de Abreu","Serra da Prata","-51.3331","-24.5669","NY00592292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00956819","PreservedSpecimen","Plantae","Lamiaceae","Vitex","polygama","Vitex polygama","E. P. Heringer","1940","11","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956819","s.n.","Magnoliophyta","Lamiales","Cham.","H. N. Moldenke","Minas Gerais",NA,"Estação Experimental de Café Coronel Pacheco.",NA,NA,"NY00956819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","138394","PreservedSpecimen","Plantae","Lamiaceae","Vitex","polygama","Vitex polygama dusenii","P. K. H. Dusén","1914","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138394","16111","Magnoliophyta","Lamiales","Moldenke",NA,"Paraná",NA,"Tacarchy",NA,NA,"NY00138394_01","dusenii","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00956825","PreservedSpecimen","Plantae","Lamiaceae","Vitex","polygama","Vitex polygama","J. Frambach","1932","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956825","110","Magnoliophyta","Lamiales","Cham.",NA,"Minas Gerais",NA,"Porto Novo",NA,NA,"NY00956825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","639112","PreservedSpecimen","Plantae","Lamiaceae","Vitex","polygama","Vitex polygama","L. B. Noffs","1977","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639112","29","Magnoliophyta","Lamiales","Cham.","C. S. Zickel; J. Y. Tamashiro","São Paulo",NA,"Capital, Parque Estadual das Fontes do Ipiranga, Jardim Botânico. Area 6 planta n° 112A","-46.618358","-23.646109","NY00639112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","592410","PreservedSpecimen","Plantae","Lamiaceae","Vitex","polygama","Vitex polygama dusenii","J. Cominote","1981","05","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592410","23","Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","Rio de Janeiro","Rio de Janeiro","Jacarepaguá, Estrada Velha da Curicica","-43.2075","-22.9031","NY00592410_01","dusenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","592269","PreservedSpecimen","Plantae","Lamiaceae","Vitex","polygama","Vitex polygama","G. Edwall","1898","11","04","South America","Brazil","sheet",NA,"Second label says 4-11-893 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592269","s.n.","Magnoliophyta","Lamiales","Cham.",NA,"São Paulo","Sao Paulo","Capital","-46.63","-23.5403","NY00592269_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
