"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","individualCount","class","order","relatedCatalogItem"
"1","2020-07-07 00:49:52-03","UFBA","ALCB","35012","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Rupestrea","carvalhoana","Rupestrea carvalhoana","(J.F.A. Baumgratz & D'El Rei Souza) Michelang., Almeda & R.","Baumgratz, JFA","2015","11","parátipo","Melo, E; França, F; Oliveira, S; Sena, TS; Souza, E; Ganeu, W","PCD1299","1994","11","23","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.452778","-12.456667","-41.452778","-12.456667","1050","1050","2,0 m. Folhas simples, membranáceas. Inflorescência com flores de pétalas lilás, filetes e anteras amarelo. Frutos imaturos verdes. Ocasional.; Vegetação de campo rupestre. Afloramento rochoso.","ALCB007863","ALCB007863",NA,NA,NA,NA
"2","2020-07-07 00:49:52-03","UFBA","ALCB","36115","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Rupestrea","carvalhoana","Rupestrea carvalhoana","(J.F.A. Baumgratz & D'El Rei Souza) Michelang., Almeda & R.","Guedes, ML","2017","06","holotipo","Melo, E; Sena, MP; Funch, R","PCD1692","1995","02","23","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.450833","-12.450556","-41.450833","-12.450556","920","920","2,0 m. Folhas simples, levemente discolores. Flores de cálice vináceo-esverdeado, pétalas lilás, anteras amarelas. Frutos imaturos. Raro.; Campo rupestre. Afloramentos rochosos de arenito.","ALCB007862","ALCB007862",NA,NA,NA,NA
"3","2013-07-17 09:24:00-03","MO","MOBOT","100612838","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","carvalhoana","Miconia carvalhoana","Baumgratz & D'El Rei Souza",NA,NA,NA,"Holotype","MELO","MELO 1692",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3721842","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","carvalhoana","Miconia carvalhoana","Baumgratz & D'El Rei Souza",NA,NA,NA,"Isotype","E. Melo, M. Sena & R. Funch","PCD 1692","1995","2","23","South America - Neotropics","Brazil","Bahia",NA,"Bahia, Lençóis, Chapada Diamantina: Serra da Chapadinha",NA,NA,NA,NA,"920",NA,NA,"US01919681","US01919681_01","1","Dicotyledonae","Myrtales",NA
"5","2019-10-07 09:34:41-03","UEFS","HUEFS","123111","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Rupestrea","carvalhoana","Rupestrea carvalhoana","(Baumgratz & Souza) Almeda, Michelang.& R.Goldenb.","A.K.A.Santos","2015","08",NA,"Funch, R.","581","2005","01","12",NA,"Brasil","Bahia","Ibicoara","Pau Ferrada (Batava) Baixão, caminho antigo.","-41.383333","-13.116667","41W23'","13S7'",NA,NA,"Transição campo rupestre/gerais.","HUEFS0123111","HUEFS0123111",NA,"Rosanae","Myrtales",NA
"6","2019-10-07 09:34:41-03","UEFS","HUEFS","160630","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Rupestrea","carvalhoana","Rupestrea carvalhoana","(Baumgratz & Souza) Almeda, Michelang.& R.Goldenb.","A.K.A.Santos","2015","08",NA,"Guedes, M.L.S.","16822","2009","12","16",NA,"Brasil","Bahia","Andaraí","Chapada Diamantina, subida para o Patí.","-41.372222","-12.801111","41W22'20''","12S48'4''","850","850","Campo rupestre.","HUEFS0160630","HUEFS0160630",NA,"Rosanae","Myrtales",NA
"7","2019-10-07 09:34:41-03","UEFS","HUEFS","21053","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Rupestrea","carvalhoana","Rupestrea carvalhoana","(Baumgratz & Souza) Almeda, Michelang.& R.Goldenb.","R.Goldenberg","2015",NA,"Parátipo","Melo, E.","PCD1299","1994","11","23",NA,"Brasil","Bahia","Lençóis","Morro da Chapadinha.","-41.45","-12.45","41W27'","12S27'","1050","1050","Afloramentos rochosos.","HUEFS0021053",NA,NA,"Rosanae","Myrtales",NA
"8","2019-10-07 09:34:41-03","UEFS","HUEFS","21265","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Rupestrea","carvalhoana","Rupestrea carvalhoana","(Baumgratz & Souza) Almeda, Michelang.& R.Goldenb.","R.Goldenberg","2015",NA,"Isótipo","Melo, E.","PCD1692","1995","02","23",NA,"Brasil","Bahia","Lençóis","Serra da Chapadinha.","-41.45","-12.45","41W27'","12S27'","920","920","Afloramentos rochosos.","HUEFS0021265",NA,NA,"Rosanae","Myrtales",NA
"9","2019-10-07 09:34:41-03","UEFS","HUEFS","92591","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Rupestrea","carvalhoana","Rupestrea carvalhoana","(Baumgratz & Souza) Almeda, Michelang.& R.Goldenb.","A.K.A.Santos","2015","08",NA,"Conceição, A.A.","1192","2005","03","05",NA,"Brasil","Bahia",NA,"Parque Nacional Chapada Diamantina- Boqueirão (trilha Lençóis- Capão)","-41.425833","-12.573611","41W25'33''","12S34'25''","810","810",NA,"HUEFS0092591","HUEFS0092591",NA,"Rosanae","Myrtales",NA
"10","2019-10-07 09:34:41-03","UEFS","HUEFS","93257","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Rupestrea","carvalhoana","Rupestrea carvalhoana","(Baumgratz & Souza) Almeda, Michelang.& R.Goldenb.","A.K.A.Santos","2015","08",NA,"Conceição, A.A.","1259","2005","03","25",NA,"Brasil","Bahia","Palmeiras","Serra dos Brejões","-41.471944","-12.4425","41W28'19''","12S26'33''","1080","1080","Topo da Serra com Grotões (Florestas úmidas).","HUEFS0093257","HUEFS0093257",NA,"Rosanae","Myrtales",NA
"11","2020-07-23 12:13:10-03","CEPLAC","CEPEC","68558","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","carvalhoana","Miconia carvalhoana",NA,"Baumgratz e Souza",NA,NA,"Paratipo","E. de Melo",NA,"1994","11","23",NA,"Brasil","Bahia","LENÇÓIS","Morro da Chapadinha. Chapadinha.","-41.452778","-12.456667","41W27'10","12S27'24",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2004"
"12","2020-07-23 12:13:10-03","CEPLAC","CEPEC","68735","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","carvalhoana","Miconia carvalhoana",NA,"Baumgratz e Souza",NA,NA,"Isótipo","E. de Melo",NA,"1995","02","23",NA,"Brasil","Bahia","LENÇÓIS","Serra da Chapadinha. Chapadinha.","-41.450833","-12.450556","41W27'3","12S27'2",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2004"
