"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","2228","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","A. Lourteig","1980","R. M. Klein; A. Brosolin","1968","11","19","Brasil","Santa Catarina","Florianópolis","Pântano do Sul.","-48.506389","-27.775833","48º30'23''W","27º46'33''S","CRI006023","CRI006023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01081292","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","A. Lourteig",NA,"Martii Herbar. Florae Brasil.","1839",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"NY01081292","NY01081292_01","Magnoliophyta","Oxalidales","539","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224149' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01196049","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","O. Kosovsky",NA,"P. Fiaschi","2004","03","04","Brazil","Espírito Santo","Linhares","Estrada de Linhares para o Pontal do Vale, ca. 8.1 após o viaduto, ramal à direita para Povoação. Ca. 27.8 km da estrada.","-39.8875","-19.5061111",NA,NA,"NY01196049","NY01196049_01","Magnoliophyta","Oxalidales","2001","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407895' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","470568","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","A. Lourteig",NA,"Wilkes Expedition","1838",NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Near Rio de Janeiro","-43.448386","-22.913514",NA,NA,"NY00470568",NA,"Magnoliophyta","Oxalidales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158610' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02433428","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi",NA,NA,"G. T. Prance","1968","08","03","Brazil","Rondônia",NA,"Basin of Rio Madeira; Rio Pacaás Novos, 4 km. above mouth","-65.2561176","-10.8782561",NA,NA,"NY02433428","NY02433428_01","Magnoliophyta","Oxalidales","6756","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2657375' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00997552","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","A. Lourteig",NA,"C. E. O. Kuntze","1992","12",NA,"Brazil","Minas Gerais","Contendas",NA,NA,NA,NA,NA,"NY00997552","NY00997552_01","Magnoliophyta","Oxalidales","s.n.","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180370' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02103584","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","O. Kosovsky",NA,"J. G. Jardim","1999","02","25","Brazil","Bahia",NA,"3-4 km N do Mun. de Livramento de Nossa Senhora na Rodovia para Rio de Contas.","-41.8130556","-13.6311111",NA,NA,"NY02103584","NY02103584_01","Magnoliophyta","Oxalidales","2039","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2258826' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01019833","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","O. Kosovsky",NA,"R. de Mello-Silva","2003","12","04","Brazil","Goiás","Iaciara","Estrada Nova Roma-Iaciara, 7,6 km de Nova Roma. Fazenda Sobradinho","-46.8642","-13.7981",NA,NA,"NY01019833","NY01019833_01","Magnoliophyta","Oxalidales","2287","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137737' target='other'> <mi>dwc_moreinfo</mi></a>","466","466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02433425","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi",NA,NA,"J. Revilla","1983","10","14","Brazil","Pará",NA,"Tucuruí, Breu Branco",NA,NA,NA,NA,"NY02433425","NY02433425_01","Magnoliophyta","Oxalidales","8684","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2657368' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02433426","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi",NA,NA,"F. M. O. Villarouco","1995","04","12","Brazil","Pernambuco","Bezerros","Bezerros, Parque Municipal de Serra Negra","-35.7969017028809","-8.23332977294922",NA,NA,"NY02433426","NY02433426_01","Magnoliophyta","Oxalidales","37","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2657373' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"25699","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02433424","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi",NA,NA,"T. C. Plowman","1980","02","08","Brazil","Pará","Conceição do Araguaia","Range of low hills ca. 20 km west of Redenção, near Corrego São João and Troncamento Santa Teresa.","-50.17","-8.05",NA,NA,"NY02433424","NY02433424_01","Magnoliophyta","Oxalidales","8465","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2657366' target='other'> <mi>dwc_moreinfo</mi></a>","350","620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00997549","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","A. Lourteig",NA,"H. S. Irwin","1969","02","20","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, ca. 15 km west of Grão Mogol, road to Cristália.","-42.9786","-16.6349",NA,NA,"NY00997549","NY00997549_01","Magnoliophyta","Oxalidales","23600","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180352' target='other'> <mi>dwc_moreinfo</mi></a>","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00997551","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","A. Lourteig",NA,"C. E. O. Kuntze","1892","12",NA,"Brazil","Minas Gerais","Contendas",NA,NA,NA,NA,NA,"NY00997551","NY00997551_01","Magnoliophyta","Oxalidales","s.n.","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180360' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00997554","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","A. Lourteig",NA,"M. F. F. da Silva","1983","04","21","Brazil","Maranhão","Grajaú","Rodovia à 6km da cidade de Grajaú.","-46.1383","-5.8194",NA,NA,"NY00997554","NY00997554_01","Magnoliophyta","Oxalidales","1167","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180378' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02103580","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","O. Kosovsky",NA,"W. W. Thomas","2010","02","27","Brazil","Alagoas","Quebrangulo","Reserva Biológica Pedra Talhada. Trail from reserve base (sede) to the top of Pedra Talhada.","-36.44542","-9.25722",NA,NA,"NY02103580","NY02103580_01","Magnoliophyta","Oxalidales","15196","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551455' target='other'> <mi>dwc_moreinfo</mi></a>","488","773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01874198","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","O. Kosovsky",NA,"J. L. Viana","2010","08","17","Brazil","Pernambuco",NA,"Jaqueira. RPPN Frei Caneca. Usina Frei Caneca - Estrada do alojamento para Pedra Cruzeiro","-35.8439","-8.72",NA,NA,"NY01874198","NY01874198_01","Magnoliophyta","Oxalidales","58","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551789' target='other'> <mi>dwc_moreinfo</mi></a>","633","633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","02433422","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi",NA,NA,"T. C. Plowman","1980","03","01","Brazil","Pará","Paragominas","Belém-Brasília highway (BR 010) 17 km. south of Ligação do Pará, near kilometer marker 1509","-47.53","-4.28",NA,NA,"NY02433422","NY02433422_01","Magnoliophyta","Oxalidales","9421","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2657364' target='other'> <mi>dwc_moreinfo</mi></a>","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00997553","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","hedysarifolia","Oxalis hedysarifolia","Raddi","A. Lourteig",NA,"G. Eiten","1970","02","03","Brazil","Maranhão","Lorêto","Ilha de Balsas region between the Balsas & Parnaíba Rivers. 35 km south of Loreto at main house of Fazenda Morros.","-45.07","-7.38",NA,NA,"NY00997553","NY00997553_01","Magnoliophyta","Oxalidales","10451","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180374' target='other'> <mi>dwc_moreinfo</mi></a>","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
