"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","typeStatus","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","604317","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","pedicellatum","Machaerium pedicellatum","Vogel","V. E. Rudd","Y. E. J. Mexia","4998","1930","08","24","South America","Brazil","Minas Gerais","Districto Ilheu. Fazenda da Tabunha; road to northwest","215","215","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=673080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604317","NY00604317_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01091249","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","pedicellatum","Machaerium pedicellatum","Vogel","F. L. R. Filardi","W. W. Thomas","13534","2003","07","25","South America","Brazil","Bahia","Serra do Castanhão, 14.5 km S of Jequié on BR116, then 7.5 km W (at Pousada Corujao) to Embratel tower.","835","835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702803' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091249","NY01091249_01","Jequié","-40.1908","-13.9394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02679268","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","pedicellatum","Machaerium pedicellatum","Vogel",NA,"L. de S. Leoni","6883","2007","05","30","South America","Brazil","Minas Gerais","Mata do Banco",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2945894' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679268","NY02679268_01","Carangola","-42.0293998718262","-20.7331008911133","21913","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-05-17 10:22:00-03","NY","NYBG","02697747","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","pedicellatum","Machaerium pedicellatum",NA,NA,"R. D. Ribeiro","102","2004","02","16","South America","Brazil","Rio de Janeiro","Local entre a praia de Manguinhos e a praia da Tartaruga, Ponte da Sapata.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2979229' target='other'> <mi>dwc_moreinfo</mi></a>","NY02697747","NY02697747_01","Armação dos Búzios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","604316","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","pedicellatum","Machaerium pedicellatum","Vogel","F. L. R. Filardi","L. A. Mattos Silva","327","1979","04","03","South America","Brazil","Bahia","Estaçao Ecológica do Pau-brasil, cerca de 16 km a W de Porto Seguro. Folha SE-24 (16-39c). Parcela n° 19 do arboreto, instalada em maio 72",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=673081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604316","NY00604316_01","Santa Cruz Cabrália","-39.1815805","-16.3721094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01092838","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","scleroxylon","Machaerium scleroxylon","Tul.","C. V. Mendonça Filho","G. G. Hatschbach","61460","1994","11","07","South America","Brazil","Paraná","Cabeceiras do Ribeirão do Tigre","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238547' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092838","NY01092838_01","Doutor Ulysses","-49.4194","-24.5683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01057651","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","scleroxylon","Machaerium scleroxylon","Tul.","C. V. Mendonça f°","E. P. Heringer","3693","1960","06","03","South America","Brazil","Minas Gerais","Margem do Rio Paraopeba, Rodov. Brasilia-Belo Horizonte",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162121' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057651","NY01057651_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 12:44:00-02","NY","NYBG","452478","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","scleroxylon","Machaerium scleroxylon",NA,NA,"L. Rossi","226","1981","02","24","South America","Brazil","São Paulo","Butanta, Mata da Reserva da Cidade Universitária Armando de Salles Oliveira, USP [Universidade de Sao Paulo]. Area 1.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=419955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452478","NY00452478_01","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01057627","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","scleroxylon","Machaerium scleroxylon","Tul.","C. V. Mendonça f°","B. A. S. Pereira","2962","1996","04","25","South America","Brazil","Goiás","Km 5 da rodovia Formosa/Itiquira","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162119' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057627","NY01057627_01","Formosa","-47.25","-15.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","206807","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","scleroxylon","Machaerium scleroxylon","Tul.","M. H. Nee","P. Bettella","25","1988","02","14","South America","Bolivia","Santa Cruz","Laguna Brava, 10 km al NW de San Ramón","275","275","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00206807",NA,"Ñuflo de Chávez","-62.53","-16.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01057676","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","scleroxylon","Machaerium scleroxylon","Tul.","C. V. Mendonça f°","E. P. Heringer","7177","1959","08","30","South America","Brazil","Minas Gerais","Paraopeba, Horto Florestal",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162123' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057676","NY01057676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
