"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","6509","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Collaea","lancifolia","Collaea lancifolia","Benth.","type","G. Gardner","3664","South America","Brazil","Tocantins","Arraias","Locis altis siccis petrosis prope Arrayas.","-46.9381","-12.9317","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006509","NY00006509_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","601443","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"M. H. Nee","35528","South America","Bolivia","Santa Cruz","Florida","10 km. (by road) W of Bermejo, on road from Santa Cruz to Samaipata","-63.7","-18.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601443",NA,"R. C. Barneby","1987","08","06","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01056106","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","21706","South America","Brazil","Goiás","Alto Paraíso de Goiás","Ca. 27 km S. of Paraíso.","-47.53","-14.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139729' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056106","NY01056106_01","A. E. Burkart","1968","03","23","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01056152","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"M. L. Fonseca","1969","South America","Brazil","Goiás","Mara Rosa","Fazenda Bom Jesus. Folha Uruaçú SD-22-Z-B","-49.2853","-14.0306","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140167' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056152","NY01056152_01",NA,"1998","06","25","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01055379","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","23703","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra dos Três Irmãos, ca. 25 km west of Montes Claros, road to Agua Boa.","-43.64425","-16.78765","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141195' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055379","NY01055379_01","A. E. Burkart","1969","02","23","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","601440","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","31591","South America","Brazil","Bahia",NA,"Valley of the Rio das Ondas. Lower slopes of Espigâo Mestre, ca. 4km N. of Barreiras, road to Santa Rita da Cássia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601440","NY00601440_01","A. E. Burkart","1971","03","05","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01056153","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"T. C. Plowman","8186","South America","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140174' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056153","NY01056153_01","R. H. Maxwell","1980","01","31","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01056151","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"D. Alvarenga","1229","South America","Brazil","Goiás","Mara Rosa","Amarolåndia; Fazenda Pedra Preta, propietário: Nenzico C. Miranda","-49.2789","-14.0925","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140152' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056151","NY01056151_01",NA,"1998","06","25","365","365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01020099","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","6492","South America","Brazil","Mato Grosso","Canarana","Ca. 20 km. S. of Garapú.","-52.50795","-13.53735","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139736' target='other'> <mi>dwc_moreinfo</mi></a>","NY01020099","NY01020099_01","R. H. Fortunato","1964","09","30","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01055477","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","16236a","South America","Brazil","Mato Grosso",NA,"Rio Turvo, ca. 210 km. N. of Xavantina. Serra do Roncador.","-51.83","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141186' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055477","NY01055477_01","A. E. Burkart","1966","05","29","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01056155","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"E. P. Heringer","6913","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu, adjacências do Córrego Forquilha.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140183' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056155","NY01056155_01","R. C. Barneby","1981","05","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01056134","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"M. Schessl","277/1-8","South America","Brazil","Mato Grosso","Poconé","Highway Poconé-Porto Cercado approx. at km 16,9","-56.38","-16.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139848' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056134","NY01056134_01",NA,"1993","03","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01056129","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"C. E. O. Kuntze","s.n.","South America","Brazil","Mato Grosso",NA,"Mattogrosso",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139831' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056129",NA,NA,"1892","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01056105","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","16753","South America","Brazil","Mato Grosso",NA,"Xavantina. Drainage of the Upper Rio Araguaia.","-52.33","-14.6667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139673' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056105","NY01056105_01","R. C. Barneby; J. W. Grimes","1966","06","08","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01055429","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","26995","South America","Brazil","Minas Gerais","Joaquim Felício","Ca. 3 km S. of Joaquim Felício, E. base of Serra do Cabral","-44.1708333","-17.7588","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141205' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055429","NY01055429_01","A. E. Burkart","1970","03","05","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01056108","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","21555","South America","Brazil","Tocantins","Fortaleza do Tabocão","Ca. 12 km S. of Guará.","-48.52","-8.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139703' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056108","NY01056108_01","A. E. Burkart","1968","03","20","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01056135","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"L. A. Skorupa","423","South America","Brazil","Tocantins","Miracema do Tocantins","Aldeia dos indios xerente a 20 km de Miracema do norte. Goiás.","-48.3917","-9.56722","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139869' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056135","NY01056135_01","R. H. Fortunato","1988","04","11","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
