"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","imagecode","class","order","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-10-09 11:18:43-03","UFBA","ALCB","83670","PreservedSpecimen","Plantae","Dicotyledon","Malpighiaceae","Bunchosia","pernambucana","Bunchosia pernambucana","W.R. Anderson","Almeida, RF","2019","05","17","Machado, MABL","131","2001","11","28","Southern America","Brasil","Alagoas","Coruripe","Usina Coruripe, Fazenda Capiatã A, Bloco Gotejo 3, mata em encosta.","-36.1755981445312","-10.125599861145","31269","Inflorescência amarela.; Mata Atlântica.","ALCB039371","auto",NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:18:43-03","UFBA","ALCB","026153","PreservedSpecimen","Plantae","Dicotyledon","Malpighiaceae","Bunchosia","pernambucana","Bunchosia pernambucana","W.R. Anderson","Almeida, RF","2019","05","17","Miranda, AM","s/n","1994","03","23","Southern America","Brasil","Pernambuco","Inajá","Reserva ecológica Serra Negra.","-37.816667","-8.9",NA,"ca de 60 cm de altura. Folhas semicrassas. Frutos imaturos verdes, depois alaranjados.","ALCB039380",NA,"-37.816667","-8.9",NA,NA,NA,NA,NA
"3","2019-02-15 11:44:46-02","IPA","IPA","50421","S","Plantae","Plantae","Malpighiaceae","Bunchosia","pernambucana","Bunchosia pernambucana","W.R. Anderson","Santos, J.V.","2015","08","03","Orlandi, R.P.; Jordy Filho, S.; Jordy Filho, S.","725","1985","03","20","Southern America","Brasil","Bahia","Paulo Afonso","Estação Ecológica SEMA","-38.2146987915039","-9.40610980987549","44772","Arbusto de 1,5m de altura; flores verde-amareladas. Frequência média.; Savana/Floresta Estacional. Solo arenoso. Relevo ondulado.","IPA0050421","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-07-26 11:40:36-03","IPA","IPA","63331","S","Plantae","Plantae","Malpighiaceae","Bunchosia","pernambucana","Bunchosia pernambucana","W.R. Anderson",NA,NA,NA,NA,"Xavier, H.S.","63331","2003","01",NA,"Southern America","Brasil","Pernambuco","Buíque",NA,"-37.1557998657227","-8.62306022644043","38964","Amostra de planta em estudo no Lab. de Farmacognos","IPA0063331","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-02-04 10:29:06-03","UFRPE","HST","5237","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Bunchosia","pernambucana","Bunchosia pernambucana","W.R.Anderson","A.M.Miranda","2017","02","16","A.M.Miranda; S.I.da Silva et S.Araújo","1492","1994","03","23",NA,"Brasil","Pernambuco","Floresta","Reserva Ecológica de Serra Negra","-38.5685997009277","-8.60111045837402","87756","Subarbusto; caule marrom; folhas semicrassas adaxialmente verde brilhante, abaxialmente verde mais claro opaco; flores em botões amarelos.","HST005237","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-02-04 10:29:06-03","UFRPE","HST","10557","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Bunchosia","pernambucana","Bunchosia pernambucana","W.R.Anderson","A.M.Miranda","2015","08","10","A.M.Miranda; S.I.silva et S.L.Araújo","1501","1994","03","23",NA,"Brasil","Pernambuco","Inajá","Resrva Ecológica de Serra Negra","-37.8238983154297","-8.90167045593262","35089","Arbusto; ramos jovens verdes; folhas verde brilhante adaxialmente; flores amarelas; frutos imaturos verdes. Interior da mata.","HST010557","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 18:28:13-03","USP","SPF","169089","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Bunchosia","pernambucana","Bunchosia pernambucana","W.R.Anderson","Carvalho, PD","2005","10",NA,"Fiaschi, P","2761","2005","03","12",NA,"Brasil","Bahia","Almadina","Rod. Almadina para Ibitupã, ca. 20 km. Fazenda São Roque, ca. 10 km da entrada do ramal. Flores semidecidual.","-39.713056","-14.640833",NA,"Liana. Folhas levemente discolores. Flores com pétalas amarelas, elaióforos verde-amarelados.","SPF00169089",NA,"-39.713056","-14.640833","SPF00169089",NA,NA,NA,NA
"8","2019-10-07 09:31:43-03","UEFS","HUEFS","103306","PreservedSpecimen","Plantae","Angiospermae","Malpighiaceae","Bunchosia","pernambucana","Bunchosia pernambucana","W.R.Anderson",NA,"2008","01",NA,"Colaço, M.","48","2005","09","18",NA,"Brasil","Bahia","Glória","Baixa do Fontana TI Pankararé.","-38.716667","-9.333333",NA,"Caatinga arbórea arbustiva com palmeiras. Areias quartzosas.","HUEFS0103306",NA,"38W43'","9S20'","HUEFS0103306","Rosanae","Malpighiales",NA,NA
"9","2019-10-07 09:31:43-03","UEFS","HUEFS","106323","PreservedSpecimen","Plantae","Angiospermae","Malpighiaceae","Bunchosia","pernambucana","Bunchosia pernambucana","W.R.Anderson","J.V.Santos","2015","04",NA,"Colaço, M.","72","2006","01","04",NA,"Brasil","Bahia","Glória","Serrota.","-38.483333","-9.333333",NA,"Caatinga. Caatinga arbóreo-arbustiva com palmeiras. Areias quartzosas.","HUEFS0106323",NA,"38W29'","9S20'","HUEFS0106323","Rosanae","Malpighiales",NA,NA
"10","2019-10-07 09:31:43-03","UEFS","HUEFS","110947","PreservedSpecimen","Plantae","Angiospermae","Malpighiaceae","Bunchosia","pernambucana","Bunchosia pernambucana","W.R.Anderson","J.V.Santos","2015","04",NA,"Lopes, M.M.M.","462","2006","01","31",NA,"Brasil","Bahia","Paulo Afonso","Estação Ecológica Raso da Catarina. Pororocas.","-38.513056","-9.552222",NA,"Caatinga Arbórea.","HUEFS0110947",NA,"38W30'47''","9S33'8''","HUEFS0110947","Rosanae","Malpighiales",NA,NA
