"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","basisOfRecord","phylum","class","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","48887","Plantae","Bromeliaceae","Cryptanthus","coriaceus","Cryptanthus coriaceus","Leme","D. Cavalcanti/14-10-2019","N.N.F. da Silva","168","2002","07","10","Brasil","Espírito Santo","Serra","Itaiobaia, Morro do Céu","-40.3078002929688","-20.1285991668701","16451","Terrestre, pétalas brancas","MBML048887","MBML048887","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","48504","Plantae","Bromeliaceae","Cryptanthus","coriaceus","Cryptanthus coriaceus","Leme","D. Cavalcanti/14-10-2019","N.N.F. da Silva","125","2002","01","23","Brasil","Espírito Santo","Serra","Itaiobaia, Morro do Céu","-40.3078002929688","-20.1285991668701","16451","Terrestre, sépalas marrons, pétalas brancas.","MBML048504","MBML048504","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","48502","Plantae","Bromeliaceae","Cryptanthus","coriaceus","Cryptanthus coriaceus","Leme","D. Cavalcanti/14-10-2019","N.N.F. da Silva","137","2002","02","09","Brasil","Espírito Santo","Serra","Itaiobaia, Morro do Céu","-40.3078002929688","-20.1285991668701","16451","Terrestre, sépalas marrons, pétalas brancas.","MBML048502","MBML048502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-07 09:20:35-03","UEFS","HUEFS","196699","Plantae","Bromeliaceae","Cryptanthus","coriaceus","Cryptanthus coriaceus","Leme",NA,"Popovkin, A.V.","1429","2013","05","22","Brasil","Bahia","Entre Rios","Algodão.","-37.966667","-12.166667",NA,"Atlantic forest.","HUEFS0196699","HUEFS0196699",NA,"PreservedSpecimen","Angiospermae","Lilianae","Poales","37W58'0''","12S10'","120","120"
