"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","405358","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii","Landrum","isotype","L. B. Smith","12411","1964","10","11","South America","Brazil","Santa Catarina","Mun. Apiuna: Rocky frequently inundated margin of Rio Itajai-açu, Subida","-49.42","-27.08","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405358","NY00405358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0060696","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii","Landrum",NA,"R. Garcia; G. Ferreira, L.F. Neves",NA,"1995",NA,NA,NA,"Brazil","Sao Paulo",NA,"-47.5","-22.9899997711182",NA,NA,NA,"Arbusto, 1.0m alto; flores brancas.",NA,NA,"Capivari","16798","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:36:28-03","UNICAMP","UEC","121468","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(Mattos) Sobral",NA,"Farah, FT; Aguiar, S; Breier, TB; Rodrigues, RR; Souza, VC; Tamashiro, JY","2192","2001","04","13",NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar. Núcleo Curucutu.","-46.775417","-23.989083","750","750",NA,"Arbusto. ca. 3m alt. Frutos arroxeados.; Floresta Ribeirinha ao longo do Rio Mambu.","UEC023453","UEC023453","São Paulo",NA,NA,"-46.775417","-23.989083",NA,NA,NA,NA,NA,NA
"4","2021-03-26 10:43:28-03","UDESC","LUSC","7150","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(Mattos) Sobral",NA,"F.T. Farah; et al.","2192","2001","04","13",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta ribeirinha ao longo do Rio Mambu.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"LUSC004881","LUSC004881","São Paulo","53584","auto",NA,NA,"F.F.Mazine","2002",NA,NA,NA,NA
"5","2020-05-20 17:53:18-03","FURB","FURB","62702","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(Mattos) Sobral",NA,"Kassner-Filho, A.; Santos, D; Bollmann, G; Althoff, L.F.","4549","2019","02","03",NA,"Brasil","Santa Catarina","Trilha pedra Furada.","-49.4791667","-28.1338889",NA,NA,NA,"Flor branca Habitat: Beira de trilha Habito: Arvoreta","FURB62702","FURB62702","Orleans",NA,NA,"-49.4791667","-28.1338889","Vieira, F. C. S.","2020","04","17",NA,NA
"6","2020-12-21 16:37:04-03","MBM","MBM","61412","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii","Landrum",NA,"Landrum, L.R.","2617","1977","11","15","Southern America","Brazil","Santa Catarina","10km S of Ibirma","-49.2317008972168","-26.8978004455566",NA,NA,NA,NA,"MBM061412","MBM061412","Indaial","29534","auto",NA,NA,"Landrum, L.R.",NA,NA,NA,NA,NA
"7","2020-12-11 11:39:19-03","UFMG","BHCB","118736","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(N.F.Mattos) Sobral",NA,"Meireles, LD; Nunes, JA; Castaho, GG","2447","2006","07","26","Southern America","Brasil","Minas Gerais","Pico do Itaguaré","-44.9667015075684","-22.3903007507324",NA,NA,NA,"Arbusto cc. 1,5 m de altura, frutos secos.; Afloramento rochoso.","BHCB012130",NA,"Passa Quatro","17293","auto",NA,NA,NA,"2013","11","18",NA,NA
"8","2020-12-11 11:39:19-03","UFMG","BHCB","121024","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(N.F.Mattos) Sobral",NA,"Meireles, LD; Nunes, JA","2152","2006","03","21","Southern America","Brasil","Minas Gerais","Pico do Itaguaré","-44.9667015075684","-22.3903007507324",NA,NA,NA,"Arbusto, cc. 1,5 m de altura, frutos verdes.; Afloramento rochoso.","BHCB012132",NA,"Passa Quatro","17293","auto",NA,NA,NA,"2013","11","18",NA,NA
"9","2018-06-22 05:25:00-03","MO","MOBOT","2476759","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii","Landrum",NA,"Lyman B. Smith|Pe. Raulino Reitz","Smith 12411","1964","10","11","South America","Brazil","Santa Catarina","(Mun. Apium a on label) Margin of rio Itajaí-açu, Subida","-49.41666","-27.08333","100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2573754","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii","Landrum","Isotype","L. B. Smith & R. Reitz","12411",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,"-49.3897018432617","-27.0356006622314",NA,NA,NA,NA,"US00117729","US00117729_01","Apiuna","24893","auto",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
