"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","relationshipType","fieldNumber","individualCount"
"117","2021-03-04 15:45:51-03","IF","SPSF","24920","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis",NA,NA,"E.A.Anunciacao","16","1990","10","17","América do Sul","Brasil","SP","E.Ecol.Jureia-Itatins, Serra da Jureia",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"118","2021-03-04 15:45:51-03","IF","SPSF","24958","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis",NA,NA,"M.A.Kawall","78","1991","07","25","América do Sul","Brasil","SP","Estação Ecológica Juréia-Itatins",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"119","2021-03-04 15:45:51-03","IF","SPSF","45518","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","R.B.Torres","R.B.Torres & N.Figueiredo & A.R.de Oliveira","1","1986","09","09","América do Sul","Brasil","SP","Estação Ecológica",NA,"COLETA: Mata Secundária.&nf;Árvore 6m altura; flores perfumadas, cor creme; ovário bordô, piloso; frutos jovens verdes, lisos com manchas brancas no sentido horizontal.;",NA,NA,"Itaberá","-49.1300010681152","-23.8600006103516","624","624","29370","auto",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"120","2019-11-21 10:17:22-03","IBt","SP","262428","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Anunciação, EA; Gomes, MZ","291","1993","06","29",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Caminho do Imperador em direção a praia da Juréia",NA,"A#?#rvore ca. 5m alt., face abaxial das folhas com indumento ferrugineo tomentoso sobre as nervuras, frutos maduros negros",NA,NA,"Iguape","-47.25","-24.55",NA,NA,NA,NA,"2003","06","06",NA,NA,NA,"-47.25","-24.55",NA,NA,NA
"121","2020-05-07 17:16:19-03","IBt","SP","266080","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez",NA,"Martinelli, G","12256","1987","10","05",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Nova Friburgo","-42.5311012268066","-22.2819004058838",NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","2019-11-21 10:17:22-03","IBt","SP","200965","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Esteves, GL; Duarte, MC","Barros, F","916","1983","09","13",NA,"Brasil","São Paulo","Ilha do Cardoso",NA,NA,NA,NA,"Cananéia","-47.9199981689453","-25.0100002288818",NA,NA,"37574","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2019-11-21 10:17:22-03","IBt","SP","251440","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Pereira, DF; et al.","51","1991","08","13",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Caminho do Imperador",NA,"Arvoreta ca. 5,0m alt., inflorescência jovem ocre, cálice ferrugíneo na antese, frutos secos, folhas estéreis pinadas, na base do ramo",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2019-11-21 10:17:22-03","IBt","SP","249261","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Kawall, MA; et al.","78","1991","07","25",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Margem do Rio Verde",NA,"Árvore ca. 5m alt., com botões marrom claro. face interna das pétalas branca, estilete e estigma verdes, frutos marrons",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","2019-11-21 10:17:22-03","IBt","SP","272252","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Edwards, K","Rossi, L; et al.","1314","1993","05","24",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Próxima a cachoeira do salto",NA,"Árvore ca. 6,0m alt., inclinada sobre o rio, inflorescência de cor areia, frutos secos com sementes",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","1993","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","2019-11-21 10:17:22-03","IBt","SP","272237","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Edwards, K","Rossi, L; et al.","1312","1993","05","25",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Próxima a Cachoeira do salto",NA,"Árvore ca. 6,0m alt., 7,0cm DAP, tronco inclinado sobre o Rio ramos ladrões ascendentes, flores creme, abrindo-se inicialmente com uma fenda na base das pétalas, madeira coletada",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","1993","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
