"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","imagecode","locality","infraspecificEpithet","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:26-03","E","E","9905","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","1996","09","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:48254","<a href=http://data.rbge.org.uk/herb/E00009905 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","273442","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","pumilum","Chrysophyllum pumilum","E. Hassler",NA,NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273442","Magnoliophyta","Ericales","Chodat & Hassl.","syntype","7754","NY00273442_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 13:53:00-03","NY","NYBG","273441","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","pumilum","Chrysophyllum pumilum","E. Hassler",NA,NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273441","Magnoliophyta","Ericales",NA,"isolectotype","4552","NY00273441_01","Iter ad Yerbales Montium Sierra de Maracayú: in regione fluminis Carimbatay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","273443","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","pumilum","Chrysophyllum pumilum glabrescens","E. Hassler",NA,NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=377175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273443","Magnoliophyta","Ericales","Chodat & Hassl.","isotype","8504","NY00273443_01",NA,"glabrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 13:16:00-03","NY","NYBG","375783","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","A. L. Bernardi","1978","12","10","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375783","Magnoliophyta","Ericales",NA,NA,"19117",NA,"Aquidaban, Cerro Cora,",NA,"T. D. Pennington","Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375782","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","J. F. de Toledo","1940","08","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375782","Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"s.n.","NY00375782_01","Campo Alegre",NA,"S. M. Silva","São Paulo","Brotas","-47.950957","-22.231169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375780","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","P. K. H. Dusén","1910","10","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375780","Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"10513","NY00375780_01","Jaguariahyva, in campo",NA,"T. D. Pennington","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00896604","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","H. S. Irwin","1970","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896604","Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"25675","NY00896604_01","Morro da Pedras, ca. 30 km N.E. of Patrocínio",NA,"T. D. Pennington","Minas Gerais",NA,"-43.2485756","-19.9480039","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00859669","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","E. P. Heringer","1980","10","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859669","Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"17873","NY00859669_01 NY00859669_02","Margem do Rio Vermelho.",NA,NA,"Goiás","Luziânia","-47.9503","-16.2528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00896603","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","H. S. Irwin","1966","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896603","Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"12111","NY00896603_01","Ribeirão Sobradinho, ca. 5 km S. of Sobradinho",NA,"T. D. Pennington","Distrito Federal","Brasília","-47.78","-15.7","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
