"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","infraspecificEpithet","typeStatus","relatedCatalogItem","sex"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3589","S","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","tectoniifolium","Piper tectoniifolium","Kunth","Carlos Alberto Ferreira Junior","2015","07","06","Carlos Alberto Ferreira Junior; Davidson Guilherme","CAF1565","2015","07","04","Brasil","Minas Gerais","Nova Lima","Corrego do Cardoso, Fundo do Condomínio Ouro Velho","-43.8466987609863","-19.9855995178223","29211","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00957389","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","estrellense","Piper estrellense","C.DC.",NA,NA,NA,NA,"J. Vidal","s.n.","1948","11",NA,"Brazil","Minas Gerais",NA,"Passa Quatro, Serra da Mantiqueira, Fazenda Sao Bento",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095851' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","1700","1700","sheet","NY00957389","NY00957389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","493196","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","tectoniifolium","Piper tectoniifolium","Kunth","T. A. Lobova",NA,NA,NA,"S. A. Mori","25091","2000","09","10","French Guiana",NA,NA,"Base camp at Pic Matécho, ca. 22.5 km NE of Les Eaux Claires.","-53.03","3.75",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734505' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","500","500","sheet","NY00493196","NY00493196_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 01:48:00-03","NY","NYBG","00934851","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","tectoniifolium","Piper tectoniifolium",NA,"M. Carvalho-Silva",NA,NA,NA,"M. Carvalho-Silva","28","2000","09","10","Brazil","Distrito Federal","Brasília","Próximo a Sementes Básicas, Fazenda Sucupira. Córrego do Açudinho","-47.9294","-15.7797",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958415' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America",NA,NA,"sheet","NY00934851","NY00934851_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00557303","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","tectoniifolium","Piper tectoniifolium","Kunth","R. Callejas Posada",NA,NA,NA,"H. S. Irwin","10198","1965","11","11","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama","-48.05","-16",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323676' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","1150","1150","sheet","NY00557303","NY00557303_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01021359","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","tectoniifolium","Piper tectoniifolium","Kunth","E. F. Guimarães",NA,NA,NA,"Y. E. J. Mexia","5419","1930","12","18","Brazil","Minas Gerais","Viçosa","Fazenda do Deserto; Morta.","-42.8817","-20.7542",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098501' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","700","700","sheet","NY01021359","NY01021359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","557302","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","tectoniifolium","Piper tectoniifolium","Kunth","A. R. A. Görts-van Rijn",NA,NA,NA,"J.-J. de Granville","9052","1986","02","01","French Guiana","Saint-Laurent-du-Maroni","Saül","Maripasoula; Crique Cochon","-53.2","3.58",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323678' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","200","200","sheet","NY00557302","NY00557302_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01021354","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","tectoniifolium","Piper tectoniifolium","Kunth","R. Callejas Posada",NA,NA,NA,"H. S. Irwin","12298","1966","02","05","Brazil","Distrito Federal","Brasília","Fazenda Vargem Bonita, ca. 10 km S. of Brasília","-47.9167","-15.87367",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098491' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","975","975","sheet","NY01021354","NY01021354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557299","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","tectoniifolium","Piper tectoniifolium","Kunth",NA,NA,NA,NA,"B. C. Kurtz","85","1989","12","08","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, margens do rio Macaé","-42.5311","-22.2819",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323683' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America",NA,NA,"sheet","NY00557299","NY00557299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01021357","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","tectoniifolium","Piper tectoniifolium","Kunth","R. Callejas Posada",NA,NA,NA,"E. P. Heringer","5872","1980","12","19","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa UnB.","-47.9294","-15.7797",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098497' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America",NA,NA,"sheet","NY01021357","NY01021357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
