"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2020-09-23 10:43:04-03","E","E","198847","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","longiflora","Posoqueria longiflora","Pennington, T.D.; Daza, A.","2003","03","29","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:208550","<a href=http://data.rbge.org.uk/herb/E00198847 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00198847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","398043","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","longiflora","Posoqueria longiflora grandiflora","J. Revilla","1976","11","09","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425461' target='other'> <mi>dwc_moreinfo</mi></a>","NY00398043","Magnoliophyta","Gentianales","grandiflora","(H.Karst.) L.Macias","L. Macias","1755","Loreto","Maynas","Distrito Iquitos. Rio Itaya, cerca a San Juan de Muniches",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01063451","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","longiflora","Posoqueria longiflora grandiflora","B. A. Krukoff",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1270714' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063451","Magnoliophyta","Gentianales","grandiflora","(H.Karst.) L.Macias",NA,"4850","Amazonas",NA,NA,"NY01063451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01063472","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","longiflora","Posoqueria longiflora longiflora","C. A. Cid Ferreira","1979","08","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268029' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063472","Magnoliophyta","Gentianales","longiflora",NA,"L. Macias","429","Amazonas","Itapiranga","Em frente ao igarapé Santa Luzia, 1 km da margem direita do rio. Mata de terra firme; solo argiloso.","NY01063472_01","-58.0217","-2.7492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","501896","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","longiflora","Posoqueria longiflora","J. G. Jardim","1996","07","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501896","Magnoliophyta","Gentianales",NA,"Aubl.","P. G. Delprete","849","Bahia","Santa Luzia","Municipio de Santa Luzia/Una, entrada a 11,3 km a E da sede do municipio, Serra da Onca. Ca. 4,5 km da entrada","NY00501896_01","-39.2569077","-15.3417536","510","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01063464","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","longiflora","Posoqueria longiflora grandiflora","G. T. Prance","1971","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1270741' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063464","Magnoliophyta","Gentianales","grandiflora","(H.Karst.) L.Macias",NA,"15251","Amazonas",NA,"Rio Negro between Ilha Uabetuba & Ilha da Silva.","NY01063464_01","-64","-0.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01063457","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","longiflora","Posoqueria longiflora","M. J. P. Pires-O'Brien","1985","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268011' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063457","Magnoliophyta","Gentianales",NA,"Aubl.",NA,"686","Pará","Almeirim","Monte Dourado, área 37, próximo à beira do rio Jarí. Mata de várzea.","NY01063457_01","-52.539719","-0.8678545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","398041","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","longiflora","Posoqueria longiflora grandiflora","S. A. Mori","1979","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00398041","Magnoliophyta","Gentianales","grandiflora","(H.Karst.) L.Macias","L. Macias","11494","Bahia","Itacaré","Cerca de 1 km ao S de Itacaré. Folha SD 24 (14-39c)","NY00398041_01","-38.995183","-14.2890182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01063454","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","longiflora","Posoqueria longiflora grandiflora","C. A. Cid Ferreira","1979","08","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063454","Magnoliophyta","Gentianales","grandiflora","(H.Karst.) L.Macias","L. Macias","154","Amazonas","Itapiranga","Rio Uatumã, ao longo do rio, margem direita, ilha do Bacural; mata de várzea; solo argiloso.","NY01063454_01","-58.7269878","-2.3065914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02689972","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","longiflora","Posoqueria longiflora grandiflora","M. L. Alencar","1979","07","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964014' target='other'> <mi>dwc_moreinfo</mi></a>","NY02689972","Magnoliophyta","Gentianales","grandiflora","(H.Karst.) L.Macias",NA,"290","Amazonas",NA,"Vicinity of Tapuruquara",NA,"-65","-0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
