"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","class","order","individualCount","barcode","imagecode"
"1","2018-06-22 05:25:00-03","MO","MOBOT","2454798","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","triangularis","Vriesea triangularis","Reitz","Pe. Raulino Reitz","Reitz 4279","1952","1","2","South America","Brazil","Santa Catarina","Imarui",NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","3662823","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","triangularis","Vriesea triangularis","Reitz","H. Luther",NA,"2009","6","1","South America - Neotropics","Brazil","Santa Catarina",NA,"Monocotyledonae","Bromeliales","1","US01914500","US01914500_01"
