"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","eventTime","fieldNumber","individualCount","relatedCatalogItem","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","389930","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","S. A. Mori","A. M. V. de Carvalho","1087","1981","12","22","South America","Brazil","Bahia","Lençóis","Ca. 5 km da estrada de Lençois por BR 242","-41.38331","-12.56669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389930","NY00389930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00389928","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","S. A. Mori","S. A. Mori","13423","1980","03","08","South America","Brazil","Bahia","Lençóis","Arredores de Lençois, estrada para as toalhas, a 6 km ao N de Lençois.","-41.38331","-12.56669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389928","NY00389928_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","834","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"S. A. Mori","13421","1980","03","05","South America","Brazil","Bahia","Andaraí","A 3 km NE de Andarai.","-41.33","-12.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000834","NY00000834_01","400","400","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1551198","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"B. M. Silva","131","2001","03","01","South America","Brazil","Bahia","Andaraí","Próximo a Marimbus","-41.32","-12.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1913759' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551198","NY01551198_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1145183","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","S. A. Mori","R. M. Harley","28490","1997","01","12","South America","Brazil","Bahia","Castro Alves","Serra da Jibóia, na subida da serra.","-39.4756","-12.8517","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306826' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145183",NA,"820","820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00424045","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","S. A. Mori","A. M. Amorim","3060","1999","04","30","South America","Brazil","Bahia","Lençóis","Estrada que liga Lençoís a BR 242","-41.362206","-12.477961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424045","NY00424045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","389929","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","S. A. Mori","G. G. Hatschbach","48060","1984","06","19","South America","Brazil","Bahia","Andaraí","Rio Paraguaçu","-41.33","-12.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389929","NY00389929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","389927","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","S. A. Mori","S. A. Mori","13422","1980","03","08","South America","Brazil","Bahia","Lençóis","Arredores de Lençois, estrada para as toalhas, a 6 km ao N de Lençois.","-41.38331","-12.56669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389927","NY00389927_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:18:20-03","UFBA","ALCB","59030","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","Wanderley, MMM","Jardim, JG; Aguiar, C; Sant'Ana, SC de; Juchum, F; Paixão, JL da","2874","2000","02","24","Southern America","Brasil","Bahia","São Miguel das Matas","Recôncavo Sul, Faz. Engenho da Lama (Proprietário Genival Lucas), ca. 4,5 km ao S da cidade","-39.432222","-13.046944",NA,"ca. 10 m alt. Folhas verde-escuras com a face inferior mais clara. Flores com corola amarela, cálice verde. Fruto imaturo, ferrugíneo. Visitada por mangagava e abelhas. Flores em álcool 70%",NA,NA,"400","400",NA,"2011","01","-39.432222","-13.046944",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:02:41-03","NBC","NL-BOTANY","U.1408558","PreservedSpecimen","Plantae",NA,"Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"Mattos Silva LA; Santos TS dos; Euponino A",NA,"1979","04","04","Southern America","Brazil",NA,NA,"Mun. de P. Seguro. Bifuncacão à direita, no km 17 da estrada que Liga os Povoados de Vera Cruz (ex 41) e Vale Verde. Capoeira alta a 2-5 km da bifurcacão.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1408558 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1408558","NL-U1408558",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:02:41-03","NBC","NL-BOTANY","U.1408559","PreservedSpecimen","Plantae",NA,"Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"Mori S; Funch R",NA,"1980","03","08","Southern America","Brazil",NA,NA,"Plantas da Bahia. Municipio de Lencois. Arredores de Lencois, estrada para As Tocalhas, a 6 km ao N de Lencois. Mata de Cipó perturbada.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1408559 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1408559","NL-U1408559",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:02:41-03","NBC","NL-BOTANY","U.1408560","PreservedSpecimen","Plantae",NA,"Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"Mori SA; Santos TS dos; Thompson CB",NA,"1978","08","20","Southern America","Brazil",NA,NA,"Mun. de Porto Seguro. Estrada nova que liga a Rod. BR 367 com o Arraial d'Ajuda. Mata com pletamente devastada, formando capoeira, a 17km do entroncamento com a BR 367. Cerca de 30 km a W de Porto Swguro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1408560 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1408560","NL-U1408560",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"13","2019-02-15 11:41:01-02","IPA","IPA","30303","S","Plantae","Plantae",NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A. Mori","Mori, S.A.","Carvaho; Amorim, A.M.","1087","1981","12","22","Southern America","Brasil","Bahia","Lençóis","Ca. de 5km da estrada de Lençois por BR- 242.","-41.3899993896484","-12.563099861145",NA,"Àrvore com ca. de 12m de altura. Folhas Concolor. Flores alvas, estames amarelos.","IPA0030303",NA,NA,NA,NA,"1982","04",NA,NA,NA,"47385","auto",NA,NA,NA,NA,NA
