"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","class","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1291887","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","taeniosa","Calathea taeniosa","Joriss.","M. T. Madison","5697","1978","11","02","South America","Brazil","Amazonas","Rio Negro forest at Igarape do Taruma, near Manaus","-60.0961","-3.0058218","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1761186' target='other'> <mi>dwc_moreinfo</mi></a>","NY01291887","NY01291887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1291886","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","taeniosa","Calathea taeniosa","Joriss.","G. T. Prance","20513","1974","03","14","South America","Brazil","Amazonas","Manaus-Porto Velho Highway, km 246, 4 km south of Igapó Açu.","-61.29","-4.7086","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1761185' target='other'> <mi>dwc_moreinfo</mi></a>","NY01291886","NY01291886_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1291888","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","taeniosa","Calathea taeniosa","Joriss.","G. T. Prance","11280","1971","04","02","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara Road, Km 27","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1761187' target='other'> <mi>dwc_moreinfo</mi></a>","NY01291888","NY01291888_01","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-12-15 15:19:00-02","NY","NYBG","1291885","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","taeniosa","Calathea taeniosa",NA,"E. de Oliveira","4836","1968","09","04","South America","Brazil","Pará","Rio Jari, Planalto de Monte Dourado","-52.6008224","-0.8809315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1761184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01291885","NY01291885_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:37:16-03","NBC","NL-BOTANY","U.1391571","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","taeniosa","Calathea taeniosa","Joriss.","Madison MT; Kennedy H",NA,"1978","11","02","Southern America","Brazil",NA,"Amazonas, Rio Negro Igarape do Taruma, near Manaus.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1391571 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1391571","NL-U1391571",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:37:16-03","NBC","NL-BOTANY","U.1391572","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","taeniosa","Calathea taeniosa","Joriss.","Prance GT; et al.",NA,"1974","03","14","Southern America","Brazil",NA,"Brazilian Amazonia. State of Amazonas. Manaus-Porto-Velho Highway. Km. 246, 4km south of Igapo Acu.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1391572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1391572","NL-U1391572",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:37:16-03","NBC","NL-BOTANY","U.1391573","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","taeniosa","Calathea taeniosa","Joriss.","Prance GT; et al.",NA,"1971","04","02","Southern America","Brazil",NA,"Brazilian Amazonia. Reserva Florestal Ducke, Manaus-Itacoatiara road, Km. 27.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1391573 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1391573","NL-U1391573",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:37:16-03","NBC","NL-BOTANY","WAG.1933194","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","taeniosa","Calathea taeniosa","Joriss.","Coelho LF; et al.",NA,"1971","04","02","Southern America","Brazil",NA,"Plants of Brazilian Amazônia. Estado do amazonas. Vicinity of Manaus. Reserva Florestal Ducke, manaus-Itacoatiara. Road, km 27.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1933194 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1933194","NL-WAG1933194",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:13:06-03","ESALQ","ESA","62908","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Marantaceae","Goeppertia","widgrenii","Goeppertia widgrenii",NA,"Folli, D.A.","1341.0","1991","04","16",NA,"Brasil","Espírito Santo",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA062908","ESA062908","Linhares",NA,"Saka, M.N.","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:13:06-03","ESALQ","ESA","62626","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Marantaceae","Goeppertia","widgrenii","Goeppertia widgrenii","(Körn.) Borchs. & S. Suárez","Kollmann, L.","1449.0","1998","12","30",NA,"Brasil","Espírito Santo",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"ESA062626","ESA062626","Santa Teresa",NA,"Saka, M.N.","23813","auto","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-07-02 14:55:34-03","JBP","HPL","12164","S","Plantae",NA,NA,"Marantaceae","Calathea","widgrenii","Calathea widgrenii","Körn.","S. Vieira, H. Lorenzi, L. Kohlmann & M. Peixoto","433","2010","12","07",NA,"Brasil","BA","Coletado na fazenda Novo Horizonte, em local úmido e sombrio; população a beira de um riacho.","-39.5311","-17.0392",NA,NA,NA,NA,"Itamaraju",NA,"D.S. Gissi","55932","auto","2012","01","17","39° 34' 66 W","16° 58' 98 S","82","82",NA,NA,NA
"12","2015-07-02 14:02:52-03","JBP","HPL","12429","S","Plantae",NA,NA,"Marantaceae","Goeppertia","taeniosa","Goeppertia taeniosa","(Joriss.) Borchs. & S. Suárez","H. Lorenzi","7057","2011","03","27",NA,"Brasil","SP","Coletado sob cultivo no Jardim Botânico Plantarum; originário do Parque Nacional da Amazônia, Itaituba, Pará (PARNA; coleta PA/SV-64).","-47.29","-22.77",NA,NA,NA,NA,"Nova Odessa",NA,"M.N. Saka","8440","auto","2013","07","10",NA,NA,NA,NA,NA,NA,NA
"13","2015-07-02 14:02:52-03","JBP","HPL","12428","S","Plantae",NA,NA,"Marantaceae","Goeppertia","taeniosa","Goeppertia taeniosa","(Joriss.) Borchs. & S. Suárez","H. Lorenzi","7056","2011","03","27",NA,"Brasil","SP","Coletado sob cultivo no Jardim Botânico Plantarum; originário do Parque Nacional da Amazônia, Itaituba, Pará (PARNA; coleta PA/SV-67).","-47.29","-22.77",NA,NA,NA,NA,"Nova Odessa",NA,"M.N. Saka","8440","auto","2013","07","10",NA,NA,NA,NA,NA,NA,NA
"14","2019-02-15 11:45:26-02","IPA","IPA","49733","S","Plantae","Plantae",NA,"Marantaceae","Goeppertia","widgrenii","Goeppertia widgrenii","(Körn.) Borchs. & S. Suárez","Gallindo, F.","86","1984","09","04","Southern America","Brasil","Pernambuco","Estação Florestal de Saltinho.","-35.1585998535156","-8.66361045837402",NA,"Erva de 0,5m de altura, flores alvas.","IPA0049733",NA,"Rio Formoso",NA,"Luna, N.K.","21734","auto","2018","08","08",NA,NA,NA,NA,NA,NA,NA
"15","2019-02-15 11:45:27-02","IPA","IPA","65951","S","Plantae","Plantae",NA,"Marantaceae","Goeppertia","widgrenii","Goeppertia widgrenii","(Körn.) Borchs. & S. Suárez","Oliveira, M.; Grillo, A.A.; Grillo, A.A.","909","2002","04","23","Southern America","Brasil","Alagoas","Coimbra, grota do Varjão. Vegetação arbustivo-arbórea densa, solo humoso. Área de topo.","-35.9393997192383","-8.97249984741211",NA,"Erva de folhas ovais, flores alvas. Frequente.","IPA0065951",NA,"Ibateguara",NA,"Saka, M.N.","16798","auto","2013","06",NA,NA,NA,NA,NA,NA,NA,NA
