"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","138360","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke","isotype fragment","W. A. Ducke","s.n.","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138360","NY00138360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2086743","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"G. A. Black","47-1659","South America","Brazil","Belterra. Beira da estrada.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2226827' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086743","NY02086743_01","1947","10","13","Pará","-54.9412537","-2.9258973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01887519","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"G. T. Prance","18027","South America","Brazil","Rio Cuieras near Jarada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2124021' target='other'> <mi>dwc_moreinfo</mi></a>","NY01887519","NY01887519_01","1973","09","17","Amazonas","-60.3529429","-2.6996631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:50:19-03","EAO","IAN","174094","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Araújo, CM","133","Southern America","Brasil","Mina de N-4E.",NA,NA,"IAN174094",NA,"1987","06","29","Pará",NA,NA,"Ribeiro, BGS","1994","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:50:19-03","EAO","IAN","189173","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Nascimento, EAP; Carvalho, LT de; Oliveira, JCL de; Souza, HJR","226","Southern America","Brasil","Beira da Estrada Benjamin Constant",NA,"Árvore de 5m de altURA; DAP 3,3cm, base reta, ritidoma acizentado liso, casca morta marrom escuro, casca viva creme, alburno creme, flor ou fruto?????","IAN189173",NA,"2012","11","28","Pará","-46.724778","-1.083972","Oliveira, JCL de; Nascimento, EAP","2013","03","25","Bragança","-46.724778","-1.083972",NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:50:19-03","EAO","IAN","110636","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Coêlho, DF","4024","Southern America","Brasil","BR-17, km 9, terreno firme, arenoso, úmido, capoeira alta, fechada.",NA,NA,"IAN110636",NA,"1956","08","01","Amazonas","-60.0250015258789","-3.10193991661072","Moldenke, HN","1958","06",NA,"Manaus",NA,NA,"138090","auto",NA,NA,NA,NA
"7","2021-03-30 12:50:19-03","EAO","IAN","110692","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Coêlho, DF","5729","Southern America","Brasil","Igarapé do Leão, terreno firme, arenoso, mata virgem.",NA,NA,"IAN110692",NA,"1957","09","03","Amazonas","-60.0250015258789","-3.10193991661072","Moldenke, HN","1958","06",NA,"Manaus",NA,NA,"138090","auto",NA,NA,NA,NA
"8","2021-03-30 12:50:19-03","EAO","IAN","29879","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Black, GA","1659","Southern America","Brasil","Beira da estrada, mata virgem.",NA,NA,"IAN029879","IAN029879 IAN029879_e IAN029879_e1","1947","10","13","Pará","-54.937198638916","-2.63638997077942","Moldenke, HN","1950","06",NA,"Belterra",NA,NA,"74752","auto",NA,NA,NA,NA
"9","2021-03-30 12:50:19-03","EAO","IAN","174719","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Rodrigues, IA","s.n.","Southern America","Brasil","Tucuruí. Estrada da piçarreira.",NA,"Arbusto de 0,80m.","IAN174719",NA,"1994","07","30","Pará","-49.4609985351562","-4.00899982452393",NA,NA,NA,NA,"Breu Branco",NA,NA,"108062","auto",NA,NA,NA,NA
"10","2021-03-30 12:50:19-03","EAO","IAN","177341","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Stone, A","46","Southern America","Brasil",NA,NA,NA,"IAN177341",NA,"2002","10","23","Pará","-47.312198638916","-1.19193994998932",NA,NA,NA,NA,"Peixe-Boi",NA,NA,"27180","auto",NA,NA,NA,NA
"11","2021-03-30 12:50:19-03","EAO","IAN","163111","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Rosário, CS; Santos, MR dos","1029","Southern America","Brasil","Margem direita do rio Curuauna. Reserva Florestal do Curuauna (SUDAM). Localidade Barreirinha, área inventariada de 2.000 x 5.000. Talhãos 1 Linha 27-28-29-30-31-32. Mata aberta com cipós, árvores de médio porte, com bastante littler, clareiras devid",NA,NA,"IAN163111",NA,"1988","08","26","Pará","-54.7083015441895","-2.44305992126465","Rosário, CS",NA,NA,NA,"Santarém",NA,NA,"205258","auto",NA,NA,NA,NA
"12","2020-02-08 09:33:00-03","NBC","NL-BOTANY","U.1763511","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Vitex","brevilabiata","Vitex brevilabiata","Ducke","isotype","Ducke A",NA,"Southern America","Brazil","circa Villa Braga prope cataractam infimam? fluminis Tapajoz, civ. Pará",NA,"In sylvis non inundatis<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1763511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1763511","NL-U1763511","1922","09","23","Pará",NA,NA,"Moldenke HN","1936","03","01",NA,NA,NA,NA,NA,"Magnoliopsidae","U 0007049 | 63344",NA,NA
"13","2015-09-29 00:54:08-03","MNHN","RECOLNAT_MNHN_P","P00689626","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke","isotype","Ducke, A.",NA,NA,"Brésil","Rio Tapajoz (civ. Para) circa cataractas inferiores locoVilla Braga, silva primaris locis altis","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00689626' target='other'> <mi>dwc_moreinfo</mi></a>","P00689626","P00689626_01",NA,NA,NA,NA,NA,NA,"Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18954",NA
"14","2010-06-14 10:52:00-03","MO","MOBOT","100282121","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"A. Ducke","Ducke 311","South America","Brazil",NA,NA,NA,NA,NA,"1919","12","7","Rio de Janeiro",NA,NA,"H.N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","2015-07-14 14:47:00-03","MO","MOBOT","100831038","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Ludwig Riedel","Riedel s.n.","South America","Brazil","Ceyoba.",NA,NA,NA,NA,"1821",NA,NA,NA,NA,NA,"R.L. Liesner (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"16","2015-07-14 14:48:00-03","MO","MOBOT","100831039","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Ludwig Riedel","Riedel s.n.","South America","Brazil",NA,NA,NA,NA,NA,"1821",NA,NA,NA,NA,NA,"R.L. Liesner (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","2020-08-31 08:59:34-03","INPA","INPA","41331","S","Plantae","Dicotyledon Asterids","Lamiales","Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Prance, GT","18027","Southern America","Brasil","Rio Cuieiras near Jarada, Rio Cuieras near Jarada. Forest on terra firme.",NA,NA,"INPA0041331","INPA0041331 INPA0041331_e INPA0041331_nd","1973","09","17","Amazonas","-60.352943","-2.699663","Moldenke, HN","1980",NA,NA,NA,"-60.352943","-2.699663",NA,NA,NA,NA,NA,NA
"18","2020-08-31 08:59:34-03","INPA","INPA","20861","S","Plantae","Dicotyledon Asterids","Lamiales","Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"Barata, L","INPA20861","Southern America","Brasil","BR 174, km 11, Igarapé Leão, Próximo ao igarapé do Leão, estrada Manaus-Caracaraí, km 8.",NA,NA,"INPA0020861","INPA0020861 INPA0020861_e","1968","01","11","Amazonas","-60.155569","-3.515683",NA,NA,NA,NA,"Manaus","-60.155569","-3.515683",NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","1441532","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke","Type collection","A. Ducke","311","South America - Neotropics","Brazil","Rio Tapajoz, prope cataretas inferior loco Pocar.",NA,NA,"US00433456","US00433456_01","1919","12","7","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"20","2020-09-12 05:00:02-03","US","US","2898198","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"G. T. Prance, C. C. Berg, F. A. Bisby, W. C. Steward & et al.","18027","South America - Neotropics","Brazil","Brazilian Amazonia. Rio Cuieras. Rio Cuieras near Jarada.",NA,NA,"US02780753","US02780753_01","1973","9","17","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"21","2020-09-12 05:00:02-03","US","US","1441630","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke",NA,"A. Ducke","18954","South America - Neotropics","Brazil","Procedencia Rio Tapajiz (civ. Pará) circa cataractas infimes loco Villa Braga.",NA,NA,"US02780754","US02780754_01","1922","9","23","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"22","2019-09-04 18:57:44-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Verbenaceae","Vitex","brevilabiata","Vitex brevilabiata",NA,"Type [status unknown]","A. Ducke",NA,"South America","Brazil",NA,NA,NA,NA,NA,"1919","12","7",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"23","2014-09-23 10:58:05-03","G","G","G00366670","S","Plantae",NA,NA,"Lamiaceae","Vitex","brevilabiata","Vitex brevilabiata","Ducke","ISOSYNTYPUS of Vitex brevilabiata Ducke","Ducke, A.","18954","AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=257656&base=img&lang=en","G00366670","G00366670","1922","09","23","Pará","-52.53","-5.64861111","Moldenke, H. N.","1936","01","01",NA,"-52.53","-5.64861111",NA,NA,NA,NA,NA,NA
