"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1182019","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","A. J. G. H. Kostermans","A. F. M. Glaziou","20444","1907","10","South America","Brazil","Rio de Janeiro","Alto Macahé de Nova Friburgo at Terra Estrella.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391338' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182019","NY01182019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","260246","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Hufelandia","rigida","Hufelandia rigida","Mez",NA,"A. F. M. Glaziou","19793","1892",NA,"South America","Brazil","Rio de Janeiro","Alto Macabé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260246","NY00260246_01","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:32:18-03","UNICAMP","UEC","64321","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"Lima, HC; et al.","3707","1989","09",NA,"Brazil","Rio de Janeiro","Reserva ecológica Municipal de Macaé de Cima,Estrada p/ Hotel Fax. São João. 2km antes do sitio Sophronites,",NA,"Árvore 17m, tronco com casca rugosa e levemente fissurada. DAP= 26cm; botões esverdeados e flores verde-amareladas, anteras amarelas. Folhas jovens vinosas. Frequente na mata de encosta.","UEC005574","UEC005574",NA,"14","Nova Friburgo","-42.05","-22","-42.05","-22","1100","1200",NA,NA,NA,NA,NA,NA
"4","2020-06-29 09:30:35-03","UFRRJ","RBR","21713","S","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"F.C. Nettesheim","194","2005","08",NA,"Brasil","Rio de Janeiro","Ilha da Marambaia, Ponta do Varejo",NA,NA,"RBR00021713",NA,NA,"07","Mangaratiba","-44.040599822998","-22.9596996307373",NA,NA,NA,NA,"17272","auto",NA,NA,NA,NA
"5","2020-12-21 16:30:44-03","MBM","MBM","304219","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"Lima, H.C. de; et al.; et al.","3707","1989","09","Southern America","Brazil","Rio de Janeiro","REserva Ecológica Municipal de Macaé",NA,NA,"MBM304219","MBM304219",NA,"14","Nova Friburgo","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA
"6","2015-09-03 18:56:18-03","MNHN","RECOLNAT_MNHN_P","P02002261","PreservedSpecimen",NA,NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02002261' target='other'> <mi>dwc_moreinfo</mi></a>","P02002261","P02002261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20444",NA,NA,NA
"7","2015-09-03 18:58:19-03","MNHN","RECOLNAT_MNHN_P","P00124821","PreservedSpecimen",NA,NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","Sachiko Nishida","Glaziou, A.",NA,"1892","10",NA,"Brésil",NA,"Rio de Janeiro: Alto Macahé","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00124821' target='other'> <mi>dwc_moreinfo</mi></a>","P00124821","P00124821_01",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19793",NA,NA,NA
"8","2015-09-29 20:06:10-03","MNHN","RECOLNAT_MNHN_P","P00124826","PreservedSpecimen",NA,NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","Sachiko Nishida","Glaziou, A.",NA,NA,NA,NA,"Brésil",NA,"Rio de Janeiro: Alto Macahé","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00124826' target='other'> <mi>dwc_moreinfo</mi></a>","P00124826","P00124826_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19790",NA,NA,NA
"9","2015-09-05 06:54:36-03","MNHN","RECOLNAT_MNHN_P","P00124836","PreservedSpecimen",NA,NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","Sachiko Nishida","Glaziou, A.",NA,NA,NA,NA,"Brésil",NA,"Rio de Janeiro: Alto Macahé","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00124836' target='other'> <mi>dwc_moreinfo</mi></a>","P00124836","P00124836_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19790",NA,NA,NA
"10","2015-09-04 01:14:47-03","MNHN","RECOLNAT_MNHN_P","P00124837","PreservedSpecimen",NA,NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","Sachiko Nishida","Glaziou, A.",NA,"1892","10",NA,"Brésil",NA,"Rio de Janeiro: Alto Macahé","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00124837' target='other'> <mi>dwc_moreinfo</mi></a>","P00124837","P00124837_01",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19793",NA,NA,NA
