"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","typeStatus","relationshipType","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:33:47-03","UNESC","CRI","3475","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena","(DC.) Landrum","Marcos Sobral","Robson dos Santos","156","1992","11","12","Brasil","Rio Grande do Sul","Cambará do Sul","-50.144167","-29.047778","50º8'39''W","29º2'52''S","1019","1019","Habitat: mata atlântica Habito: arbusto","CRI005225","CRI005225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:39-03","UNESC","CRI","14474","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena","(DC.) Landrum","Sobral, M","Verdi, M.; Gasper, A.L. de","2073","2009","04","27","Brasil","Santa Catarina","Urubici","-49.591111","-28.0825","49º35'28''W","28º4'57''S","1407","1407","Florística IFFSC 165(Arbórea) Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração; entorno da mata Habito: arbórea;","CRI013612","CRI013612","2009","07","17","Xaxim. Xaxim.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:39-03","UNESC","CRI","6276","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena","(DC.) Landrum","Vanilde Citadini- Zanette","Átila Portal",NA,"1997","01","01","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI005224","CRI005224",NA,NA,NA,"Beira Canyon Malacara.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:39-03","UNESC","CRI","10351","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena","(DC.) Landrum","Vanilde C. Zanette",NA,NA,NA,NA,NA,"Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI005226","CRI005226","2013","11","12","Aparados da Serra.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:39-03","UNESC","CRI","8524","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena","(DC.) Landrum","M. Sobral","M. Verdi; F. E. Carneiro",NA,"2008","03","26","Brasil","Santa Catarina","São José do Cerrito","-50.579722","-27.661389","50º34'47''W","27º39'41''S","1051","1051","Habito: Arbustivo","CRI013846",NA,"2008","04","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","11474","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena","(DC.) Landrum","Fábio C. S. Vieira","A.L. de Gasper; F.E. Carneiro","3068","2012","12","11","Brasil","Santa Catarina","Campo Alegre","-49.258333","-26.213333","49º15'30''W","26º12'48''S","958","958","Floresta Ombrófila Mista Habitat: beira da mata Habito: árvore","CRI005227","CRI005227","2020","04","17","Estrada para as Minas de Caulin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615634","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena","(DC.) Landrum","M. L. Kawasaki","A. M. V. de Carvalho","6590","1998","08","29","Brazil","Bahia","Rio de Contas","-41.8969","-13.3889",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=481407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615634","NY00615634_01",NA,NA,NA,"Pico do Itubira. Cerca de 31 km SW da cidade, caminho para Mato Grosso","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1551140","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena alpigena","(DC.) Landrum",NA,"J. M. A. Braga","3883","1997","01","23","Brazil","Rio de Janeiro","Itatiaia","-44.65833","-22.35833",NA,NA,"2200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1911927' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551140","NY01551140_01",NA,NA,NA,"Parque Nacional de Itatiaia. Estrada para o Pico das Agulhas Negras.","Magnoliophyta","Myrtales","South America","sheet","alpigena",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615635","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena rufa","(O.Berg) Landrum","L. R. Landrum","G. G. Hatschbach","41990","1978","12","05","Brazil","Paraná","Bocaiúva do Sul","-48.888796","-25.118389",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615635","NY00615635_01",NA,NA,NA,"Bocaiuva do Sul, arredores","Magnoliophyta","Myrtales","South America","sheet","rufa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00908333","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena rufa","(O.Berg) Landrum","L. R. Landrum","H. S. Irwin","29386","1971","01","30","Brazil","Minas Gerais","Ouro Preto","-43.5057","-20.3874",NA,NA,"1600","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908333","NY00908333_01",NA,NA,NA,"Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 2 km S. of Ouro Preto","Magnoliophyta","Myrtales","South America","sheet","rufa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","615627","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","alpigena","Myrceugenia alpigena","(DC.) Landrum",NA,"A. F. M. Glaziou","16050","1887","01","21","Brazil","Rio de Janeiro",NA,"-43.073169","-22.496706",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=481412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615627","NY00615627_01",NA,NA,NA,"Haut des Orgaos","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
