"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","10831","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Moric. ex DC.","Zenaide P. Topanotti","Brasil","Santa Catarina","Criciúma","Morro Estevão.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI006556","CRI006556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","13656","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Moric. ex DC.","Alexandre Medeiros","Brasil","Santa Catarina","Balneário Camboriú","Pinhonat","-48.637778","-27.001389","48º38'16''W","27º0'5''S",NA,NA,"CRI012263","CRI012263","Alexandre Medeiros","2018","01","13","2018","01","13","Coleta 839 Indivíduo de Flores Brancas Habitat: Terrestre Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:08-03","UNESC","CRI","11983","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Moric. ex DC.","Aline Votri Guislon; Jhoni Caetano; Peterson Teodoro Padilha; Robson dos Santos & Humberto de Bona Martins","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","CRI010129","CRI010129","Aline Votri Guislon","2014","12","09","2014","12","09","Habito: Árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:25-03","UNESC","CRI","6256","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Moric. ex DC.","V. Citadini-Zanette; R. dos Santos & C. Martinelo","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","CRI006553","CRI006553","Vanilde Citadini- Zanette",NA,NA,NA,"1993","12","13",NA,"2535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:25-03","UNESC","CRI","9744","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Moric. ex DC.","Vanilde C. Zanette; San Zatta Custódio, Karoline Ceron & Humbero de Bona","Brasil","Santa Catarina","Urussanga","Vale dos Figos.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","110","110","CRI006555","CRI006555","Vanilde C. Zanette","2012","10","20","2012","10","20","Floresta Ombrófila Densa Submontana Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:08-03","UNESC","CRI","3170","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Moric. ex DC.","Vanilde Citadini-Zanette; Aurélio José de Aguiar","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI006552","CRI006552","Vanilde Citadini- Zanette",NA,NA,NA,"1993","07","23",NA,"1824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:25-03","UNESC","CRI","15393","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Moric. ex DC.","Alexandre Medeiros","Brasil","Santa Catarina","Balneário Camboriú","PINHONAT","-48.640278","-26.999167","48º38'25''W","26º59'57''S",NA,NA,"CRI014810",NA,"Isadora Zapelini & José T. Pires","2020","08","09","2017","10","24","Habito: Arbóreo","607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:08-03","UNESC","CRI","14171","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Moric. ex DC.","Robson dos Santos & Vanilde Citadini","Brasil","Santa Catarina","Praia Grande",NA,"-49.950278","-29.198611","49º57'1''W","29º11'55''S",NA,NA,"CRI012823",NA,"Robson dos Santos & Vanilde Citadini","2001","11","01","2001","11","01","Habitat: Terrestre Habito: Arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:25-03","UNESC","CRI","1444","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Moric. ex DC.","R. Negrelle; C. Londero","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI006554","CRI006554","S. M. Silva",NA,NA,NA,"1993","03","03","Habito: árvore","827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:08-03","UNESC","CRI","13261","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Moric. ex DC.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","Brasil","Santa Catarina","Orleans",NA,"-49.231944","-28.352778","49º13'55''W","28º21'10''S","345","345","CRI011810",NA,"Kassner-Filho, A.","2017","10","03","2017","10","03","botão floral Habitat: interior do fragmento Habito: árvore","1168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
