"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","402888","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","spongiosus","Handroanthus spongiosus","(Rizzini) S.O.Grose","S. L. Ginzbarg","804","1988","03","22","South America","Brazil","Bahia","Iaçú","Rodovia Iaçu/Milagres (BA 046), km 13. Coletas no início do ramal para as fazendas Suibra e Morros. Lado esquerda da rodovia.","-40.17","-12.82","240","240","sheet","Coletado em álcool. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402888","NY00402888_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1552034","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","spongiosa","Tabebuia spongiosa","Rizzini","L. Coradin","5968","1983","06","23","South America","Brazil","Pernambuco","Petrolina","Area do Banco ativo de germoplasma de plantas forrageiras do cpatsa/embrapa","-40.3","-9.07","450","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434153' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552034","NY01552034_01","A. H. Gentry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-11 10:01:15-03","UNIVASF","HVASFW","36","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","spongiosus","Handroanthus spongiosus","(Rizzini) S.Grose","J.A. Siqueira Filho",NA,"2009","10","15","América do Sul","Brasil","Ceará","Brejo Santo","Lote 3. Atividades de supressão vegetal do PISF.","-39.103611","-7.472222","954","954",NA,"Árvore. Flores e frutos ausentes.DNS 8.28. Cerne marrom, alburno claro, anéis de crescimento visíveis. Ritidoma ca. 2mm espessura desprendimento de casca em camadas verticais. Madeira dura ao corte.","HVASFW000036",NA,"J.A. Siqueira Filho","2009","10","15","-39.103611","-7.472222","U",NA,NA,NA,NA,NA,NA,NA
"4","2021-01-11 10:01:15-03","UNIVASF","HVASFW","33","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","spongiosus","Handroanthus spongiosus","(Rizzini) S.Grose","J.A. Siqueira Filho",NA,"2009","10","15","América do Sul","Brasil","Ceará","Brejo Santo","Lote 3. Atividades de supressão vegetal do PISF.","-39.103611","-7.472222","954","954",NA,"#","HVASFW000033",NA,"J.A. Siqueira Filho","2009","10","15","-39.103611","-7.472222","U",NA,NA,NA,NA,NA,NA,NA
"5","2021-01-11 10:01:15-03","UNIVASF","HVASFW","391","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","spongiosus","Handroanthus spongiosus","(Rizzini) S.Grose","F.F.S. Silva",NA,"2013","02","21","América do Sul","Brasil","Pernambuco","Verdejante","VPR Pilões. Área de Supressão Vegetal (ASV) destinada à Irrigação","-39.037167","-7.875167","515","515",NA,"Árvore ca. 4m alt. Flores e frutos ausentes.","HVASFW000391",NA,"F.F.S. Silva","2013","02","21","-39.037167","-7.875167","U",NA,NA,NA,NA,NA,NA,NA
"6","2021-01-06 11:41:58-03","UFPI-MRV","HDELTA","3558","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","spongiosus","Handroanthus spongiosus","(Rizzini) S.Grose","Fernandes, A.; Bezerra, P. & Matos","(s.n.)","1978","12","18",NA,"Brasil","Piauí","São Raimundo Nonato","Barreirinha","-42.6994018554688","-9.01527976989746",NA,NA,NA,NA,"HDELTA003558",NA,"Ataíde, M.","1979","05","04",NA,NA,NA,"45407","auto",NA,NA,NA,NA,NA
"7","2019-11-19 15:43:31-03","UNEB","HUNEB","14084","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Bignoniaceae","Handroanthus","spongiosus","Handroanthus spongiosus","(Rizzini) S. Grose","Santo, F.S.E.","94","2007","11","28",NA,"Brasil","Pernambuco","Petrolina","BR 428, sentido Embrapa Semi-Árido","-40.5008010864258","-9.39861011505127",NA,NA,NA,NA,"HUNEB0014084",NA,"A.R. Zuntini","2011","12",NA,NA,NA,NA,"90462","auto","Dicotyledoneae",NA,NA,NA,NA
"8","2019-11-19 15:43:31-03","UNEB","HUNEB","14072","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Bignoniaceae","Handroanthus","spongiosus","Handroanthus spongiosus","(Rizzini) S. Grose","J.V.A. Ferreira","25","2011","02","25",NA,"Brasil","Pernambuco","Lagoa Grande","Fazenda Ouro Verde - Vermelhos","-40.125","-9.046944",NA,NA,NA,NA,"HUNEB0014072",NA,NA,NA,NA,NA,"40W7'30''","9S2'49''",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"9","2019-10-09 11:11:50-03","UFBA","ALCB","20106","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Handroanthus","spongiosus","Handroanthus spongiosus","(Rizzini) S.Grose","Queiroz, LP de; et al.","2135","1987","11","03","Southern America","Brasil","Bahia","Ibotirama","20km W da cidade de Ibotirama.","-43.2206001281738","-12.1852998733521",NA,NA,NA,"de ca. 5,0-6,0 x 0,12m, despida de folhas, com flores amarelas apresentando traço vermelhos na fauce.",NA,NA,"Espírito-Santo, FS","2011","07",NA,NA,NA,NA,"71086","auto",NA,NA,NA,NA,NA
"10","2019-10-09 11:11:50-03","UFBA","ALCB","022707","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Handroanthus","spongiosus","Handroanthus spongiosus","(Rizzini) S.Grose","Salgado, OA; et al.","388","1984","05","29","Southern America","Brasil","Piauí","Paulistana","BR 407, estrada que liga Afrânio a Paulistana, a 30 km de Afrânio.","-41.1","-8.366667",NA,NA,NA,"com 4m de altura, folhas compostas trifoliadas.; Estepe Arbórea Aberta.",NA,NA,"Espírito-Santo, FS","2011","07",NA,"-41.1","-8.366667",NA,NA,NA,NA,NA,NA,NA,NA
