"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","locality","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:33:47-03","UNESC","CRI","1426","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","cauliflora","Myrciaria cauliflora","O.Berg","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette","1992","11","20","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","CRI005317","CRI005317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","4545","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora","(O.Berg) Kausel","Elisiane A. Cachoeira","Elaine","1995","10","09","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI005310","CRI005310","4","4","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:54-03","E","E","196801","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora",NA,NA,"Bohrer, C.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"E00196801",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00196801 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","184","E. Tropical South America","herbarium specimen of unspecif","BGBASE:228535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","616674","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","cauliflora","Myrciaria cauliflora","(Mart.) O.Berg","M. L. Kawasaki","M. H. Nee","1987","08","11","Bolivia","Santa Cruz","Andrés Ibáñez","-63.07","-17.77",NA,NA,"NY00616674",NA,"375","375","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47365' target='other'> <mi>dwc_moreinfo</mi></a>","35622","South America","sheet",NA,"Magnoliophyta","Myrtales","12 km E of center of Santa Cruz, on road to Cotoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","616743","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","cauliflora","Myrciaria cauliflora","(Mart.) O.Berg","M. H. Nee","M. H. Nee","1998","01","16","Bolivia","Santa Cruz","Florida","-63.82","-18.1583333",NA,NA,"NY00616743",NA,"1350","1450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47363' target='other'> <mi>dwc_moreinfo</mi></a>","48005","South America","sheet",NA,"Magnoliophyta","Myrtales","Near Achiras Camping resort, on road to Paredones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","616675","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","cauliflora","Myrciaria cauliflora","(Mart.) O.Berg","J. Mattos","A. Gehrt","1939","11","23","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00616675","NY00616675_01",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47366' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.","South America","sheet",NA,"Magnoliophyta","Myrtales","Capital, Cultivado no quintal do Departmento. Avenida Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1144312","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart.) Kausel",NA,"D. B. O. S. Cardoso","2007","05","22","Brazil","Bahia","Anguera","-39.1839","-12.1617",NA,NA,"NY01144312","NY01144312_01","300","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287253' target='other'> <mi>dwc_moreinfo</mi></a>","1970","South America","sheet",NA,"Magnoliophyta","Myrtales","Fazenda Retiro, ca. 18 km de Feira de Santana na Estrada do Feijão sentido Ipirá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","616913","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart.) Kausel","M. Sobral","J. G. Kuhlmann","1910","11","03","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00616913","NY00616913_01",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189503' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.","South America","sheet",NA,"Magnoliophyta","Myrtales","Guanabara, Horto Florestal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616912","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart.) Kausel","M. Sobral","H. S. Irwin","1958","12","03","Brazil","Minas Gerais","Viçosa","-42.868031","-20.7613428",NA,NA,"NY00616912","NY00616912_01",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189504' target='other'> <mi>dwc_moreinfo</mi></a>","2201","South America","sheet",NA,"Magnoliophyta","Myrtales","State Agricultural School, Viçosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","616948","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora","(O.Berg) Kausel","M. Sobral","J. G. Kuhlmann","1926","09","03","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00616948","NY00616948_01",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385565' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.","South America","sheet",NA,"Magnoliophyta","Myrtales","Guanabara, Horto Florestal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","616947","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora","(O.Berg) Kausel","M. Sobral","L. R. Landrum","1981","12","10","Brazil","Paraná","Antonina","-48.67","-25.33",NA,NA,"NY00616947","NY00616947_01","100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385561' target='other'> <mi>dwc_moreinfo</mi></a>","4007","South America","sheet",NA,"Magnoliophyta","Myrtales","Along road to Guaraqueçaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","616946","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora","(O.Berg) Kausel","M. Sobral","R. Reitz","1963","09","14","Brazil","Santa Catarina","Anita Garibaldi","-51.13","-27.6894",NA,NA,"NY00616946","NY00616946_01","600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385563' target='other'> <mi>dwc_moreinfo</mi></a>","16260","South America","sheet",NA,"Magnoliophyta","Myrtales","Colônia Santa Ana, Anita Garibaldi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 12:08:00-03","NY","NYBG","616950","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora",NA,"M. Sobral","T. M. Pedersen","1956","09","23","Argentina","Corrientes","Mburucuyá",NA,NA,NA,NA,"NY00616950",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385559' target='other'> <mi>dwc_moreinfo</mi></a>","3994","South America","sheet",NA,NA,"Myrtales","Estancia Santa Teresa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1039400","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora","(O.Berg) Kausel","M. Sobral","J. Wesenberg","2005","09","19","Brazil","Rio de Janeiro","Teresópolis","-43.0094","-22.4506",NA,NA,"NY01039400","NY01039400_01","1220",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485817' target='other'> <mi>dwc_moreinfo</mi></a>","924","South America","sheet",NA,"Magnoliophyta","Myrtales","Parque Nacional da Serra dos Órgãos. Vale do Rio Beija Flor.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
