"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","stateProvince","typeStatus","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","sex"
"1","2021-04-05 14:26:00-03","UNESC","CRI","3842","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis","Cham. & Schltdl.","J. A. Jarenkow","J. A. Jarenkow","1986","11","23","Brasil","Brasil","Horto Botânico Irmão Teodoro Luis.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","21","21","CRI009180","CRI009180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:05-03","UNESC","CRI","4043","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis","Cham. & Schltdl.","Piero Delprete","J. A. Jarenkow","1989","12","03","Brasil","Piratini",NA,"-53.097778","-31.447778","53º5'52''W","31º26'52''S",NA,NA,"CRI009178","CRI009178","1498","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:04-03","E","E","285142","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis",NA,NA,"Morong, Thomas (Rev.)","1905","03","02","PY",NA,"Pilcomayo River.",NA,NA,NA,NA,NA,NA,"E00285142",NA,"906",NA,"isotype","W. Tropical South America","herbarium specimen of unspecif","BGBASE:292142","<a href=http://data.rbge.org.uk/herb/E00285142 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","131072","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","morongii","Chomelia morongii","Britton",NA,"T. Morong","1890","02","04","Paraguay",NA,"Pilcomayo River",NA,NA,NA,NA,NA,NA,"NY00131072","NY00131072_01","906",NA,"type","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617064' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","131073","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","morongii","Chomelia morongii","Britton",NA,"T. Morong","1890","02","04","Paraguay",NA,"Pilcomayo River",NA,NA,NA,NA,NA,NA,"NY00131073","NY00131073_01","906",NA,"type","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617065' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","131071","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","morongii","Chomelia morongii","Britton",NA,"T. Morong","1890","02","04","Paraguay",NA,"Pilcomayo River",NA,NA,NA,NA,NA,NA,"NY00131071","NY00131071_01","906",NA,"type","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617063' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","779150","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis","Cham. & Schltdl.","S. F. Smith","M. Rossato","2001","10","21","Brazil","Caçapava do Sul",NA,"-53.4914","-30.5122",NA,NA,"350","350","NY00779150","NY00779150_01","87","Rio Grande do Sul",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801796' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","397557","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis","Cham. & Schltdl.","J. H. Kirkbride Jr.","L. R. Landrum","1981","11","30","Brazil","Mandirituba","Cachoeira and surroundings to Rio Barigui","-49.25","-25.75",NA,NA,NA,NA,"NY00397557","NY00397557_01","3902","Paraná",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157263' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00749706","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis","Cham. & Schltdl.",NA,"L. Riedel","1824","10",NA,"Brazil",NA,"Inter Sta. Luzia et Lagoa Santa (cir Minas Geraes)",NA,NA,NA,NA,NA,NA,"NY00749706","NY00749706_01","730","Minas Gerais",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=908325' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","950355","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis","Cham. & Schltdl.",NA,"J. B. E. Pohl",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00950355","NY00950355_01","434",NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061374' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","131696","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis villicalyx","Hassl.",NA,"E. Hassler",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"NY00131696","NY00131696_01","1236",NA,"syntype","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=252449' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales","villicalyx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","397561","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis","Cham. & Schltdl.","P. C. Standley","R. Reiss","1934","12","04","Brazil","Ipiranga",NA,"-50.5842","-25.0242",NA,NA,NA,NA,"NY00397561","NY00397561_01","97","Paraná",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157260' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","397570","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis","Cham. & Schltdl.","S. F. Smith","A. Kegler","1998","12","02","Brazil","Caxias do Sul","Criúva, Sao Jorge","-51.1792","-29.1683",NA,NA,"780","780","NY00397570","NY00397570_01","79","Rio Grande do Sul",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157256' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","397566","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","uruguensis","Guettarda uruguensis","Cham. & Schltdl.",NA,"R. Brefe","1960","11","08","Brazil","Paranaguá","Próximo ao Rio Pequeno","-48.5092","-25.5203",NA,NA,NA,NA,"NY00397566","NY00397566_01","330","Paraná",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157269' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
