"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","typeStatus","fieldNumber","relatedCatalogItem"
"1","2020-09-23 10:40:47-03","E","E","82972","PreservedSpecimen","Plantae","Leguminosae","Mimosa","orthacantha","Mimosa orthacantha","Silva, Cordeiro, J. & Poliquesti, C.B.","1820","1996","12","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91427","<a href=http://data.rbge.org.uk/herb/E00082972 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442809","PreservedSpecimen","Plantae","Fabaceae","Mimosa","orthacantha","Mimosa orthacantha","S. M. de Faria","370","1991","10","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442809","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Telêmaco Borba","Estrada da leiteria Fundo do Parque Ecológico","-50.6156","-24.3242","NY00442809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","442804","PreservedSpecimen","Plantae","Fabaceae","Mimosa","orthacantha","Mimosa orthacantha","G. G. Hatschbach","58198","1992","11","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442804","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Tibagi","Quartelá, Canyon Rio Iapó, lajeado do Pedregulho","-50.4133","-24.5094","NY00442804_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","442801","PreservedSpecimen","Plantae","Fabaceae","Mimosa","orthacantha","Mimosa orthacantha","G. G. Hatschbach","12914","1965","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442801","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Tibagi","Conceiçao","-50.4133","-24.5094","NY00442801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","442805","PreservedSpecimen","Plantae","Fabaceae","Mimosa","orthacantha","Mimosa orthacantha","G. G. Hatschbach","51871","1987","11","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442805","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Arapoti","Col. de Holandeses","-49.8267","-24.1581","NY00442805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","442806","PreservedSpecimen","Plantae","Fabaceae","Mimosa","orthacantha","Mimosa orthacantha","E. Barbosa","302","1999","05","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442806","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Campina Grande do Sul","Morro Camacua","-49.0553","-25.3058","NY00442806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","442811","PreservedSpecimen","Plantae","Fabaceae","Mimosa","orthacantha","Mimosa orthacantha","R. Reitz","17871","1965","12","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442811","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Castro","Carambei, Rio S. Joao","-50.152803","-24.908517","NY00442811_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","442807","PreservedSpecimen","Plantae","Fabaceae","Mimosa","orthacantha","Mimosa orthacantha","J. M. Silva","1820","1996","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442807","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Tibagi","Canyon Guartelá","-50.4133","-24.5094","NY00442807_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","442803","PreservedSpecimen","Plantae","Fabaceae","Mimosa","orthacantha","Mimosa orthacantha","G. G. Hatschbach","12914","1965","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442803","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Paraná","Tibagi","Conceiçao","-50.4133","-24.5094","NY00442803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","442810","PreservedSpecimen","Plantae","Fabaceae","Mimosa","orthacantha","Mimosa orthacantha","W. Hoehne","s.n.","1944","11","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442810","Magnoliophyta","Fabales","Benth.","R. C. Barneby","São Paulo","Sao Paulo","Parque Estadual","-46.621883","-23.654505","NY00442810_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
