"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","typeStatus","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","547507","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","uliginosa","Cleistes uliginosa","Pabst","G. F. J. Pabst","H. S. Irwin","22150","1969","01","18","South America","Brazil","Minas Gerais","12 km SW of Diamantina","1370","1370","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547507","NY00547507_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547508","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","uliginosa","Cleistes uliginosa","Pabst","G. F. J. Pabst","H. S. Irwin","22150","1969","01","18","South America","Brazil","Minas Gerais","12 km SW of Diamantina","1370","1370","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547508","NY00547508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:48-03","MN","R","121743","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, E.R.","Lutz, A.; Lutz, B.M.J.","1736","1925","01",NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,"Herbarium Lutz",NA,NA,"2005","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:48-03","MN","R","49684","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pabst, G.F.J.","Mello Filho, L.E.","759","1948","02","09",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,"1953","11","29","Bituruna","-51.5525016784668","-26.1613998413086","30743","auto",NA,NA,NA,NA,NA,NA
"5","2019-11-27 11:47:50-03","IAP","PACA-AGP","36570","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","G. Pabst","Rambo, B.",NA,"1948","02",NA,NA,"Brasil","RS","p. São Francisco de Paula",NA,NA,NA,"Habitat: in graminosis subhumidis Fenofase: flor","PACA036570","PACA036570","1952","05","15","Cambará do Sul","-50.1446990966797","-29.0478000640869","30776","auto","Liliatae","Holotipo",NA,NA,NA,NA
"6","2019-08-20 10:00:37-03","UNICAMP","UEC","122245","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, ER","Pansarin, ER; Mickeliunas, L","872","2001","12","30",NA,"Brazil","Goiás","Rodovia GO 118, Km 204, Sentido Alto Paraíso de Goiás- Terezina de Goiás, lados direito e esquerdo da pista.",NA,NA,NA,NA,"UEC064496","UEC064496","2005","05",NA,"Terezina De Goiás","-47.366667","-13.9",NA,NA,NA,NA,"-47.366667","-13.9",NA,NA
"7","2019-08-20 10:00:37-03","UNICAMP","UEC","137655","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, ER","Pansarin, ER; Mickeliunas, L","1173","2005","02","07",NA,"Brazil","Distrito Federal","Setor de Mansões Park Way, vereda da lado oposto ao Rio Taquara, na quadra 24 do conjunto 3.",NA,NA,NA,NA,"UEC017503","UEC017503","2005","05",NA,"Brasília","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:20:10-03","UNICAMP","UEC","133886","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, ER","Batista, JAN; Lemos, ARC; Oliveira Neto, OB","1233","2001","03","25",NA,"Brazil","Goiás","Chapada dos Veadeiros, Área a direita da GO-118, na altura do km 187, ca. de 21km do N e antes de Alto Paraíso.",NA,NA,NA,"Erva terrestre.Flores já passadas e outras em ainda botão. Sépalos carmim. Pétalos róseos. Labelo com a base branca e para o ápice, roxo. Lobos laterais roxo claro, lobo central roxo acenturado. Da base até o ápice dos lobos laterais c","UEC017495","UEC017495","2005","05",NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:20:10-03","UNICAMP","UEC","118924","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, ER","Batista, JAN; Lemos, ARC; Oliveira Neto, OB","1233","2001","03","25",NA,"Brazil","Goiás","Chapada dos Veadeiros, Área a direita da GO-118, na altura do km 187, ca. de 21km do N e antes de Alto Paraíso.",NA,NA,NA,"Erva terrestre.Flores já passadas e outras em ainda botão. Sépalos carmim. Pétalos róseos. Labelo com a base branca e para o ápice, roxo. Lobos laterais roxo claro, lobo central roxo acenturado. Da base até o ápice dos lobos laterais c","UEC069708","UEC069708","2005","05",NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:20:10-03","UNICAMP","UEC","117396","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, ER","Pansarin, ER; Batista, JAN","s.n.","2001","01","09",NA,"Brazil","Goiás","Rodovia GO 118, km 204, cerca de 38 km de Alto Paraíso, sentido Teresina de Goiás.",NA,NA,NA,"Flores róseas, plantas robustas, com folhas patentes.; Em solo úmido.","UEC017527","UEC017527","2005","05",NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,NA,NA
