"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","occurrenceRemarks","recordNumber","phylum","order","continentOcean","locality","preparationType","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","fieldNumber"
"1","2021-04-05 14:25:56-03","UNESC","CRI","2752","PreservedSpecimen","Plantae","Portulacaceae","Portulaca","striata","Portulaca striata","Poelln.","J. R. Mattos","R. M. Klein","1966","01","16","Brasil","Santa Catarina","Itajaí","-48.662222","-26.908333","48º39'44''W","26º54'30''S","300","300","CRI008937","CRI008937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:03-03","UNESC","CRI","2751","PreservedSpecimen","Plantae","Portulacaceae","Portulaca","striata","Portulaca striata","Poelln.","J. R. Mattos","P. R. Reitiz","1966","02","25","Brasil","Santa Catarina","Itapema","-48.617778","-27.095833","48º37'4''W","27º5'45''S","2","2","CRI008935","CRI008935","1984","Habitat: restinga Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:03-03","UNESC","CRI","2754","PreservedSpecimen","Plantae","Portulacaceae","Portulaca","striata","Portulaca striata","Poelln.","J. R. Matos","R. M. Klein","1966","07","22","Brasil","Santa Catarina","Itajaí","-48.670833","-26.907778","48º40'15''W","26º54'28''S","5","5","CRI008938","CRI008938","1984","Habitat: ruderal Habito: erva suculenta","6.770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 01:42:00-03","NY","NYBG","413686","PreservedSpecimen","Plantae","Portulacaceae","Portulaca","amilis","Portulaca amilis",NA,"M. Sosa","Sosa","1982","04","01","Argentina","Tucumán","Trancas",NA,NA,NA,NA,NA,NA,"NY00413686",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303141' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Caryophyllales","South America","Tapia. Antes del Rio","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","413685","PreservedSpecimen","Plantae","Portulacaceae","Portulaca","amilis","Portulaca amilis","Speg.","C. M. D. E. Legrand","Wilkes Expedition","1838",NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","-43.448386","-22.913514",NA,NA,NA,NA,"NY00413685","NY00413685_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303142' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Caryophyllales","South America","Near Rio de Janeiro","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:32:08-03","UFRJ","RFA","4398","PreservedSpecimen","Plantae","Portulacaceae","Portulaca","amilis","Portulaca amilis","Speg.","A.Oliveira-Paes Coelho","E. Pereira","1958","05","07","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA25081",NA,"2007","Flores amarelas","3669",NA,NA,NA,"Restinga de Jacarepaguá",NA,"01","10","57442","auto",NA,NA,NA
"7","2021-03-30 12:47:12-03","EAO","IAN","90","PreservedSpecimen","Plantae","Portulacaceae","Portulaca","amilis","Portulaca amilis","Speg.","Oliveira, A; Coelho, P","Meader, RE","1944","04","18","Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"IAN000090",NA,"2005","In red clay, field. Herb; flowers deep rose, closing about noon.","9","Dicotiledônea",NA,"Southern America","Utiarití, on rio Papagaio.",NA,"10","26",NA,NA,NA,NA,NA
"8","2021-03-30 12:47:12-03","EAO","IAN","90","PreservedSpecimen","Plantae","Portulacaceae","Portulaca","amilis","Portulaca amilis","Speg.","Oliveira, A; Coelho, P","Meader, RE","1944","04","18","Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"IAN000090",NA,"2005","In red clay, field. Herb; flowers deep rose, closing about noon.","9","Dicotiledônea",NA,"Southern America","Utiarití, on rio Papagaio.",NA,"10","26",NA,NA,NA,NA,NA
"9","2021-03-02 16:29:11-03","CPAN-UFMS","COR","7127","PreservedSpecimen","Plantae","Portulacaceae","Portulaca","amilis","Portulaca amilis","Speg.","A. Oliveira-Paes Coelho","Bortolotto, I.M.; et al.","1998","05","14","Brasil","Mato Grosso do Sul","Corumbá","-57.389722","-19.395278","57º23'23''W","19º23'43''S","107","107",NA,NA,"2008","Projeto de Pesquisa: Etnobotânica e Educação no Distrito de Albuquerque.; Com Flor: maravilha; Importância Econômica: medicinal Habito: erva",NA,NA,NA,NA,"Distrito de Albuquerque. quintal de residência; ;.",NA,"03","17",NA,NA,NA,NA,NA
"10","2020-11-26 18:09:24-03","CPAN-UFMS","COR","15211","PreservedSpecimen","Plantae","Portulacaceae","Portulaca","amilis","Portulaca amilis","Speg.","A.O.P. Coelho","Takahasi, A.; Silva, E.B.; Silva, R.H.","2006","10","24","Brasil","Mato Grosso do Sul","Corumbá","-57.6533012390137","-19.0091991424561",NA,NA,"159","159",NA,NA,NA,"Com Flor: pink. Miolo da flor mais escuro; estames amarelos; gineceu rosa","1128",NA,NA,NA,"Fazenda Banda Alta. esparsa no meio da bancada; litólico; plano.",NA,NA,NA,"295160","auto",NA,NA,NA
