"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","414785","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","plumosum","Bulbophyllum plumosum","(Barb.Rodr.) Cogn.","P. K. H. Dusén","P. K. H. Dusén","9483","1910","02","26","South America","Brazil","Paraná","Ponta Grossa","Villa Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414785","NY00414785_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","27651","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","plumosum","Bulbophyllum plumosum","(Barb. Rodr.) Cogn.","Fontana, A.P.","Fontana, A.P.","107","2001","02","24",NA,"Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, E.A.F.S.T., Valão de São Brás",NA,NA,NA,NA,"BOTU027651",NA,"2001","09","06","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:42-03","MN","R","35832","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","lundianum","Bulbophyllum lundianum","Rchb. f. & Warm.","Pabst, G.F.J.","Ule, E.H.G.",NA,"1892","02",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"1959","12","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:42-03","MN","R","3472","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","plumosum","Bulbophyllum plumosum","(Barb. Rodr.) Cogn.","Smidt, E.C.","Dusén, P.K.H.","4061","1904","03","12",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"2007","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:18:43-03","UFV","VIC","038162","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","plumosum","Bulbophyllum plumosum","Barb. Rodr.",NA,"Guarçoni, E.; Sartori, M.A.","700","2004","05","15",NA,"Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, Pedra Alta(1042 m de altura.)","-44.1721992492676","-17.7574996948242",NA,"Erva epífita em afloramento rochoso.na sombra a 4 m de solo, forma pequenas touceiras.","VIC038162","VIC038162",NA,NA,NA,NA,NA,"37503","auto",NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:20:06-03","UNICAMP","UEC","135360","S","Plantae","Liliopsida",NA,"Orchidaceae","Bulbophyllum","plumosum","Bulbophyllum plumosum","(Barb.Rodr.) Cogn.","Smidt, EC","Simões, AO; Jannini, AW; Singer, RB","779","1999","04","27",NA,"Brazil","Minas Gerais","Carrancas","Cachoeira da Zilda","-44.6425018310547","-21.4874992370605",NA,"Epífita. Flores roxo-esverdeadas. Labelo púrpura.; Em beira de curso d'água. Mata.","UEC064684","UEC064684","2005","10",NA,NA,NA,"21143","auto",NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:20:06-03","UNICAMP","UEC","122329","S","Plantae","Liliopsida",NA,"Orchidaceae","Bulbophyllum","plumosum","Bulbophyllum plumosum","(Barb.Rodr.) Cogn.","Verola, CF","Verola, CF; Semir, J; Borba, EL","s.n.","2001","04","04",NA,"Brazil","Minas Gerais","Carrancas","Pedreira do Guilherme","-44.6425018310547","-21.4874992370605",NA,"Ervas exclusivamente epífitas, com pseudobulbos globosos e agregados amarelados. Inflorescência pendente ou arqueada ca. 7 flores vináceas. Labelo.","UEC064683","UEC064683",NA,NA,NA,NA,NA,"21143","auto",NA,NA,NA,NA,NA,NA
"8","2019-08-16 08:40:23-03","UTFPR","HCF","9493","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","plumosum","Bulbophyllum plumosum","(Barb.Rodr.) Cogn.","J. Cordeiro & E. Barboza","G.L. Oliveira",NA,"2011","05","21",NA,"Brasil","PR","Ponta Grossa","Arredores do Buraco do Padre","-49.967806","-25.171944",NA,"erva heliófita, rupícola, ca. 0,10 m. Florescom cálice verde e corola roxa.",NA,NA,"2011",NA,NA,"49°58'04,1 W","25°10'19 S",NA,NA,"946","946",NA,NA,NA,NA
"9","2020-12-21 16:38:16-03","MBM","MBM","424217","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","plumosum","Bulbophyllum plumosum","(Barb. Rodr.) Cogn.","Ariati, V.","Ariati, V.; Roher, D.; Bittencourt, L.S.; Roher, D.; Bittencourt, L.S.","1755","2019","08","01","Southern America","Brazil","Paraná","Tibagi","UHE Tibagi Montante","-50.4136009216309","-24.5093994140625",NA,"Epífita, flor com tonalidades de verde, branco e vinho.; Floresta Ombrófila Mista.","MBM424217",NA,"2019","08",NA,NA,NA,"56988","auto",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:38:16-03","MBM","MBM","418317","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","plumosum","Bulbophyllum plumosum","(Barb. Rodr.) Cogn.","Roher, D.","Roher, D.; Ariati, V.; Ariati, V.","510","2019","02","28","Southern America","Brazil","Paraná","Tibagi","Resgate de Flora UHE Tibagi Montante","-50.383889","-24.584444",NA,"Arbusto, flores alvas atá róseas.; Ecótono entre Savana Gramíneo-lenhosa e Estepe Gramíneo-lenhosa.","MBM418317",NA,"2019","05","15","-50.383889","-24.584444",NA,NA,"712","712",NA,NA,NA,NA
