"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","class","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01345886","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","leptantha","Mimosa leptantha","Benth.","isotype","G. Gardner","1586","1838","07","South America","Brazil","Ceará","Aracaty","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1620401' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345886","NY01345886_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-22 11:45:40-03","IPA","IPA","6338","S","Plantae","Plantae",NA,"Leguminosae-Mim.","Mimosa","leptantha","Mimosa leptantha","Benth.",NA,"Tavares, S.","373","1953","09","Southern America","Brasil","Rio Grande do Norte","Dunas de Mãe Luíza. Encosta leste.",NA,"Erva mais ou menos frequente.Infl.róseas.","IPA0006338",NA,"Ducke, A.","1955","05","27","11","Natal","-35.209400177002","-5.79500007629395","12751","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-02-22 11:45:40-03","IPA","IPA","6294","S","Plantae","Plantae",NA,"Leguminosae-Mim.","Mimosa","leptantha","Mimosa leptantha","Benth.",NA,"Tavares, S.","290","1953","09","Southern America","Brasil","Rio Grande do Norte","Vale do Riacho do Jardim.",NA,"Erva.Flores róseas.","IPA0006294",NA,"Ducke, A.","1955","05","27","08","Nísia Floresta","-35.2085990905762","-6.09111022949219","17449","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-02-22 11:45:40-03","IPA","IPA","39661","S","Plantae","Plantae",NA,"Leguminosae-Mim.","Mimosa","leptantha","Mimosa leptantha","Benth.",NA,"Gardner, G.","1586",NA,NA,"Southern America","Brasil","Ceará","Near Aracaty.",NA,NA,"IPA0039661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-07-26 11:40:21-03","IPA","IPA","11859","S","Plantae","Plantae",NA,"Leguminosae-Mim.","Mimosa","leptantha","Mimosa leptantha","Benth.",NA,"Fernández, A.","11859",NA,NA,"Southern America","Brasil","Ceará","Campo da Escola de Agronomia.",NA,"Erva inerme.Flores róseas.","IPA0011859",NA,"Fernández, A.","1960","06","10",NA,"Fortaleza","-38.543098449707","-3.71722006797791","19924","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-21 19:35:38-03","UFC","EAC","63233","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","leptantha","Mimosa leptantha","Benth.",NA,"Rabelo, S.T.; Branco, M.S.D.; Sampaio, L.X.; Gomes, F.V.S.; Moro, M.F.","86","2018","08","Southern America","Brasil","Ceará","APA do Rio Pacoti, próximo à foz do rio",NA,"Levantamento florístico da APA do Rio Pacoti.; Subarbusto. Folhas compostas. Fruto vagem marrom.; Campo/arbustal praiano, solo arenoso.","EAC0063233","EAC0063233","Rabelo, S.T.; Branco, M.S.D.","2018","09","13","28","Aquiraz","-38.677522","-4.388339",NA,NA,"-38.677522","-4.388339",NA,NA,NA,NA,NA
"7","2021-03-21 19:35:38-03","UFC","EAC","9983","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","leptantha","Mimosa leptantha","Benth.",NA,"Fernandes, A.; Del'Arco, M.R.","EAC9983","1981","04","Southern America","Brasil","Piauí","Estação Ecológica de Uruçuí-UNA",NA,"Subarbustivo., flor rósea; Cerrado","EAC0009983","EAC0009983","Fernandes, A.; Nunes, E.","1987","06","23","14","Ribeiro Gonçalves","-45.2421989440918","-7.55833005905151","121004","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-04-08 10:06:00-03","MO","MOBOT","101189232","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","leptantha","Mimosa leptantha","Benth.","Holotype","George Gardner","Gardner 1586","1838","7","South America","Brazil","Ceará","Ceará Aracati near Aracati.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"9","2021-02-04 10:28:41-03","UFRPE","HST","373","PreservedSpecimen","Plantae",NA,NA,"Leguminosae Mimosoideae","Mimosa","leptantha","Mimosa leptantha","Benth.",NA,"S.Tavares","373","1953","09",NA,"Brasil","Rio Grande do Norte","Dunas de Mãe Luiza",NA,"Erva mais ou menos frequente; inflorescências róseas.","HST000373",NA,"J.G.A.Nascimento","2007","04",NA,"11","Natal","-35.209400177002","-5.79500007629395","12751","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-02-04 10:28:41-03","UFRPE","HST","73","PreservedSpecimen","Plantae",NA,NA,"Leguminosae Mimosoideae","Mimosa","leptantha","Mimosa leptantha","Benth.",NA,"S.Tavares","73","1952","12",NA,"Brasil","Rio Grande do Norte","Dunas de Mãe Luiza",NA,"Erva frequente; folhas viscosas as quais adere a areia.","HST000073",NA,"A.M.Miranda","2019","01","15","22","Natal","-35.209400177002","-5.79500007629395","12751","auto",NA,NA,NA,NA,NA,NA,NA
"11","2021-02-04 10:28:41-03","UFRPE","HST","290","PreservedSpecimen","Plantae",NA,NA,"Leguminosae Mimosoideae","Mimosa","leptantha","Mimosa leptantha","Benth.",NA,"S.Tavares","290","1953","09",NA,"Brasil","Rio Grande do Norte","Pirangí do Sul",NA,"Erva; flores róseas.","HST000290",NA,"J.G.A.Nascimento","2007","04",NA,"08","Nísia Floresta","-35.2085990905762","-6.09111022949219","17449","auto",NA,NA,NA,NA,NA,NA,NA
