"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","identifiedBy","yearIdentified","monthIdentified","typeStatus","dayIdentified"
"1","2020-02-08 08:45:37-03","NBC","NL-BOTANY","L.1475043","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Amaryllidaceae","Griffinia","intermedia","Griffinia intermedia","Lindl.","Vincent D","1915","11","01","Southern America","Brazil","Bahia.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1475043 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1475043","NL-L1475043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:00:12-03","JBP","HPL","13180","S","Plantae",NA,NA,"Amaryllidaceae","Griffinia","intermedia","Griffinia intermedia",NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,"1399","RJ","Mangaratiba","-44.0406","-22.9597","17272","auto",NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:32:32-02","IPA","IPA","3554","S","Plantae",NA,NA,"Amaryllidaceae","Griffinia","intermedia","Griffinia intermedia","Lindl.","Pickel, B.","1931","11","16","Southern America","Brasil","Tapera, São Bento. Mata úmida. Toró.","Plantas bulbosas. Flores brancas.","IPA0003554",NA,"2907","Pernambuco","São Lourenço da Mata","-35.0182991027832","-8.00222015380859","21764","auto","Plantae","Killip.","1933","03","ISOTYPE",NA
"4","2021-03-01 16:18:54-03","UNICAMP","UEC","185767","S","Plantae",NA,NA,"Amaryllidaceae","Griffinia","intermedia","Griffinia intermedia","Lindl.","Campos-Rocha, A","2014","11","21",NA,"Brazil","em cultivo no Jardim Botânico Plantarum","herbácea bulbosa, ca. 50 cm de altura, flores alvas de ápice e máculas lilases","UEC109159","UEC109159","1512","Rio de Janeiro",NA,NA,NA,NA,NA,"Liliopsida","Campos-Rocha, A","2014","11",NA,"21"
"5","2021-03-01 16:18:54-03","UNICAMP","UEC","185662","S","Plantae",NA,NA,"Amaryllidaceae","Griffinia","intermedia","Griffinia intermedia","Lindl.","Campos-Rocha, A; Meerow, A; Dutilh, JHA; Garcias, N","2013","01","23",NA,"Brazil","em cultivo em propriedade particular no município de Mogi das Cruzes - SP, proveniente do Parque Nacional de Itatiaia","herbácea bulbosa, ca. 20 cm de altura, flores alvas na base e lilases no ápice","UEC109169","UEC109169","1082","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto","Liliopsida","Campos-Rocha, A","2013","01",NA,"23"
"6","2020-01-13 15:09:01-03","UNICAMP","UEC","205420","S","Plantae",NA,NA,"Amaryllidaceae","Griffinia","intermedia","Griffinia intermedia","Lindl.","Streher, NS; Bergamo, PJ; Mesquita, AT","2017","01","13",NA,"Brazil","Parque Nacional do Itatiaia. Na borda da trilha para o Hotel Simon.",NA,"UEC166949","UEC166949","NS2","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto","Liliopsida","Streher, NS","2017","01",NA,"13"
"7","2020-01-13 15:09:01-03","UNICAMP","UEC","205421","S","Plantae",NA,NA,"Amaryllidaceae","Griffinia","intermedia","Griffinia intermedia","Lindl.","Streher, NS; Bergamo, PJ; Mesquita, AT","2017","01","13",NA,"Brazil","Parque Nacional do Itatiaia. Na borda da trilha para o Hotel Simon.",NA,"UEC166807","UEC166807","NS1","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto","Liliopsida","Streher, NS","2017","01",NA,"13"
"8","2017-09-11 17:06:42-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Amaryllidaceae","Amaryllis","intermedia","Amaryllis intermedia","Lindl.","Lindley, J",NA,NA,NA,"Southern America","Brazil","Brasilia Meridionali.",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-09-11 17:06:42-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Amaryllidaceae","Amaryllis","intermedia","Amaryllis intermedia","Lindl.","Sellow, F",NA,NA,NA,"Southern America","Brazil","Brasilia Meridionali.",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-09-11 17:06:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Amaryllidaceae","Griffinia","intermedia","Griffinia intermedia","Lindl.","Lindley, J",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,"s.n.","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 09:58:06-03","IBt","SP","344698","S","Plantae",NA,NA,"Amaryllidaceae","Griffinia","intermedia","Griffinia intermedia","Lindl.","Costa, A; Vieira, S; Proença, SL; Fiaschi, P; Garcia, R","2000","04","13",NA,"Brasil","Serra da Bocaina, Formoso, caminho para Pedra Redonda",NA,NA,NA,"736","São Paulo","São José do Barreiro","-44.5699996948242","-22.6399993896484","30784","auto",NA,"Campos Rocha, A","2016","07",NA,"12"
