"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","phylum","order","scientificNameAuthorship","identifiedBy","decimalLongitude","decimalLatitude","county","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","typeStatus","sex"
"1","2020-09-23 10:43:11-03","E","E","4785","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","T.M.Saniotti","259","1993","09","15","E. Tropical South America","BR","Roraima","herbarium specimen of unspecif","BGBASE:17235","<a href=http://data.rbge.org.uk/herb/E00004785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00004785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:11-03","E","E","177840","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","Fiebrig, K.","166",NA,NA,NA,"E. Tropical South America","PY",NA,"herbarium specimen of unspecif","BGBASE:193471","<a href=http://data.rbge.org.uk/herb/E00177840 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177840","Cordillera de Altos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:11-03","E","E","46856","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","Dubs, B.","941","1989","05","18","E. Tropical South America","BR","Mato Grosso","herbarium specimen of unspecif","BGBASE:54353","<a href=http://data.rbge.org.uk/herb/E00046856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00046856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:11-03","E","E","177881","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","Ratter, J.A.; Pott, A.; Narciso, Silverio & Camargo, Jesuino",NA,"1985","10","05","E. Tropical South America","BR","Mato Grosso do Sul","herbarium specimen of unspecif","BGBASE:193775","<a href=http://data.rbge.org.uk/herb/E00177881 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:11-03","E","E","177838","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","Fiebrig, K.","166",NA,NA,NA,"E. Tropical South America","PY",NA,"herbarium specimen of unspecif","BGBASE:193469","<a href=http://data.rbge.org.uk/herb/E00177838 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177838","Cordillera de Altos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:11-03","E","E","177932","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","Fiebrig, K.","4028","1905","03","22","E. Tropical South America","PY",NA,"herbarium specimen of unspecif","BGBASE:194152","<a href=http://data.rbge.org.uk/herb/E00177932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177932","Zwischen Rio Apa und Rio Aquidaban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:11-03","E","E","177839","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","Fiebrig, K.","166",NA,NA,NA,"E. Tropical South America","PY",NA,"herbarium specimen of unspecif","BGBASE:193470","<a href=http://data.rbge.org.uk/herb/E00177839 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177839","Cordillera de Altos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:11-03","E","E","177944","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","Ratter, J.A.; Pott, A.; Narciso, Silverio & Camargo, Jesuino",NA,"1985","10","05","E. Tropical South America","BR","Mato Grosso do Sul","herbarium specimen of unspecif","BGBASE:194196","<a href=http://data.rbge.org.uk/herb/E00177944 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:11-03","E","E","177946","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","Riedel",NA,NA,NA,NA,"E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:194200","<a href=http://data.rbge.org.uk/herb/E00177946 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177946","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:11-03","E","E","177945","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","Hassler, E.",NA,NA,NA,NA,"E. Tropical South America","PY","Central","herbarium specimen of unspecif","BGBASE:194197","<a href=http://data.rbge.org.uk/herb/E00177945 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177945","In regione lacus Ypacaray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:43:11-03","E","E","177947","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","caribaeum","Zanthoxylum caribaeum","Hassler, E.","12258",NA,NA,NA,"E. Tropical South America","PY","Central","herbarium specimen of unspecif","BGBASE:194203","<a href=http://data.rbge.org.uk/herb/E00177947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177947","In regione lacus Ypacaray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
