"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","infraspecificEpithet","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1801348","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","R. P. de Oliveira","937","2003","05","29","South America","Brazil","Bahia","Santa Teresinha","Pedra Branca, Serra da Jibóia, pioneira.","-39.5233001708984","-12.771900177002","25196","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2020433' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801348","NY01801348_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:20-03","UFRJ","RFA","21109","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","C.M. Rizzini; M.T.M. Széchy (52)","222","1982","10","16",NA,"Brasil","Rio de Janeiro","Bom Jesus do Itabapoana","Fazenda São Jorge","-41.6796989440918","-21.1338996887207","30210",NA,NA,"RFA46176",NA,"auto","C.M. Rizzini & M.T.M. Széchy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:45:32-03","EAO","IAN","132924","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Carauta, JPP","365","1967","03","03","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Guanabara, in hortis Jardim Bot. culta sect. 20-F.","-43.2075004577637","-22.9027996063232","57442",NA,"Arbusto de frutinhos arroxeados, infl. verde-clara.","IAN132924",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:20:57-03","UFBA","ALCB","121421","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Gomes, FS","1639","2013","05","13","Southern America","Brasil","Bahia","Mascote",NA,"-39.369444","-15.793056",NA,NA,"Látex leitoso. Folhas cartáceas, discolores. 118.1, parcela 05.","ALCB052600","ALCB052600",NA,"Gomes, FS","2013","12","-39.369444","-15.793056",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:20:57-03","UFBA","ALCB","86598","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Ramos, C.H.A.; Santos, FC; Santos, CE; Ana Rita","240 a","2008","07","10","Southern America","Brasil","Bahia","Itacaré","Litoral Sul, Mata do Laterítico","-39.731944","-14.176389",NA,NA,"Folhas coriáceas, discolores. Inflorescência axilares.","ALCB035444","ALCB035444",NA,"Guedes, ML","2009","01","-39.731944","-14.176389",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:20:57-03","UFBA","ALCB","121296","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Gomes, FS","1515","2013","03","27","Southern America","Brasil","Bahia","Una",NA,"-39.181667","-15.281944",NA,NA,"látex leitoso. Folhas com margens espinescenes.. 35.1, parcela 05.","ALCB049649","ALCB049649",NA,"Gomes, FS","2013","11","-39.181667","-15.281944",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:20:57-03","UFBA","ALCB","128557","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Guedes, ML; Santana, A; Cajado, B; Lucresia, L; Faria, M; Maia, R; et al.","25797","2017","06","29","Southern America","Brasil","Bahia","Uruçuca","Serra Grande","-39.283333","-14.583333",NA,NA,"látex leiroso. Margem da lâmina foliar quando espinescente o é apenas na metade distal. Uma inflorescência masculina por axila foliar, raque vinácea.; em estádio Secundário","ALCB045741","ALCB045741",NA,"Guedes, ML","2017","09","-39.283333","-14.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:20:57-03","UFBA","ALCB","133213","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Gomes, FS","1688","2013","03","25","Southern America","Brasil","Bahia","Belmonte",NA,"-39.238611","-15.894444",NA,NA,"Látex leitoso. Folhas discolores. Frutos avermelhados.","ALCB052816","ALCB052816",NA,"Gomes, FS","2013","12","-39.238611","-15.894444",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:20:57-03","UFBA","ALCB","031274","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Guedes, ML; Gouveia, EP de; Sette, D","5248","1996","11","10","Southern America","Brasil","Bahia","Eunápolis","Extremo Sul, Reserva da Vera Cruz Florestal","-39.5802993774414","-16.3775005340576","37596",NA,"latescente. Folhas coriáceas. Inflorescência em espigas esverdeadas. Frequente.; solo areno-argiloso.","ALCB035445","ALCB035445","auto","Castro, RM de","2006","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:20:57-03","UFBA","ALCB","027927","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Guedes, ML","s/n","1993","08","22","Southern America","Brasil","Bahia","Nova Viçosa","Extremo Sul","-39.371898651123","-17.8918991088867","70538",NA,"com látex alvo. Folhas discolores. Inflorescência esverdeada.","ALCB035443","ALCB035443","auto","Castro, RM de","2006","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
