"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","910728","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Alstroemeriaceae","Alstroemeria","foliosa","Alstroemeria foliosa","Mart.","L. B. Smith","A. Macedo","3133","1951","02","10","South America","Brazil","Minas Gerais","Araxá","Barreiro","-46.9406","-19.5933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910728","NY00910728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","545620","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Alstroemeriaceae","Alstroemeria","foliosa","Alstroemeria foliosa","Mart.","R. Ravenna","W. R. Anderson","35096","1972","02","02","South America","Brazil","Minas Gerais","Gouveia","Serra do Espinhaco, ca. 35 km SW of Gouveia, KM 243 on M.G. 259","-43.7407989501953","-18.4543991088867","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545620","NY00545620_01","37970","1080","1080","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","910729","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Alstroemeriaceae","Alstroemeria","foliosa","Alstroemeria foliosa","Mart.","A. W. Meerow","F. C. Hoehne","2882","1919","01","21","South America","Brazil","Minas Gerais",NA,"Pedra Branca. Caldas.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910729","NY00910729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","910730","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Alstroemeriaceae","Alstroemeria","foliosa","Alstroemeria foliosa","Mart.","A. W. Meerow","W. R. Anderson","35767","1972","02","10","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, summit of the Pico do Itambé","-43.3919444","-18.43185","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910730","NY00910730_01",NA,"2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","545619","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Alstroemeriaceae","Alstroemeria","foliosa","Alstroemeria foliosa","Mart.","F. C. Hoehne","H. Luederwaldt","8908","1906","05",NA,"South America","Brazil","Rio de Janeiro","Itatiaia",NA,"-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545619","NY00545619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1582932","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Alstroemeriaceae","Alstroemeria","foliosa","Alstroemeria foliosa","Mart.","M. C. de Assis","H. S. Irwin","29054","1971","01","25","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, sandstone summit of Serra de Caraça","-43.508849","-20.130068","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1851164' target='other'> <mi>dwc_moreinfo</mi></a>","NY01582932","NY01582932_01",NA,"1750","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:28:42-03","UFRJ","RFA","22744","PreservedSpecimen","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria","foliosa","Alstroemeria foliosa","Mart. ex Schult. & Schult.f.","L.B. Smith","F. Segadas-Vianna; L. Dau; W.T. Ormond; G.C. Machline","1299","1953",NA,NA,NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia","-44.4467010498047","-22.468900680542",NA,NA,"RFA35329",NA,"36089",NA,NA,"auto","1961",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:28:42-03","UFRJ","RFA","22745","PreservedSpecimen","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria","foliosa","Alstroemeria foliosa","Mart. ex Schult. & Schult.f.","L.B. Smith","Newton Santos; Excursão 224","5032","1964","02","07",NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia, Abrigo Rebouças","-44.4467010498047","-22.468900680542",NA,NA,"RFA35330",NA,"36089","2350","2350","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:51:12-03","EAO","IAN","149281","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Alstroemeriaceae","Alstroemeria","foliosa","Alstroemeria foliosa","Mart.","Ravenna, R","Anderson, WR; Stieber, MT","36873","1972","03","08","Southern America","Brasil","Bahia",NA,"Cerrado; ca. 100 km WSW of Barreiras; cerrado, campo sujo, and brejo.",NA,NA,NA,"Perennial herb; petalas reddish orange with green tips.","IAN149281",NA,NA,"700","700",NA,"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:51:12-03","EAO","IAN","149281","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Alstroemeriaceae","Alstroemeria","foliosa","Alstroemeria foliosa","Mart.","Ravenna, R","Anderson, WR; Stieber, MT","36873","1972","03","08","Southern America","Brasil","Bahia",NA,"Cerrado; ca. 100 km WSW of Barreiras; cerrado, campo sujo, and brejo.",NA,NA,NA,"Perennial herb; petalas reddish orange with green tips.","IAN149281",NA,NA,"700","700",NA,"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA
