"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","occurrenceRemarks","verbatimLongitude","verbatimLatitude","class","order","continentOcean","minimumElevationInMeters","individualCount","maximumElevationInMeters","preparationType","phylum","typeStatus"
"1","2019-12-19 11:19:09-03","UFG","UFG","5615","S","Plantae","Lamiaceae","Hyptis","angustifolia","Hyptis angustifolia","Pohl ex Benth.","Ferreira, H.D.","1998","05","05","J.A. Rizzo","5450","1970","08","29","Brasil","Goiás","Caldas Novas","-48.625","-17.74169921875","36612","UFG0005615","UFG0005615","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-19 11:19:08-03","UFG","UFG","20287","S","Plantae","Lamiaceae","Hyptis","angustifolia","Hyptis angustifolia","Pohl ex Benth.","Harley, R.M.","1996","08","16","Fonseca, A.S.","2212","1995","06","10","Brasil","Goiás","Mossâmedes","-50.2150001525879","-16.1266994476318","30139","UFG0020287","UFG0020287","auto","Reserva Biológica da Serra Dourada, Área de cerrado.","Subarbusto; corola róseo-alba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-19 11:19:09-03","UFG","UFG","29727","S","Plantae","Lamiaceae","Hyptis","angustifolia","Hyptis angustifolia","Pohl ex Benth.","Ferreira, H.D.","2004","04","30","H.D. Ferreira","4379","2005","04","30","Brasil","Goiás","Mossâmedes","-50.187056","-16.085",NA,"UFG0029727","UFG0029727",NA,"Serra Dourada",NA,"-50.187056","-16.085",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-19 11:19:09-03","UFG","UFG","30875","S","Plantae","Lamiaceae","Hyptis","angustifolia","Hyptis angustifolia","Pohl ex Benth.","Ferreira, H.D.","2008","01","31","H.D. Ferreira","4715","2006","06","06","Brasil","Goiás","Mossâmedes","-50.186889","-16.073889",NA,"UFG0030875","UFG0030875",NA,"Parque Serra Dourada",NA,"-50.186889","-16.073889",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-19 11:19:09-03","UFG","UFG","30878","S","Plantae","Lamiaceae","Hyptis","angustifolia","Hyptis angustifolia","Pohl ex Benth.","Heleno, H.D.","2008","01","31","H.D. Ferreira","4718","2006","06","06","Brasil","Goiás","Mossâmedes","-50.186889","-16.073833",NA,"UFG0030878","UFG0030878",NA,"Parque Serra Dourada",NA,"-50.186889","-16.073833",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-19 11:19:08-03","UFG","UFG","14972","S","Plantae","Lamiaceae","Hyptis","angustifolia","Hyptis angustifolia","Pohl ex Benth.","Harley, R.M.","1996","08","16","Ferreira, H.D.","2620","1993","05","12","Brasil","Goiás","Mossâmedes","-50.2150001525879","-16.1266994476318","30139","UFG0014972","UFG0014972","auto","Reserva Biológica da Serra Dourada, 1 km da cidade de Mossâmedes; solo arenoso.","Subarbusto 60 cm de altura; corola esbranquiçada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-19 11:19:08-03","UFG","UFG","11612","S","Plantae","Lamiaceae","Hyptis","angustifolia","Hyptis angustifolia","Pohl ex Benth.","Ferreira, H.D.","2001","07","18","Rizzo, J.A.; Ferreira, H.D.","10174","1981","09","01","Brasil","Goiás","Mossâmedes","-50.2150001525879","-16.1266994476318","30139","UFG0011612","UFG0011612","auto","Reserva Biológica da Serra Dourada, Aproximadamente 1 km, margem direita do córrego Fundo; campo rupestre.","Subarbusto ca. 1 m; corola branca; comum na região.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-19 11:19:09-03","UFG","UFG","4037","S","Plantae","Lamiaceae","Hyptis","angustifolia","Hyptis angustifolia","Pohl ex Benth.","Ferreira, H.D.","2001","07","12","Rizzo, J.A.","4053","1969","04","05","Brasil","Goiás","Mossâmedes","-50.2150001525879","-16.1266994476318","30139","UFG0004037","UFG0004037","auto","Reserva Biológica da Serra Dourada, Campo rupestre.","Subarbusto; corola branca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-19 11:19:09-03","UFG","UFG","4039","S","Plantae","Lamiaceae","Hyptis","angustifolia","Hyptis angustifolia","Pohl ex Benth.","Ferreira, H.D.","2001","07","12","Rizzo, J.A.","4211","1969","05","04","Brasil","Goiás","Mossâmedes","-50.2150001525879","-16.1266994476318","30139","UFG0004039","UFG0004039","auto","Reserva Biológica da Serra Dourada, Campo rupestre.","Divisa do município de Mossâmedes ao sul e Goiás ao norte; campo rupestre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-19 11:19:09-03","UFG","UFG","4050","S","Plantae","Lamiaceae","Hyptis","angustifolia","Hyptis angustifolia","Pohl ex Benth.","Ferreira, H.D.","2001","07","18","Rizzo, J.A.","4198","1969","05","04","Brasil","Goiás","Mossâmedes","-50.2150001525879","-16.1266994476318","30139","UFG0004050","UFG0004050","auto","Reserva Biológica da Serra Dourada, Campo rupestre.","Herbáceo; corola lilás.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
