"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","fieldNumber","preparationType","individualCount","minimumElevationInMeters","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2015-02-10 11:46:48-02","BM","SOLANACEAE_SOURCE_BR","26313","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S.","1998","01","01","isotype","Bowie, C.B.J.; Cunningham, A.","s.n.","1815","05","19","Southern America","Brazil","São Paulo","Prope S. Paulo. Near S. [São] Paulo.","With narrow entire undulated leaves. A small shrub.; Rare on the roadside.","BM000935621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-02-10 11:46:48-02","BM","SOLANACEAE_SOURCE_BR","39302","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S.","2009","10",NA,"isolectotype","Sellow, F.","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"sin. loc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-02-10 11:46:48-02","BM","SOLANACEAE_SOURCE_BR","41359","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S.","2009","12",NA,"isolectotype","Bowie, C.B.J.; Cunningham, A.","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"sin. loc.",NA,"G00145574","G00145574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-02-10 11:46:48-02","BM","SOLANACEAE_SOURCE_BR","8979","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S.","2002","01","01","isolectotype","Sellow, F.","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"in Brasilia australiori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-02-10 11:46:48-02","BM","SOLANACEAE_SOURCE_BR","8980","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S.","2002","01","01","isolectotype","Sellow, F.","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"in Brasilia australiori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-02-10 11:46:48-02","BM","SOLANACEAE_SOURCE_BR","8982","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S.","2002","01","01","lectotype","Sellow, F.","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"in Brasiliia australiori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-02-10 11:46:48-02","BM","SOLANACEAE_SOURCE_BR","26312","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S.","1998","01","01","isolectotype","Sellow, F.","7205",NA,NA,NA,"Southern America","Brazil",NA,"[sin loc.]",NA,"BM000565782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-02-10 11:46:48-02","BM","SOLANACEAE_SOURCE_BR","6756","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S.","2005","01","01","isolectotype","Sellow, F.","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"sin. loc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-15 21:15:00-03","MNHN","RECOLNAT_MNHN_P","P00371678","PreservedSpecimen",NA,NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp",NA,NA,NA,NA,"Gaudichaud, C.",NA,"1833",NA,NA,NA,"Brésil",NA,"Prov. Sao Paulo","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00371678' target='other'> <mi>dwc_moreinfo</mi></a>","P00371678","P00371678_01","304","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-20 00:04:25-03","MNHN","RECOLNAT_MNHN_P","P00371679","PreservedSpecimen",NA,NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,"isotype","Sellow",NA,NA,NA,NA,NA,"Brésil",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00371679' target='other'> <mi>dwc_moreinfo</mi></a>","P00371679","P00371679_01 P00371679_02",NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-09-04 13:10:17-03","MNHN","RECOLNAT_MNHN_P","P00371680","PreservedSpecimen",NA,NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,"isotype","Sellow",NA,NA,NA,NA,NA,"Brésil",NA,NA,"donné en 1855 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00371680' target='other'> <mi>dwc_moreinfo</mi></a>","P00371680","P00371680_01",NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-04 13:10:17-03","MNHN","RECOLNAT_MNHN_P","P00371681","PreservedSpecimen",NA,NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,"Prov. San Paulo","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00371681' target='other'> <mi>dwc_moreinfo</mi></a>","P00371681","P00371681_01","1179","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-16 06:06:48-03","MNHN","RECOLNAT_MNHN_P","P00371682","PreservedSpecimen",NA,NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,"Prov. San Paulo","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00371682' target='other'> <mi>dwc_moreinfo</mi></a>","P00371682","P00371682_01","1179","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2011-06-27 08:42:00-03","MO","MOBOT","1058320","PreservedSpecimen","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,NA,"F. Sellow","Sellow s.n.","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
