"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","627783","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","H. M. Longhi-Wagner","H. S. Irwin","29325","1971","01","28","South America","Brazil","Minas Gerais","Ca. 12 km W of Barao de Cocais, base of Serra da Caraça","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627783","NY00627783_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00837770","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","H. M. Longhi-Wagner","M. A. Chase","10395","1929","12","27","South America","Brazil","Minas Gerais","Diamantina, Serra de San Antonio","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837770","NY00837770_01","Diamantina","-43.6003","-18.2494",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00837795","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","H. M. Longhi-Wagner","H. S. Irwin","27687","1970","03","16","South America","Brazil","Minas Gerais","Serra do Espinhaço, Ca. 8 km E. of Diamantina, road to Extração.","1175","1175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837795","NY00837795_01","Diamantina","-43.601","-18.24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","608635","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","H. M. Longhi-Wagner","L. B. Smith","10105","1957","01","15","South America","Brazil","Santa Catarina","16 km east of Lajes on the road to Painel","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608635","NY00608635_01 NY00608635_02","Lajes","-50.3258","-27.8161",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:44:58-03","UFMG","BHCB","148010","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner",NA,"Fernandes, R; Chaves, C; Hattori, EKO; Vale, AA","947","2011","03","21","Southern America","Brasil","Minas Gerais","Serra da Mantiqueira, Fazenda Boa Esperança, estrada para mata do Barão.","1642","1642",NA,"Campos de altitude. Planta herbácea, coletada em local ensolarado.",NA,NA,"Delfim Moreira","-45.326694","-22.596833","-45.326694","-22.596833",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:44:58-03","UFMG","BHCB","93779","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner",NA,"Wagner, ZL; Viana, PL","9660","2005","03","16","Southern America","Brasil","Minas Gerais","RPPN Serra do Caraça.",NA,NA,NA,NA,NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,"11966","auto",NA,NA,NA,NA,NA
"7","2015-08-10 05:49:00-03","MO","MOBOT","2822004","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","Longhi-Wagner","Amaro Macedo","Macedo 5230","1972","1","22","South America","Brazil","Minas Gerais","Sta. Bárbara, Serra do Caraca, HB 53436","1400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-08-13 05:50:00-03","MO","MOBOT","1765221","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","H. Longhi-Wagner, 1991 (ICN)","Howard S. Irwin|R.M. Harley|Eunice Onishi","Irwin 28819","1971","1","22","South America","Brazil","Minas Gerais","Lower cut-over slopes of Serra Caraça, sandy slopes, near Riacho, ca. 10 km W of Barão de Cocais","1400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-08-13 05:50:00-03","MO","MOBOT","1765223","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","H. Longhi-Wagner, 1991 (ICN)","Howard S. Irwin|R.M. Harley|Eunice Onishi","Irwin 29325","1971","1","28","South America","Brazil","Minas Gerais","Ca. 12 km W of Barão de Cocais, base of Serra Caraça. Campo and gallery margin with outcrops, gray sandy soil","1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA
"10","2009-08-23 08:49:00-03","MO","MOBOT","2482306","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","Longhi-Wagner, H. M.","Lyman B. Smith|Roberto M. Klein","Smith 15926","1971","2","19","South America","Brazil","Santa Catarina","Lages. morro do Pinheiro Seco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2014-08-23 05:35:00-03","MO","MOBOT","2821874","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","Longhi-Wagner","Howard S. Irwin|S.F. da Fonsêca|R. Souza|R. Reis dos Santos|J. Ramos","Irwin 27687","1970","3","16","South America","Brazil","Minas Gerais","Serra do Espinhago. Cerrado on brown sand interspersed with extensive outcrops, ca. 8 km E. of Diamantina, road to Extrxão.","1175.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2009-06-24 18:35:00-03","MO","MOBOT","2822145","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","Longi-Wagner","Agnes Chase","Chase 10395","1929","12","27","South America","Brazil","Minas Gerais","Gravel and clay, campo. Diamantina, Serra De San Antonio,","1200.00000000","1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-02 16:36:06-03","Cenargen","CEN","56692","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","H. M. Longhi-Wagner","Hilda Maria Longhi Wagner","9660","2005","03","18",NA,"Brasil","MG","MG. Catas Altas, Serra do Caraça (R.P.P.N.)","1100","1100","Exsicatas","Doação - Herb. UFRGS - Porto Alegre ICN:136995","CEN00056692","CEN00056692","CATAS ALTAS DA NORUEGA","-43.497501373291","-20.6900005340576","-43513055.0","-20070555.0","11539","auto",NA,"2005","03","1",NA
"14","2019-11-01 15:15:49-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","Longhi-Wagner, H","Irwin, HS; Harley, RM; Onishi, E","28819","1971","01","22","Southern America","Brasil","Minas Gerais","Ca. 10km W of Barão de Cocais","1400","1400",NA,"Culms solitary, to ca. 1m tall; Wet ground. Lower cut-over slopes of Serra da Caraça, sandy slopes, near riacho","UB0016872","UB0016872","Serra do Espinhaço",NA,NA,NA,NA,NA,NA,NA,"1994","01",NA,"03"
"15","2019-11-01 15:15:49-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","Oliveira, RC","Irwin, H; et al.","29325","1971","01","28","Southern America","Brasil","Minas Gerais","Ca. 12km W of Barão de Cocais, base of Serra da Caraça","1500","1500",NA,"Culms 1m; Campo and gallery margin with outcrops, gray sandy soil","UB0016868","UB0016868",NA,NA,NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA
