"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","continentOcean","preparationType","barcode","imagecode","class"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1438","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii","(K.Schum.) N.P.Taylor & Zappi.","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, caminho de subida da capela de baixo para o topo.","-43.6697006225586","-19.8799991607666","22051","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","4026","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii",NA,NA,"2017","01","26","D. R. Gonzaga; Ferreira Jr., C.A.","2017","01","26","Brasil","MG","Belo Horizonte","Serra do Curral, Parque do Paredão, logo após o posto da Policia","-43.937801361084","-19.9207992553711","17082","1","254","auto","43º54'37.9","19º57'39.5","1377","1377",NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1439","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii","(K.Schum.) N.P.Taylor & Zappi.","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, caminho de subida da capela de baixo para o topo.","-43.6697006225586","-19.8799991607666","22051","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00996934","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii","(K.Schum.) N.P.Taylor & Zappi","N. P. Taylor; D. C. Zappi",NA,NA,NA,"H. S. Irwin","1971","01","19","Brazil","Minas Gerais",NA,"Serra do Espinhaço, middle and upper slopes, south side of Serra da Piedade, ca. 5 km N. of Caeté","-43.67613","-19.82237",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139289' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1800","1800","28758","South America","sheet","NY00996934",NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00996933","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii","(K.Schum.) N.P.Taylor & Zappi","N. P. Taylor; D. C. Zappi",NA,NA,NA,"P. C. Porto","1917",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139285' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"2","South America","sheet","NY00996933","NY00996933_01",NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00996932","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii","(K.Schum.) N.P.Taylor & Zappi","N. P. Taylor; D. C. Zappi",NA,NA,NA,"P. C. Porto","1917",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139281' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"3","South America","sheet","NY00996932","NY00996932_01",NA
"7","2019-03-20 11:47:06-03","MCN-PUC-MINAS","HPUC-MG","ANG2252","S","Plantae",NA,NA,"Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:04:12-03","ESALQ","ESA","27909","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii",NA,"Gonzaga, D.R.",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Scalon, V.R.; Campos, F.J.","1996","01","11","Brasil","Minas Gerais","Caeté","Serra da Piedade. 19º49'07, 6S, 43º40'44, 1W. 1480m.s.m. Campo rupestre.","-43.6697006225586","-19.8799991607666","22051",NA,"Planta de ca. 30 cm alt.; flores róseas.","auto",NA,NA,"1480","1480","10064.0",NA,NA,"ESA027909","ESA027909",NA
"9","2020-11-04 11:04:12-03","ESALQ","ESA","122054","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii",NA,"Viana, P.L.",NA,NA,NA,"Vincent, R.C.","2000","06","28","Brasil","Minas Gerais","Nova Lima","Sa. do Rola-Moça","-43.8466987609863","-19.9855995178223","29211",NA,"Campo sobre canga hematítica nodular","auto",NA,NA,"1350","1350","124.0",NA,NA,"ESA122054","ESA122054",NA
"10","2020-10-01 14:16:03-03","JBB","HEPH","22212","S","Plantae","Dicotyledon","Caryophyllales","Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii","(K.Schum.) N.P. Taylor & Zappi","Zappi, D","2018",NA,NA,"Salles, AEH; et al.","2005","11","29","Brasil","Minas Gerais","Belo Horizonte","Região da Serra da Moeda MG ; Zona da Mata","-43.937801361084","-19.9207992553711","17082",NA,NA,"auto",NA,NA,NA,NA,"3867","Southern America",NA,NA,NA,NA
