"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:34:00-03","UNESC","CRI","2025","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","L. B. Smith","1978","R. M. Klein","11.768","1976","04","28","Brasil","Santa Catarina","Brusque","-48.903056","-27.098333","48º54'11''W","27º5'54''S","CRI008790","CRI008790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:00-03","UNESC","CRI","6643","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","L. B. Smith","1978","R. M. Klein",NA,"1976","04","28","Brasil","Santa Catarina","Brusque","-48.903056","-27.098333","48º54'11''W","27º5'54''S","CRI008782","CRI008782","Mata São Pedro, Brusque.","20","20","Habitat: Mata - depressões de terreno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:00-03","UNESC","CRI","2047","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","L. B. Smith","1978","R. Reitz; R. M. Klein",NA,"1967","12","09","Brasil","Santa Catarina","Brusque","-48.903056","-27.098333","48º54'11''W","27º5'54''S","CRI008781","CRI008781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","773402","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","J. R. Swallen",NA,"R. Reitz","5939","1957","01","15","Brazil","Santa Catarina",NA,"-48.910147","-27.126635",NA,NA,"NY00773402","NY00773402_01","Azambuja, Brusque","50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584418' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","773401","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"C. E. Calderón","2002","1967","12","08","Brazil","Santa Catarina",NA,"-48.910147","-27.126635",NA,NA,"NY00773401","NY00773401_01","Brusque; Azambuja",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584419' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:32:03-03","UFRJ","RFA","8895","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"P. Occhioni","3735","1968","11","21","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335",NA,NA,"RFA31147",NA,"Saco Grande",NA,NA,NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:54:17-03","EAO","IAN","65213","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Soderstrom, TR","1985","Brade, AK","8107","1920","11",NA,"Brasil","São Paulo","Iguapé","-47.5499992370605","-24.7000007629395",NA,NA,"IAN065213",NA,"Morro das Pedras.",NA,NA,NA,"Monocotiledônea",NA,"Southern America",NA,"55628","auto","09",NA,NA,NA,NA,NA
"8","2020-02-08 10:19:57-03","NBC","NL-BOTANY","L.1327578","PreservedSpecimen","Plantae","Gramineae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Reitz R",NA,"1957","01","15","Brazil",NA,NA,NA,NA,NA,NA,"NL-L1327578","NL-L1327578","Santa Catarina, Azambuja, Brusque.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1327578 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-02-08 10:19:57-03","NBC","NL-BOTANY","WAG.1545019","PreservedSpecimen","Plantae","Gramineae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Calderón CE",NA,"1967","12","08","Brazil",NA,NA,NA,NA,NA,NA,"NL-WAG1545019","NL-WAG1545019","Santa Catarina: Brusque; Azambuja.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1545019 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2019-08-27 13:26:08-03","IAP","PACA-AGP","64749","PreservedSpecimen","Plantae","Gramineae","Reitzia","smithii","Reitzia smithii","Swallen","J.R. Swallen","1961","Reitz, R.","5939","1957","01","15","Brasil","SC","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"PACA064749",NA,"Azambuja","50","50","fruto zebrado Habitat: na margem do córrego, mata","Magnoliophyta","Cyperales",NA,NA,"19684","auto",NA,"Liliatae",NA,NA,NA,NA
