"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","recordNumber","continentOcean","preparationType","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:25:58-03","UNESC","CRI","12540","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","corylifolia","Gouania corylifolia","Raddi","Renato Colares & Aline V. Guislon","2017","07","25","Alexandre Medeiros","2017","05","08","Brasil","Santa Catarina","Balneário Camboriú","Br 101 - Morro do Boi (Quilombola)","-48.599722","-27.042222","48º35'59''W","27º2'32''S","Coleta 283. Habito: Trepadeira","CRI010747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533446","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","corylifolia","Gouania corylifolia","Raddi","A. C. Brade",NA,NA,NA,"A. C. Brade","1932","02","21","Brazil","Rio de Janeiro","Niterói","Est. do Rio, Niterói, Jurujuba.","-43.1036","-22.8833",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533446","Magnoliophyta","Rosales","11362","South America","sheet","NY00533446_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","233276","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","petiolaris","Gouania petiolaris","Reissek",NA,NA,NA,NA,"G. Gardner","1836",NA,NA,"Brazil",NA,NA,"[Serra dos Orgaos, Brasil trop. from NY 233277].","-43.073169","-22.496706",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00233276","Magnoliophyta","Rosales","734","South America","sheet","NY00233276_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","233277","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","petiolaris","Gouania petiolaris","Reissek",NA,NA,NA,NA,"G. Gardner",NA,NA,NA,"Brazil",NA,NA,"Serra dos Orgaos, Brasil trop.","-43.073169","-22.496706",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00233277","Magnoliophyta","Rosales","III.734","South America","sheet","NY00233277_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:23:17-03","UFBA","ALCB","07893","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","corylifolia","Gouania corylifolia","Raddi",NA,NA,NA,NA,"Grupo Pedra do Cavalo","1980","09",NA,"Brasil","Bahia","Cachoeira","Est. Pedra do Cavalo","-39.083333","-12.533333","-39.083333","-12.533333","Trepadeira com gavinhas; flores esverdeadas dispostas em cachos axilares; frutos alados","ALCB034659","Dicotyledon",NA,"711","Southern America",NA,"ALCB034659",NA,"40","120",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:25:54-03","NBC","NL-BOTANY","L.2331622","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","corylifolia","Gouania corylifolia","Raddi",NA,NA,NA,NA,"Vauthier M","1833","01","01","Brazil","Rio de Janeiro",NA,"Brésil, Rio de Janeiro",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2331622 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2331622",NA,"Rosales",NA,"Southern America",NA,"NL-L2331622",NA,NA,NA,"Magnoliopsidae","L 0484613",NA,NA,NA,NA,NA
"7","2020-02-08 10:25:54-03","NBC","NL-BOTANY","L.2331623","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","corylifolia","Gouania corylifolia","Raddi",NA,NA,NA,NA,"Martius CFP von",NA,NA,NA,"Brazil",NA,NA,"Brasil",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2331623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2331623",NA,"Rosales",NA,"Southern America",NA,"NL-L2331623",NA,NA,NA,"Magnoliopsidae","L 0484615",NA,NA,NA,NA,NA
"8","2021-01-14 15:33:23-03","MN","R","8147","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","corylifolia","Gouania corylifolia","Raddi","Lima, R.","2001","08",NA,"Glaziou, A.F.M.","1892","04","06","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000008147",NA,NA,"5803",NA,NA,"R000008147_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:49:10-02","IPA","IPA","42284","S","Plantae","Rhamnaceae","Gouania","corylifolia","Gouania corylifolia","Reisseck","Lima, R.","1985","01",NA,"Góes, O.C.; Dionísio; Dionísio",NA,NA,NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,"IPA0042284","Plantae",NA,"19","Southern America",NA,NA,NA,NA,NA,NA,NA,"36524","auto",NA,NA,NA
"10","2020-01-28 19:41:52-03","UFJF","CESJ","1502","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","corylifolia","Gouania corylifolia",NA,"Rita Lima",NA,NA,NA,"L. Roth","1953","02",NA,"Brasil","Minas Gerais","Juiz de Fora",NA,"-43.3502998352051","-21.7642002105713",NA,NA,NA,"CESJ001502","Angiosperma",NA,"CESJ1502","América do Sul",NA,NA,NA,NA,NA,NA,NA,"36144","auto",NA,NA,NA
"11","2021-03-01 16:38:42-03","UNICAMP","UEC","81741","S","Plantae","Rhamnaceae","Gouania","corylifolia","Gouania corylifolia","Raddi","Lima, R","1998","03","10","Jarenkow, JA","1991","01","26","Brazil","Rio Grande do Sul","Torres","Colônia São Pedro","-49.7268981933594","-29.3353004455566",NA,NA,"Trepadeira em borda de mata pluvial. Flores com corola branca.","UEC148783","Magnoliopsida",NA,"1814",NA,NA,"UEC148783",NA,NA,NA,NA,NA,"20837","auto",NA,NA,NA
"12","2021-03-01 16:38:42-03","UNICAMP","UEC","53753","S","Plantae","Rhamnaceae","Gouania","corylifolia","Gouania corylifolia","Raddi","Lima, R","2003","04",NA,"Egler, SG","1989","12","06","Brazil","São Paulo","Campinas","Joaquim Egidio, beira de estrada.","-47.060001373291","-22.8999996185303",NA,NA,"Liana, flores brancas.; Mata secundária. Solo arenoso.","UEC148782","Magnoliopsida",NA,"22156",NA,NA,"UEC148782",NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA
