"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","typeStatus","continentOcean","occurrenceRemarks","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount","class","order","sex"
"1","2020-11-04 11:11:57-03","ESALQ","ESA","104269","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Nectandra","debilis","Nectandra debilis","Baitello, J.B.","2002","03","19","Aguiar, O.T.","1054.0","2002","03","13","Brasil","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904","ESA104269","ESA104269","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-02 14:38:20-02","BGBM","B","B 10 0185076","S","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Mendonça","257",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"B100185076","B100185076 B100185076_1",NA,"Mez","lectotype","Middle and South America","Herb. R. Mendonça <a href=http://herbarium.bgbm.org/object/B100185076 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:38:20-02","BGBM","B","B 10 0185078","S","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"A. F. M. Glaziou","8906",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"B100185078","B100185078 B100185078_1",NA,"Mez","syntype","Middle and South America","<a href=http://herbarium.bgbm.org/object/B100185078 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","Rio de Janeiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:20-02","BGBM","B","B 10 0185075","S","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"?",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"B100185075","B100185075",NA,"Mez",NA,"Middle and South America","<a href=http://herbarium.bgbm.org/object/B100185075 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:20-02","BGBM","B","B 10 0185077","S","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Bello","6457",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"B100185077","B100185077 B100185077_1",NA,"Mez","syntype","Middle and South America","Ex Herb. Schwacke <a href=http://herbarium.bgbm.org/object/B100185077 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","Prov. Esp. Santo; Villa da cachoeira de Itapimirim.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:32:27-03","UNICAMP","UEC","188870","S","Plantae","Magnoliopsida","Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Silva, BG; Castello, ACD; Kataoka, EY; Vidal Junior, JD","283","2015","02","11","Brazil","São Paulo","São Miguel Arcanjo","-47.986111","-24.070556",NA,"UEC119466","UEC119466",NA,"Mez",NA,NA,"Árvore, 10 m de altura e 8,9 cm de DAP; Floresta Ombrófila Densa","Parque Estadual Carlos Botelho","-47.986111","-24.070556","800","800",NA,NA,NA,NA,NA,NA
"7","2019-12-06 19:29:46-03","UFES","VIES","34726","S","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis","J. Baitello","2016",NA,NA,"Araújo, E.A.","414","2015","02",NA,"Brasil","Espírito Santo","Ibitirama","-41.765","-20.493889",NA,"VIES034726","VIES034726",NA,"Mez",NA,NA,NA,"Santa Marta. Parcela 07, indivíduo 70. Parque Nacional do Caparaó","41º45'54''W","20º29'38''S",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-29 00:15:32-03","MNHN","RECOLNAT_MNHN_P","P00711153","PreservedSpecimen",NA,NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Glaziou, A.",NA,"1876","10","19","Brésil",NA,NA,NA,NA,NA,"P00711153","P00711153_01",NA,"Mez","isosyntype",NA,"Reçu le 23 Octobre 1877 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00711153' target='other'> <mi>dwc_moreinfo</mi></a>","Rio de Janeiro : Maxambomba",NA,NA,NA,NA,"8906","hb",NA,NA,NA,NA
"9","2015-09-29 04:40:58-03","MNHN","RECOLNAT_MNHN_P","P00711154","PreservedSpecimen",NA,NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Glaziou, A.",NA,"1876","10","19","Brésil",NA,NA,NA,NA,NA,"P00711154","P00711154_01",NA,"Mez","isosyntype",NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00711154' target='other'> <mi>dwc_moreinfo</mi></a>","Rio de Janeiro : Maxambomba",NA,NA,NA,NA,"8906","hb",NA,NA,NA,NA
"10","2015-09-29 00:15:34-03","MNHN","RECOLNAT_MNHN_P","P00711155","PreservedSpecimen",NA,NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Glaziou, A.",NA,"1876","10","19","Brésil",NA,NA,NA,NA,NA,"P00711155","P00711155_01",NA,"Mez","isosyntype",NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00711155' target='other'> <mi>dwc_moreinfo</mi></a>","Rio de Janeiro : Maxambomba",NA,NA,NA,NA,"8906","hb",NA,NA,NA,NA
