"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:42:57-03","E","E","285185","PreservedSpecimen","Plantae","Rubiaceae","Alibertia","myrciifolia","Alibertia myrciifolia","syntype","Spruce, Richard","E. Tropical South America","BR","Pará","In vicinibus Santarem.","herbarium specimen of unspecif","BGBASE:292633","<a href=http://data.rbge.org.uk/herb/E00285185 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:57-03","E","E","55633","PreservedSpecimen","Plantae","Rubiaceae","Alibertia","myrciifolia","Alibertia myrciifolia",NA,"Ratter, J.A.; Ribeiro, J.F.; Bridgewater, S. & Fonsêca Filho, J.","E. Tropical South America","BR",NA,NA,"herbarium specimen of unspecif","BGBASE:62341","<a href=http://data.rbge.org.uk/herb/E00055633 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055633","1997","07","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","674989","PreservedSpecimen","Plantae","Rubiaceae","Alibertia","myrciifolia","Alibertia myrciifolia myrciifolia",NA,"P. G. Delprete","South America","Brazil","Goiás","Sao Jorge. Chapada dos Veadeiros, Vale do Rio Preto.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674989","1998","09","21","Magnoliophyta","Gentianales","myrciifolia","(Spruce ex K.Schum.) K.Schum.","C. Persson; P. G. Delprete","6739","Alto Paraíso de Goiás","-47.83","-14.33","830","830","NY00674989_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01060865","PreservedSpecimen","Plantae","Rubiaceae","Alibertia","myrciifolia","Alibertia myrciifolia",NA,"F. E. L. de Miranda","South America","Brazil","Pará","PA-149, campina baixa, aberta.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266962' target='other'> <mi>dwc_moreinfo</mi></a>","NY01060865","1983","09","02","Magnoliophyta","Gentianales",NA,"(Spruce ex K.Schum.) K.Schum.","J. F. Ramos","403","Tucuruí","-49.6735668","-3.764569",NA,NA,"NY01060865_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","674988","PreservedSpecimen","Plantae","Rubiaceae","Alibertia","myrciifolia","Alibertia myrciifolia myrciifolia",NA,"P. G. Delprete","South America","Brazil","Goiás","Sao Jorge. Chapada dos Veadeiros, Vale do Rio Preto.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674988","1998","09","21","Magnoliophyta","Gentianales","myrciifolia","(Spruce ex K.Schum.) K.Schum.","C. Persson; P. G. Delprete","6738","Alto Paraíso de Goiás","-47.83","-14.33","830","830","NY00674988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","674990","PreservedSpecimen","Plantae","Rubiaceae","Alibertia","myrciifolia","Alibertia myrciifolia myrciifolia",NA,"P. G. Delprete","South America","Brazil","Goiás","Sao Jorge. Chapada dos Veadeiros, Vale do Rio Preto.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674990","1998","09","21","Magnoliophyta","Gentianales","myrciifolia","(Spruce ex K.Schum.) K.Schum.","C. Persson; P. G. Delprete","6740","Alto Paraíso de Goiás","-47.83","-14.33","830","830","NY00674990_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","674991","PreservedSpecimen","Plantae","Rubiaceae","Alibertia","myrciifolia","Alibertia myrciifolia myrciifolia",NA,"P. G. Delprete","South America","Brazil","Goiás","Sao Jorge. Chapada dos Veadeiros, Vale do Rio Preto.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674991","1998","09","21","Magnoliophyta","Gentianales","myrciifolia","(Spruce ex K.Schum.) K.Schum.","C. Persson; P. G. Delprete","6741","Alto Paraíso de Goiás","-47.83","-14.33","830","830","NY00674991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","674987","PreservedSpecimen","Plantae","Rubiaceae","Alibertia","myrciifolia","Alibertia myrciifolia myrciifolia",NA,"P. G. Delprete","South America","Brazil","Goiás","Sao Jorge. Chapada dos Veadeiros, Vale do Rio Preto.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674987","1998","09","21","Magnoliophyta","Gentianales","myrciifolia","(Spruce ex K.Schum.) K.Schum.","C. Persson; P. G. Delprete","6735","Alto Paraíso de Goiás","-47.83","-14.33","830","830","NY00674987_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","63064","PreservedSpecimen","Plantae","Rubiaceae","Alibertia","myrciifolia","Alibertia myrciifolia tepuiensis","holotype","B. Maguire","South America","Brazil",NA,"Serra Teoequem, Territorio do Rio Branco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267761' target='other'> <mi>dwc_moreinfo</mi></a>","NY00063064","1954","11","22","Magnoliophyta","Gentianales","tepuiensis","Steyerm.",NA,"40009",NA,NA,NA,"800","800","NY00063064_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","63064","PreservedSpecimen","Plantae","Rubiaceae","Alibertia","myrciifolia","Alibertia myrciifolia tepuiensis","holotype","B. Maguire","South America","Brazil",NA,"Serra Teoequem, Territorio do Rio Branco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267761' target='other'> <mi>dwc_moreinfo</mi></a>","NY00063064","1954","11","22","Magnoliophyta","Gentianales","tepuiensis","Steyerm.",NA,"40009",NA,NA,NA,"800","800","NY00063064_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
