"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","county","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01189821","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","suberosa","Inga suberosa","T.D.Penn.","T. D. Pennington","G. T. Prance","23599","1975","08","11","South America","Brazil","Amazonas","Reserva CEPLAC. Estrada Manaus-Itacoatiara, Km 29. Forest on terra firme.","-59.922443","-2.7687452","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314433' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189821","NY01189821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01189820","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","suberosa","Inga suberosa","T.D.Penn.","T. D. Pennington","A. Vicentini","572","1994","06","10","South America","Brazil","Amazonas","Próximo a estação meteorológica. Solo argiloso.","-59.966667","-2.883333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314432' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189820","NY01189820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:09:55-03","NBC","NL-BOTANY","U 0008094","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","suberosa","Inga suberosa","T.D.Penn.","Pennington TD","Prance GT; Ramos JF",NA,"1975","08","11","Southern America","Brazil","Amazonas","Reserva CEPLAC, Manaus-Itacoatiara Km 29.","-60.025278","-3.113333",NA,"Forest on terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200008094 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0008094","NL-U0008094","Magnoliopsidae","isotype","-60.025278","-3.113333","453489 B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-03-16 13:31:05-03","UNEMAT","HERBAM","7322","S","Plantae",NA,NA,"Fabaceae","Inga","suberosa","Inga suberosa","T.D.Penn.","Silva, DR","Soares, C.R.A.; Silva, E.S.; Lima, M.F.D.; Moura, N.F. & Melo, J.B.M.","Branco 454853","2011","12","09",NA,"Brasil","Pará","Terra Firme.","-56.776111","-9.343056",NA,NA,"HERBAM007322",NA,NA,NA,"-56.776111","-9.343056",NA,"2012","07","10","Jacareacanga","187","187",NA,NA,NA
"5","2014-05-06 16:15:36-03","MNHN","RECOLNAT_MNHN_P","P01818178","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","suberosa","Inga suberosa","T.D.Penn.","Pennington","Prance, G.T.|Ramos, J.F.",NA,"1975","8","11",NA,"Brésil",NA,"Reserva CEPLAC, Manaus-Itacoatiara km 29",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818178' target='other'> <mi>dwc_moreinfo</mi></a>","P01818178","P01818178_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23599",NA,NA
"6","2014-04-05 06:07:00-03","MO","MOBOT","2914391","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","suberosa","Inga suberosa","T.D. Penn.","T.D. Pennington","Alberto Vicentini|P. A. Costa Lima Assunção","Vicentini 572","1994","6","10","South America","Brazil","Amazonas","Próximo a estacao metorológica. Solo argiloso. Floesta de Platô.","-59.96666","0.88333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-27 15:32:00-03","MO","MOBOT","2902421","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","suberosa","Inga suberosa","T.D. Penn.",NA,"Ghillean T. Prance|José F. Ramos","Prance 23599","1975","8","11","South America","Brazil","Amazonas","Reserva CEPLAC, Manaus-Itacoatiara km 29. Forest on terra firme.",NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"8","2021-01-10 20:49:56-03","INPA","INPA","179498","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Mim","Inga","suberosa","Inga suberosa","T.D.Penn.","Pennington, TD","Vicentini, A","572","1994","06","10","Southern America","Brasil","Amazonas","Reserva Florestal Adolfo Ducke, Próximo a estação meteorológica. Solo argiloso.","-59.966667","-2.883333",NA,NA,"INPA0179498","INPA0179498 INPA0179498_1 INPA0179498_1e INPA0179498_e",NA,NA,"-59.966667","-2.883333",NA,"1995","09",NA,"Manaus",NA,NA,NA,NA,NA
"9","2020-08-31 09:14:52-03","INPA","INPA","50429","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Mim","Inga","suberosa","Inga suberosa","T.D.Penn.",NA,"Prance, GT","23599","1975","08","11","Southern America","Brasil","Amazonas","AM 010, km 29. CEPLAC Reserva, Reserva CEPLAC. Estrada Manaus-Itacoatiara, Km 29. Tree 8/49.","-59.922443","-2.768745",NA,NA,"INPA0050429","INPA0050429 INPA0050429_e INPA0050429_e1",NA,"isotype","-59.922443","-2.768745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","3008904","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Inga","suberosa","Inga suberosa","T.D. Penn.",NA,"G. T. Prance & J. F. Ramos","23599","1975","8","11","South America - Neotropics","Brazil","Amazonas","Reserva Ceplac, Manaus-Itacoatiara km 29.",NA,NA,NA,NA,"US00588562","US00588562_01","Dicotyledonae","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"11","2020-03-05 14:11:46-03","UNEMAT","HPAN","3140.1","PreservedSpecimen","Plantae","Magnoliidae","Fabales","Fabaceae","Inga","suberosa","Inga suberosa","T.D.Penn.","Guarim Neto, G","Carniello, MA; Duarte, TG; Cruz, WJA; Silva, MR; Santos, TAC","4278","2012","09","18","América","Brasil","Mato Grosso","Fazenda Rio do Meio",NA,NA,NA,NA,"HPAN000003140.1",NA,NA,NA,NA,NA,NA,"2013","05","14","Vila Bela da Santís. Trindade",NA,NA,NA,NA,NA
"12","2019-01-23 11:44:53-02","F","FMNH-SEEDPLANTS","V0092836F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Inga","suberosa","Inga suberosa",NA,"RRC ID Flag","G. T. Prance & J. F. Ramos","23599","1975","8","11","South America","Brazil","Amazonas","Reserva CEPLAC, Manaus-Itacoatiara Km 29",NA,NA,NA,NA,"V0092836F","V0092836F_01 V0092836F_02","Dicotyledoneae","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23599",NA,NA
"13","2020-01-31 10:38:24-03","IFAM","EAFM","15827","PreservedSpecimen","Plantae",NA,NA,"Fabaceae-Mimosoideae","Inga","suberosa","Inga suberosa","T.D.Penn.","Marra, D.M.; Carneiro, V.M.C.","Marra, D.M.; Neves, A.F. & Pereira, S. .L.","1444","2012","09","23",NA,"Brasil","Amazonas","Reserva de Desenvolvimento Sustentável do Rio Negr, Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987","-61.254111","-3.674958",NA,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 11.2 cm",NA,NA,NA,NA,"-61.254111","-3.674958",NA,"2012","09","23","Manacapurú, Novo Airão",NA,NA,NA,NA,NA
"14","2020-01-31 10:38:24-03","IFAM","EAFM","15875","PreservedSpecimen","Plantae",NA,NA,"Fabaceae-Mimosoideae","Inga","suberosa","Inga suberosa","T.D.Penn.","Marra, D.M.; Carneiro, V.M.C.","Marra, D.M.; Neves, A.F. & Pereira, S. .L.","1492","2012","09","23",NA,"Brasil","Amazonas","Reserva de Desenvolvimento Sustentável do Rio Negr, Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987","-61.259875","-3.000753",NA,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 11.9 cm",NA,NA,NA,NA,"-61.259875","-3.000753",NA,"2012","09","23","Manacapurú, Novo Airão",NA,NA,NA,NA,NA
"15","2019-11-21 10:05:50-03","IBt","SP","330525","S","Plantae",NA,NA,"Fabaceae","Inga","suberosa","Inga suberosa","T.D.Penn.","Pennington, TD","Vicentini, A; Assunção, PACL","572","1994","06","10",NA,"Brasil","Amazonas","Itacoatiara, km 26, próximo a estação meteorológica","-59.966667","-2.883333",NA,NA,"SP025408","SP025408",NA,NA,"-59.966667","-2.883333",NA,"1995","09",NA,"Manaus",NA,NA,NA,NA,NA
"16","2010-10-21 15:48:10-02","GH","HU-HERB","GH 00061563","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Inga","suberosa","Inga suberosa","T. D. Pennington",NA,"G. T. Prance & J. F. Ramos","23599","1975","8","11","South America","Brazil","Amazonas","Reserva CEPLAC, Manaus-Itacoatiara km. 29",NA,NA,"Sheet",NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23599",NA,"undetermined"
