"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","fieldNumber","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","kingdom","phylum","order","yearIdentified","monthIdentified","dayIdentified","recordNumber","month","day","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","individualCount","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","sex"
"1","2015-09-04 15:19:56-03","MNHN","RECOLNAT_MNHN_P","P00345645","PreservedSpecimen","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay","Correa","Saint-Hilaire, A. de","B1 1917","Brésil","Province de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345645' target='other'> <mi>dwc_moreinfo</mi></a>","P00345645","P00345645_01 P00345645_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-03 19:38:54-03","MNHN","RECOLNAT_MNHN_P","P00345646","PreservedSpecimen","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay","Szlachetko","Weddell, H.A.","2799","Brésil","Sertao d'Amaroleité","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00345646' target='other'> <mi>dwc_moreinfo</mi></a>","P00345646","P00345646_01","1844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-10-01 14:26:08-03","JBB","HEPH","6863","S","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay","Meneguzzo, TEC","Batista, JAN",NA,"Brasil","Lago Norte",NA,"Afila no período de floração",NA,NA,"1989","Plantae","Monocotyledon","Asparagales","2009","12","20","4","08","27","Southern America","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-03 15:15:00-03","MO","MOBOT","101157368","PreservedSpecimen","Orchidaceae","Lyroglossa","bradei","Lyroglossa bradei","Schltr. ex Mansf.",NA,"Alexander C. Brade",NA,"Brazil",NA,NA,NA,NA,NA,"1921","Plantae",NA,NA,NA,NA,NA,"Brade 8129","9",NA,"South America","São Paulo","Itirapina","-47.8199996948242","-22.25","22843","auto","Holotype","1",NA,NA,NA,NA,NA
"5","2019-10-03 15:13:00-03","MO","MOBOT","101157367","PreservedSpecimen","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay",NA,"A. Saint-Hilaire",NA,"Brazil",NA,NA,NA,NA,NA,"1816","Plantae",NA,NA,NA,NA,NA,"Saint-Hilaire B1-1917",NA,NA,"South America","Minas Gerais",NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA,NA,NA
"6","2020-09-02 16:35:22-03","Cenargen","CEN","49398","PreservedSpecimen","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay",NA,"José Floriano Barêa Pastore",NA,"Brasil","Acesso pela BR-153, divisa Aparecida de Goiânia-Hidrolândia, condomínio Rosa dos Ventos, próximo a chácara Jatobá. Bacia Hidrográfica do Rio Lages.","Unicata","Vegetação sujeita a queimadas periódicas.","CEN00049398","CEN00049398","2002","Plantae",NA,NA,NA,NA,NA,"70","08","10",NA,"GO","APARECIDA DE GOIANIA","-49.2439002990723","-16.823299407959","14888","auto",NA,"1","790","790",NA,NA,NA
"7","2020-09-02 16:35:22-03","Cenargen","CEN","15108","PreservedSpecimen","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay","T. E. C. Meneguzzo","João Aguiar Nogueira Batista",NA,"Brasil","Lago Norte. QL - 11, conj. 1","Exsicatas",NA,"CEN00015108","CEN00015108","1990","Plantae",NA,NA,"2009","12",NA,"123","10","08",NA,"DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"1",NA,NA,NA,NA,NA
"8","2020-09-02 16:35:22-03","Cenargen","CEN","15109","PreservedSpecimen","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay","T. E. C. Meneguzzo","João Aguiar Nogueira Batista",NA,"Brasil","Península Norte. Terreno entre QL-7 e QL-3.","Exsicatas","Sépalas verdes e pilosas. Pétalas brancas com estrias evidentes verdes. Labelo branco (sem estrias).","CEN00015109","CEN00015109","1991","Plantae",NA,NA,"2009","12",NA,"210","10","06",NA,"DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"1",NA,NA,NA,NA,NA
"9","2020-09-02 16:35:22-03","Cenargen","CEN","25374","PreservedSpecimen","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay","T. E. C. Meneguzzo","Luciano de Bem Bianchetti",NA,"Brasil","Santuário Ecológico do Riacho Fundo","Exsicatas",NA,"CEN00025374","CEN00025374","1995","Plantae",NA,NA,"2009","12",NA,"574","09","14",NA,"DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"1",NA,NA,NA,NA,NA
"10","2020-09-02 16:35:22-03","Cenargen","CEN","21161","PreservedSpecimen","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay","T. E. C. Meneguzzo","João Aguiar Nogueira Batista",NA,"Brasil","Santuário Ecológico do Riacho Fundo.","Exsicatas","Segunda população conhecida desta espécie para o Distrito Federal.","CEN00021161","CEN00021161","1994","Plantae",NA,NA,"2009","12",NA,"420","10","02",NA,"DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"1",NA,NA,NA,NA,NA
"11","2020-09-02 16:35:22-03","Cenargen","CEN","15107","PreservedSpecimen","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay","L. B. Bianchetti","João Aguiar Nogueira Batista",NA,"Brasil","Terreno ao lado do clube do Congresso. Península Norte.","Exsicatas","Áfila na ântese. Sépalas verdes pilosas. Pétalas brancas com nervuras verdes bem evidentes. Labelo branco. Flores com perfume muito forte.","CEN00015107","CEN00015107","1990","Plantae",NA,NA,"1990","09",NA,"113","09","24",NA,"DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"1",NA,NA,NA,NA,NA
"12","2019-11-01 15:15:30-03","UnB","UB","4409","PreservedSpecimen","Orchidaceae","Lyroglossa","bradei","Lyroglossa bradei","Schltr. ex Mansf.","Bianchetti, LB","Oliveira, RS",NA,"Brasil","Santuário Ecológico do Riacho Fundo",NA,"Eixo floral apresenta torção, presença de pelos em todo pedúnculo e eixo floral. Flores com odor agradável.; Erva. Flor esverdeada; Campo limpo recém-queimado.","UB0019822","UB0019822","1994","Plantae","Monocotyledonae",NA,"1994","10","05","10","10","04","Southern America","Distrito Federal","Brasília","-47.95","-15.85",NA,NA,NA,NA,"1020","1020","-47.95","-15.85",NA
"13","2017-09-11 17:12:21-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Stenorrhynchos","hilarianum","Stenorrhynchos hilarianum","Cogn.",NA,"St.-Hil, A",NA,"Brazil","Habitat in prov. Minas Geraes loco accurato haud indicato",NA,"in herb. Mus. Paris",NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"B1917?",NA,NA,"Southern America","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:12:21-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Stenorrhynchos","hilarianum","Stenorrhynchos hilarianum","Cogn.",NA,"St.-Hil, A",NA,"Brazil","Habitat in prov. Minas Geraes loco accurato haud indicato",NA,"in herb. Mus. Paris",NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"B1917",NA,NA,"Southern America","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 10:13:33-03","IBt","SP","41819","S","Orchidaceae","Lyroglossa","bradei","Lyroglossa bradei","Schltr. ex Mansf.","Mansfeld, R","Brade, AC",NA,"Brasil","Campo",NA,NA,"SP000729","SP000729","1921","Plantae",NA,NA,"1928",NA,NA,"8129","09",NA,NA,"São Paulo","Itirapina","-47.8199996948242","-22.25","22843","auto","Isotype",NA,NA,NA,NA,NA,NA
"16","2019-11-21 10:13:47-03","IBt","SP","170299","S","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay",NA,"Hartmann, T",NA,"Brasil",NA,NA,"Nome popular dado pelos bororo: betoréu racoréu",NA,NA,"1963","Plantae",NA,NA,NA,NA,NA,"383","09",NA,NA,"Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 10:13:47-03","IBt","SP","316419","S","Orchidaceae","Pteroglossa","hilariana","Pteroglossa hilariana","(Cogn.) Garay","Guimarães, LRS","Amaral Jr, A",NA,"Brasil",NA,NA,NA,NA,NA,"1973","Plantae",NA,NA,"2011","02","07","1673","10","30",NA,"São Paulo","Botucatu","-48.439998626709","-22.8799991607666","40412","auto",NA,NA,NA,NA,NA,NA,NA
