"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","imagecode","identifiedBy","fieldNumber","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","class","individualCount","sex"
"1","2020-09-23 10:37:50-03","E","E","417134","PreservedSpecimen","Plantae","Compositae","Lychnophora","albertinioides","Lychnophora albertinioides","unspecified kind of","Gardner, George","4827","1905","01","13","E. Tropical South America","BR","Minas Geraes","herbarium specimen of unspecif","BGBASE:446642","<a href=http://data.rbge.org.uk/herb/E00417134 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00417134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1239469","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","albertinioides","Lychnophora albertinioides","isotype","G. Gardner","4827","1836",NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1470349' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239469","Magnoliophyta","Asterales","Gardner","Minas Gerais","NY01239469_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-10-04 07:16:24-03","MNHN","RECOLNAT_MNHN_P","P00683115","PreservedSpecimen",NA,"Asteraceae","Lychnophora","albertinioides","Lychnophora albertinioides","isotype","Gardner, G.",NA,NA,NA,NA,NA,"Brésil","s.loc.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683115' target='other'> <mi>dwc_moreinfo</mi></a>","P00683115",NA,NA,"Gardner",NA,"P00683115_01","Senir","4827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-10-04 11:48:19-03","MNHN","RECOLNAT_MNHN_P","P00683116","PreservedSpecimen",NA,"Asteraceae","Lychnophora","albertinioides","Lychnophora albertinioides","isotype","Gardner, G.",NA,NA,NA,NA,NA,"Brésil","s.loc.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683116' target='other'> <mi>dwc_moreinfo</mi></a>","P00683116",NA,NA,"Gardner",NA,"P00683116_01","Senir","4827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 05:06:29-03","MNHN","RECOLNAT_MNHN_P","P02536556","PreservedSpecimen",NA,"Asteraceae","Lychnophora","albertinioides","Lychnophora albertinioides",NA,"Martius",NA,NA,NA,NA,NA,"Brasil","Serra do Itambé; Serro Frio.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02536556' target='other'> <mi>dwc_moreinfo</mi></a>","P02536556",NA,NA,"Gardner","Minas Gerais","P02536556_01",NA,"1243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-04 05:06:29-03","MNHN","RECOLNAT_MNHN_P","P02536557","PreservedSpecimen",NA,"Asteraceae","Lychnophora","albertinioides","Lychnophora albertinioides",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Brésil, prvince.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02536557' target='other'> <mi>dwc_moreinfo</mi></a>","P02536557",NA,NA,"Gardner","Minas Gerais","P02536557_01",NA,"B1 834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-01-07 10:19:25-02","MNHN","RECOLNAT_MNHN_P","P04023321","PreservedSpecimen",NA,"Asteraceae","Lychnophora","albertinioides","Lychnophora albertinioides",NA,"Gardner, G.",NA,"1841","12",NA,NA,"Brésil","Province de Goyas","hb",NA,"Avec P00683143 (type) <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04023321' target='other'> <mi>dwc_moreinfo</mi></a>","P04023321",NA,NA,"Gardner",NA,"P04023321_01","Loeuille","3804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:33:10-03","UFMG","BHCB","186782","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","albertinioides","Lychnophora albertinioides",NA,"Rocha, MJR; Oliveira, CT","1269","2017","01","24","Southern America","Brasil",NA,NA,NA,"Arbusto, ca. 1m de altura. Folhas alvas abaxialmente, flores róseas.","BHCB186782","Dicotyledon",NA,"Gardner","Minas Gerais",NA,NA,NA,"2017","02","14","Itambé do Mato Dentro","-43.331944","-19.365833","-43.331944","-19.365833",NA,NA,NA
"9","2020-12-11 11:33:10-03","UFMG","BHCB","186830","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","albertinioides","Lychnophora albertinioides",NA,"Rocha, MJR; Oliveira, CT","1342","2017","01","25","Southern America","Brasil",NA,NA,NA,"Arbustiva, 080 cm de altura. Folhas alvas abaxialmente, flores róseas","BHCB186830","Dicotyledon",NA,"Gardner","Minas Gerais",NA,NA,NA,"2017","02","14","Itambé do Mato Dentro","-43.271389","-19.428333","-43.271389","-19.428333",NA,NA,NA
"10","2020-12-11 11:33:10-03","UFMG","BHCB","186836","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","albertinioides","Lychnophora albertinioides",NA,"Rocha, MJR; Oliveira, CT","1337","2017","01","26","Southern America","Brasil",NA,NA,NA,"Arbusto, ca. 1m de altura. Folhas alvas abaxialmente, flores róseas.","BHCB186836","Dicotyledon",NA,"Gardner","Minas Gerais",NA,NA,NA,"2017","02","14","Itambé do Mato Dentro","-43.2725","-19.428333","-43.2725","-19.428333",NA,NA,NA
