"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","infraspecificEpithet","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:40:18-03","E","E","259483","PreservedSpecimen","Plantae","Lauraceae","Persea","willdenovii","Persea willdenovii","possible type","Sellow, Friedrich","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:270908","<a href=http://data.rbge.org.uk/herb/E00259483 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504990","PreservedSpecimen","Plantae","Lauraceae","Persea","pyrifolia","Persea pyrifolia",NA,"A. Barbosa","South America","Brazil","sheet",NA,"Label says Col. Alt. Barb. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504990","Magnoliophyta","Laurales","Nees & Mart. ex Nees","L. E. Kopp","99","1949","04","20","Rio de Janeiro","Serra dos Orgaos, km. 6. Pouco comum no Parque Nacional da Serra dos Orgaos","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504996","PreservedSpecimen","Plantae","Lauraceae","Persea","pyrifolia","Persea pyrifolia",NA,"F. R. Martins","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504996","Magnoliophyta","Laurales","Nees & Mart. ex Nees",NA,"10049","1978","10","29","São Paulo","Pirassununga, estrada da Cantoreira",NA,NA,"Pirassununga","-47.4197","-21.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355847","PreservedSpecimen","Plantae","Lauraceae","Persea","pyrifolia","Persea pyrifolia major","lectotype","J. B. E. Pohl","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355847","Magnoliophyta","Laurales","Meisn.",NA,"438a",NA,NA,NA,NA,"Formiga",NA,NA,NA,NA,NA,"major","NY00355847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","504995","PreservedSpecimen","Plantae","Lauraceae","Persea","pyrifolia","Persea pyrifolia",NA,"M. Goes","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504995","Magnoliophyta","Laurales","Nees & Mart. ex Nees","J. B. Baitello","s.n.","1977","11","23","São Paulo","Sao Paulo, Parque Estadual das Fontes do Ipiranga, Jardim Botânico. Area 6",NA,NA,"Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","504993","PreservedSpecimen","Plantae","Lauraceae","Persea","pyrifolia","Persea pyrifolia",NA,"W. Hoehne","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504993","Magnoliophyta","Laurales","Nees & Mart. ex Nees",NA,"s.n.","1954","10","24","São Paulo","Sao Paulo",NA,NA,"Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","504997","PreservedSpecimen","Plantae","Lauraceae","Persea","pyrifolia","Persea pyrifolia",NA,"Collector info in notes","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504997","Magnoliophyta","Laurales","Nees & Mart. ex Nees","L. E. Kopp","10425","1952","12","09","São Paulo","Bocaina, mato N.E. do acampamento","1650","1650",NA,"-44.678829","-22.840477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","504991","PreservedSpecimen","Plantae","Lauraceae","Persea","pyrifolia","Persea pyrifolia",NA,"S. de V. A. Pessôa","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504991","Magnoliophyta","Laurales","Nees & Mart. ex Nees",NA,"479","1989","08","29","Rio de Janeiro","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores. Parcel 1B",NA,NA,"Nova Friburgo","-42.05","-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","504998","PreservedSpecimen","Plantae","Lauraceae","Persea","pyrifolia","Persea pyrifolia",NA,"A. Mattos","South America","Brazil","sheet",NA,"Amostra madeira XIII. Amostra madeira S. Bot. Geral 2014 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272106' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504998","Magnoliophyta","Laurales","Nees & Mart. ex Nees","L. E. Kopp","s.n.","1948","03","01","Paraná","Açungui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","504992","PreservedSpecimen","Plantae","Lauraceae","Persea","pyrifolia","Persea pyrifolia",NA,"H. M. de Souza","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504992","Magnoliophyta","Laurales","Nees & Mart. ex Nees","B. Coe-Teixeira",NA,"1965","01",NA,"São Paulo","Indaiatuba",NA,NA,"Indaiatuba","-47.195048","-23.116473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
