"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1031941","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana","(Seub.) Handlos","R. B. Faden","H. S. Irwin","26860","1970","03","03","South America","Brazil","Minas Gerais","Corinto","Ca. 25 km W of Corinto, valley of Rio Bicudo","-44.6552778","-18.29935","525","525","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188469' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031941","NY01031941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:33:32-03","UFJF","CESJ","50149","PreservedSpecimen","Plantae","Angiosperma",NA,"Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana","(Seub.) Handlos","M.O.O. Pellegrini","L.B.V. Matta; L. Menini Neto","147","2008","04","18","América do Sul","Brasil","Minas Gerais","Matias Barbosa","Área Verde","-43.3194007873535","-21.8691997528076",NA,NA,NA,"Flores lilacíneas.","CESJ050149",NA,"2016","02","19","10884","auto",NA,NA,NA,NA,NA
"3","2020-04-27 16:09:20-03","UFES","VIES","37024","S","Plantae",NA,NA,"Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana","(Seub.) Handlos","Luber, J.","Carrijo, T.T.; Luber, J.; Martins, K.G.G.; Hollunder, R.K. & Garbin, M.L.","1805","2013","08","23",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual de Mata das Flores.","-41.184700012207","-20.6035995483398",NA,NA,NA,NA,"VIES037024","VIES037024","2014","02","05","23588","auto",NA,NA,NA,NA,NA
"4","2020-04-27 16:09:20-03","UFES","VIES","23016","S","Plantae",NA,NA,"Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana","(Seub.) Handlos","Marco Octávio Pellegrini","Michel Ribeiro; Ezinete M. Rozário","1222","2016","02","01",NA,"Brasil","Espírito Santo","Viana","Jucuruaba. Jucuruaba. Fazenda Experimental Reginaldo Conde (INCAPER). Zona Ciliar do rio Jucu. Coletas na borda do fragmento florestal.","-40.479722","-20.423333",NA,NA,NA,NA,"VIES023016",NA,"2016","04","27",NA,NA,"40º28'47''W","20º25'24''S",NA,NA,NA
"5","2020-12-21 16:21:16-03","MBM","MBM","420854","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana","(Seub.) Handlos","Pellegrini, M.O.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4166","2019","01","23","Southern America","Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.5225","-19.5525","243","243",NA,"Erva com até 0,2 m. Pétalas lilases.; Vegetação secundária média/avançada","MBM420854",NA,"2019","02","01",NA,NA,"-42.5225","-19.5525",NA,NA,NA
"6","2020-12-21 16:21:16-03","MBM","MBM","79973","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana","(Seub.) Handlos",NA,"Hage, J.L.; et al.; et al.","1004","1981","06","30","Southern America","Brazil","Bahia","Ilhéus","Área do CEPEC","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,"MBM079973","MBM079973",NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA
"7","2020-12-11 11:43:39-03","UFMG","BHCB","51162","PreservedSpecimen","Plantae","Monocotyledon",NA,"Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana","Handlos",NA,"Lombardi, JA","3652","2000","03","24","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga, Fazenda Montes Claros","-42.1391983032227","-19.7896995544434",NA,NA,NA,"Mata Atlântica secundária e borda de caminho do Jaó para a sede. Erva, folhas carnosas, botões roxos","BHCB005727",NA,"2013","03","01","49886","auto",NA,NA,NA,NA,NA
"8","2014-08-23 05:35:00-03","MO","MOBOT","1605841","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana","(Seub.) Handlos",NA,"Howard S. Irwin|S.F. da Fonsêca|R. Souza","Irwin 26860","1970","3","3","South America","Brazil","Minas Gerais",NA,"Gallery forest, ca. 25 Km. W of corinto, valley of rio Bicudo",NA,NA,"525.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"9","2021-03-04 11:04:58-03","UFRB","HURB","7139","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Tripogandra","cf. warmingiana","Tripogandra cf. warmingiana","(Seub.) Handlos","L.Y.S. Aona","Gasper, A.L.; Salino, A. & Meyer, L.","2939","2011","11","12",NA,"Brasil","Santa Catarina","Bom Retiro","Campo Novo; acesso alternativo ao Campo dos Padres","-49.319722","-27.867222",NA,NA,NA,"beira do rio.","HURB000007139",NA,NA,NA,NA,NA,NA,"49º19'11W","27º52'02S",NA,NA,NA
"10","2021-02-09 10:12:30-03","UENF","HUENF","12122","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana","(Seub.) Handlos","D.R. Couto","D.R. Couto; H.B.M. Viana & P.M. Santos","5239","2020","03","06",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Santa Luzia, Mata do Mico. Floresta Estacional Semidecidual, em área com corte seletivo de madeira.","-41.216667","-21.316667","70","70",NA,"Erva terrícola, com caule prostrado, esciófila. Lâmina verde discolor; flores lilás, com antese ao entardecer.","HUENF00012989",NA,"2020","04","07",NA,NA,"41º13'W","21º19'S",NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","2951877","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana",NA,"Faden, R. B., (US), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","Warming, --","s.n.",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"US00047284","US00047284_01",NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"12","2020-09-12 05:00:02-03","US","US","2951879","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana",NA,"Faden, R. B., (US), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","J. L. Hage & E. B. Santos","1004","1981","6","30","South America - Neotropics","Brazil","Bahia","Ilhéus","Cepec region","-39.0494003295898","-14.7889003753662","50","50",NA,NA,"US00047282","US00047282_01",NA,NA,NA,"61245","auto",NA,NA,"1","Monocotyledonae",NA
"13","2020-09-12 05:00:02-03","US","US","2969357","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana",NA,"Faden, R. B., (US), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","H. S. Irwin","26860","1970","3","3","South America - Neotropics","Brazil","Minas Gerais",NA,"W of corinto, valley of rio bicudo",NA,NA,"525","525",NA,NA,"US00047283","US00047283_01",NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"14","2020-07-23 12:03:35-03","CEPLAC","CEPEC","24029","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Tripogandra","warmingiana","Tripogandra warmingiana",NA,"R. B. Faden","J. L. Hage","1004","1981","06","30",NA,"Brasil","Bahia","ILHÉUS","Cepec. Quadra D'. Mata Higrofila.","-39.0494003295898","-14.7889003753662",NA,NA,NA,"<ll>dwc_commonname:</ll> Marianinha",NA,NA,NA,NA,NA,"61245","auto","0*0'0","0*0'0",NA,NA,"30/12/1982"
