"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","414778","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","jaguariahyvae","Bulbophyllum jaguariahyvae","Kraenzl.","F. W. L. Kraenzlin","isotype","P. K. H. Dusén","11721","1911","04","17","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414778","NY00414778_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414779","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","tripetalum","Bulbophyllum tripetalum","Lindl.","E. de C. Smidt",NA,"J. C. Lindeman","Ha14009","1966","03","04","South America","Brazil","Paraná","Jaguariaíva","Fazenda Cajurú","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414779","NY00414779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","414937","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","tripetalum","Bulbophyllum tripetalum","Lindl.","E. de C. Smidt",NA,"E. Hassler","10292","1907",NA,NA,"South America","Paraguay",NA,NA,"In altiplanitie et declivibus, Sierra de Amambay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414937","NY00414937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03998713","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","tripetalum","Bulbophyllum tripetalum","Lindl.",NA,NA,"E. Hassler","10292","1907","03",NA,"South America","Paraguay",NA,NA,"In altaplanitie et declivibus Sierra de Amambay.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314393' target='other'> <mi>dwc_moreinfo</mi></a>","NY03998713","NY03998713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414780","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","tripetalum","Bulbophyllum tripetalum","Lindl.","E. de C. Smidt",NA,"G. G. Hatschbach","14009","1966","03","04","South America","Brazil","Paraná","Jaguariaíva","Fda. Cajurú","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414780","NY00414780_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","547369","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","tripetalum","Bulbophyllum tripetalum","Lindl.",NA,NA,"P. K. H. Dusén","11721(CM!)",NA,NA,NA,"South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547369","NY00547369_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","414795","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","tripetalum","Bulbophyllum tripetalum","Lindl.","G. F. J. Pabst",NA,"R. Kautsky","485","1975","04","03","South America","Brazil","Minas Gerais",NA,"Pr. Ibiraçú",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414795","NY00414795_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","414796","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","tripetalum","Bulbophyllum tripetalum","Lindl.","Hoehne; Schltr.",NA,"A. Gehrt","5262","1921","02","07","South America","Brazil","São Paulo","Sao Paulo","Butantan, Sao Paulo","-46.724373","-23.565521","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414796","NY00414796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","414807","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","tripetalum","Bulbophyllum tripetalum","Lindl.","E. de C. Smidt",NA,"H. S. Irwin","20182","1968","02","15","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó, Minas Gerais, ca km 120 (ca 145 km N of Belo Horizonte)","-43.4","-18.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414807","NY00414807_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","414794","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","tripetalum","Bulbophyllum tripetalum","Lindl.","G. F. J. Pabst",NA,"G. G. Hatschbach","36542","1975","02","28","South America","Brazil","Minas Gerais","São Thomé das Letras","S. Tomé das Letras, arredores","-44.98139","-21.7234469","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414794","NY00414794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
