"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","locality","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01063686","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachybotrya","Psychotria brachybotrya","Müll.Arg.","W. R. Anderson","10513","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1270203' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063686","NY01063686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01063695","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachybotrya","Psychotria brachybotrya","Müll.Arg.","J. M. Poole","1928","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267694' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063695","NY01063695_01","J. H. Kirkbride Jr.","1979","07","07","South slope of Morro Ximaio, terra firme.","-66.8333331","-0.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01063688","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachybotrya","Psychotria brachybotrya","Müll.Arg.","J. F. Pruski","3386","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1270205' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063688","NY01063688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01063690","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachybotrya","Psychotria brachybotrya","Müll.Arg.","T. C. Plowman","12408","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267643' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063690","NY01063690_01","J. H. Kirkbride Jr.","1982","12","08","Rio Japurá, environs of town of Maraã. Mouth of igarapé Maraã and Lago Maraã. In forest on terra firme.","-65.5833331","-1.8333331","Maraã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01063687","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachybotrya","Psychotria brachybotrya","Müll.Arg.","T. C. Plowman","9820","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1270204' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063687","NY01063687_01",NA,"1980","03","20","23 Km south of Represa Tucuruí (Rio Tocantins) along highway BR-422.","-49.7634503","-3.9920747","Tucuruí","100","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01063689","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachybotrya","Psychotria brachybotrya","Müll.Arg.","C. A. Cid Ferreira","1545","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267642' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063689","NY01063689_01","J. H. Kirkbride Jr.","1980","07","16","Rio Trombetas, margem esquerda do lago Erepecu, ao longo do lago. Mata de terra firme, solo argiloso, úmido.","-56.5784955","-1.3418401","Oriximiná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01063699","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachybotrya","Psychotria brachybotrya","Müll.Arg.","M. T. V. do A. Campos","552","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267645' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063699","NY01063699_01","C. M. Taylor; M. T. V. do A. Campos","1996","03","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02689963","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachybotrya","Psychotria brachybotrya","Müll.Arg.","G. T. Prance","29475","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2960483' target='other'> <mi>dwc_moreinfo</mi></a>","NY02689963",NA,NA,"1985","07","11","Lowland forest at base of Western massif of Serra Aracá.","-63","0.816667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01063696","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachybotrya","Psychotria brachybotrya","Müll.Arg.","D. G. Campbell","P21983","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267695' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063696","NY01063696_01","C. M. Taylor; M. T. V. do A. Campos","1974","04","19","Across from Guaraná factory. Primary forest on terra firme.","-57.7183","-3.3836","Maués",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","869818","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachybotrya","Psychotria brachybotrya","Müll.Arg.","P. G. Delprete","8508","South America","Brazil","Acre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869818","NY00869818_01",NA,"2002","04","15","Basin of Rio Muru, village of Colombo, locality with frequent tabocais that died last year","-71.1","-8.77","Feijó","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
