"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3757","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Constantia","cipoensis","Constantia cipoensis","Porto & Brade.","Carlos Alberto Ferreira Júnior","2016","06","02","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:40:39-03","UFJF","CESJ","54940","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Orchidaceae","Constantia","cipoensis","Constantia cipoensis","Porto & Brade",NA,NA,NA,NA,NA,"Erva epífita, sobre Velloziaceae, no campo rupestre. Frequente. Pseudobulbo semi esférico, levemente enrugado, verde claro, folhas verdes, vaeriegadas de verde claro. Flores creme, labelo com mácula longitudinal amarela, coluna verde oliva.","L. Menini Neto; R.C. Forzza; M.M. Saavedra; J.C. Silva","683","2009","05","23","América do Sul","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, MG-10, a 23Km da ponte do Rio Cipó, próximo à estátua do Juquinha. 19º15'48 S, 43º33'31 W. Elev. 1270m.","-43.7144012451172","-19.1688995361328","26557","CESJ054940","auto",NA,NA,NA,NA,NA
"3","2019-08-20 10:00:38-03","UNICAMP","UEC","34825","S","Plantae","Liliopsida",NA,NA,"Orchidaceae","Constantia","cipoensis","Constantia cipoensis","Porto & Brade","Barros, F","1994","10","13",NA,NA,"Sazima, M","13345","1971","07","17",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 115 da Rod. Lagoa Sta a Conceição do Mato Dentro.","-43.7449989318848","-19.513599395752","31264","UEC033669","auto","UEC033669",NA,NA,NA,NA
"4","2019-08-20 10:00:38-03","UNICAMP","UEC","35307","S","Plantae","Liliopsida",NA,NA,"Orchidaceae","Constantia","cipoensis","Constantia cipoensis","Porto & Brade","Barros, F","1994","10","13",NA,NA,"Semir, J","13425","1972","04","29",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 115 da Rod. Lagoa Sta a Conceição do Mato Dentro.","-43.7449989318848","-19.513599395752","31264","UEC033671","auto","UEC033671",NA,NA,NA,NA
"5","2020-12-11 11:44:24-03","UFMG","BHCB","180196","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Constantia","cipoensis","Constantia cipoensis","Porto & Brade",NA,"2014","04","12",NA,"Erva epifita.Frequente no local. Flore creme, parte mediana do labelo amarelado.; Sobre Vellozia em campo rupestre quartzitico.","Batista, JAN; Carvalho, BM de; Ferreira, C; Fernandes, FM","3337","2014","04","12","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, RPPNs Brumas do Espinhaço e Ermos dos Gerais.Próximo a sede, em direção a entrada da RPPN","-43.709722","-19.051111",NA,"BHCB032485",NA,NA,"-43.709722","-19.051111","1300","1300"
"6","2020-12-11 11:44:24-03","UFMG","BHCB","17959","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Constantia","cipoensis","Constantia cipoensis","Porto & Brade",NA,NA,NA,NA,NA,"Campo rupestre, epífita. Flor branca, calosidade do labelo amarela e antera verde. Epífita de Vellozia piresiana e V. compacta.","Queiroz, LP de","s.n.","1990","05","06","Southern America","Brasil","Minas Gerais","Santana do Riacho","P.N. da Serra do Cipó","-43.7144012451172","-19.1688995361328","26557",NA,"auto",NA,NA,NA,"1420","1420"
"7","2019-06-10 10:11:19-03","FZB-BH","BHZB","8770","S","Plantae",NA,NA,NA,"Orchidaceae","Constantia","cipoensis","Constantia cipoensis",NA,NA,NA,NA,NA,NA,"Ponto 93 635798 7893206 1297mEpífita sobre Vellozia.","Ferreira Junior, C.A. et al.","418","2012","05","14",NA,"Brasil","MG","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo dos Gerais","-43.709444","-19.049444",NA,NA,NA,NA,"43W 42' 34","19S 02' 58","1297","1297"
"8","2019-06-10 10:11:19-03","FZB-BH","BHZB","8952","S","Plantae",NA,NA,NA,"Orchidaceae","Constantia","cipoensis","Constantia cipoensis",NA,NA,NA,NA,NA,NA,"Epífita sobre Vellozia compacta. . Ponto 93635798 7893206 1297 m.","Ferreira Junior, C.A. et al.","396","2012","04","19",NA,"Brasil","MG","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo dos Gerais","-43.709444","-19.049444",NA,NA,NA,NA,"43W 42' 34","19S 02' 58","1297","1297"
"9","2019-11-21 10:13:02-03","IBt","SP","183032","S","Plantae",NA,NA,NA,"Orchidaceae","Constantia","cipoensis","Constantia cipoensis","Porto & Brade","Barros, F","1980","04","28",NA,NA,"Barros, F","225","1980","04","28",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557",NA,"auto",NA,NA,NA,NA,NA
