"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","relationshipType","infraspecificEpithet","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:25:39-03","UNESC","CRI","9135","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","Marcos Sobral","D. B. Falkenberg","5494","1991","05","24","Brasil","Santa Catarina","Urubici","Morro da igreja próximo a captação da água do Cindacta.","-49.591944","-28.015556","49º35'31''W","28º0'56''S","1700","1700","CRI005208","CRI005208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","5369","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","Marcos Sobral","J. A. Jarenkow",NA,"1992","12","19","Brasil","Rio Grande do Sul","Torres",NA,"-49.793056","-29.356667","49º47'35''W","29º21'24''S",NA,NA,"CRI005209","CRI005209","1992","12","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","4132","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","Marcos Sobral","V. Boff","129","1995","09","08","Brasil","Santa Catarina","Fraiburgo","Taquara.","-50.921667","-27.026667","50º55'18''W","27º1'36''S","1021","1021","CRI005206","CRI005206",NA,NA,NA,"Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:39-03","UNESC","CRI","14476","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","Sobral, M","Stival-Santos, A.; Silveira, S.","581","2009","04","14","Brasil","Santa Catarina","Abelardo Luz","Comunidade da Grama - Assentamento José Maria. Comunidade da Grama - Assentamento José Maria.","-52.108889","-26.550278","52º6'32''W","26º33'1''S","1102","1102","CRI013567","CRI013567","2009","07","17","Florística IFFSC 884(Arbórea) Habitat: Floresta Ombrófila Mista; Estágio Avançado; interior da mata Habito: arbórea; flor branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","14477","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","Ceolin, LM","Ceolin, L.M.","350","2009","03","10","Brasil","Paraná","Palmas","Rio Iratim, afluente do Iguaçú. Rio Iratim, afluente do Iguaçú.","-51.593056","-26.305833","51º35'35''W","26º18'21''S","1083","1083","CRI013566","CRI013566","2009","03","10","Habitat: Floresta Ombrófila Mista; Estágio Avançado Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","12865","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","Aline Votri Guislon","Aline Votri Guislon",NA,"2017","11","05","Brasil","Santa Catarina","Lauro Muller","Estância Pé da Serra.","-49.395833","-28.391667","49º23'45''W","28º23'30''S","700","700","CRI011473","CRI011473","2017","11","06","Flor branca. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615773","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","L. R. Landrum","J. Mattos","15786","1974","04","23","Brazil","São Paulo","Campos do Jordao","Campos do Jordao, Parque Estadual","-45.454379","-22.673246",NA,NA,NA,NA,"NY00615773","NY00615773_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635669' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1551165","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel",NA,"S. J. da Silva Neto","1447","2001","08","29","Brazil","Minas Gerais","Itamonte","Parque Nacional de Itatiaia. Serra Negra, trilha do Matão, área de pasto, beira de cerca.","-44.733","-22.358",NA,NA,NA,NA,"NY01551165","NY01551165_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1912148' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615760","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","L. R. Landrum","L. R. Landrum","2942","1977","12","26","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Sao Francisco de Paula, 5 km along road to Porto Alegreca","-50.25","-29.5",NA,NA,"1000","1000","NY00615760","NY00615760_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635665' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615757","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","L. R. Landrum","R. Kummrow","2299","1983","04","14","Brazil","Paraná","Guaratuba","Rio Itararé","-48.5744","-25.8831",NA,NA,NA,NA,"NY00615757","NY00615757_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635674' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","615775","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","L. R. Landrum","G. G. Hatschbach","14593","1966","08","12","Brazil","Paraná","Sao José dos Pinhais","Col. Sao Andrade","-49.2064","-25.5347",NA,NA,NA,NA,"NY00615775","NY00615775_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635670' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","615765","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","L. R. Landrum","R. Reitz","8760","1959","04","17","Brazil","Santa Catarina","Rio do Sul","Matador, Rio do Sul","-49.6431","-27.2144",NA,NA,"350","350","NY00615765","NY00615765_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635678' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","615772","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","miersiana","Myrceugenia miersiana","(Gardner) D.Legrand & Kausel","S. F. Smith","R. A. Wasum","2823","1987","05","31","Brazil","Rio Grande do Sul","Nova Prata","Nova Prata - Fazenda Palmeira Alta","-51.61","-28.7842",NA,NA,"750","750","NY00615772","NY00615772_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635662' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
