"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1014538","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.","P. Moonlight","L. Riedel","s.n.","1831","South America","Brazil","Serra Estrella.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131516' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014538","NY01014538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03075392","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.","P. Moonlight","M. G. Bovini","3713","2012","South America","Brazil","P.E.Desengano, trilha para o Pico do Maciel. 1050-1200m.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3301041' target='other'> <mi>dwc_moreinfo</mi></a>","NY03075392","NY03075392_01","09","04","Rio de Janeiro","Santa Maria Madalena","-41.9141667","-21.8736111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","453988","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.","L. B. Smith; D. C. Wasshausen","D. Lemos",NA,"1921","South America","Brazil","Alto da Serra, Estaçao Biológica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453988","NY00453988_01","12","08","São Paulo","Ribeirao Pires","-46.4097","-23.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","453989","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.","L. B. Smith; D. C. Wasshausen","O. Handro","698","1957","South America","Brazil","Mata da Estaçao Biológica. Paranapiacaba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00453989","NY00453989_01","08","21","São Paulo","Bertioga","-46.3","-23.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","454104","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","integerrima","Begonia integerrima integerrima","Spreng.",NA,"D. R. Hunt","6395","1966","South America","Brazil","Parque National","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454104","NY00454104_01","07","23","Rio de Janeiro","Itatiaia","-44.5631","-22.4961","integerrima","600","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","454105","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","integerrima","Begonia integerrima integerrima","Spreng.",NA,"L. Riedel",NA,NA,"South America","Brazil","Serra Estrella","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454105","NY00454105_01",NA,NA,"Rio de Janeiro","Petrópolis","-43.1783","-22.505","integerrima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:35:21-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Dicotiledônea",NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.",NA,"Sellow, F","s.n.",NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:37:18-03","EAO","IAN","617","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Begoniaceae","Begonia","populnea","Begonia populnea","Schott",NA,"Riedel, L","s.n.",NA,"Southern America","Brasil",NA,NA,NA,"IAN000617","IAN000617_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:35:24-03","EAO","IAN","72528","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Begoniaceae","Begonia","populnea","Begonia populnea","Schott",NA,"Brade, AK","14201","1948","Southern America","Brasil","Castelo.",NA,"Caule trepadeira; flores alvas.","IAN072528",NA,"08","09","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 10:55:08-03","ESALQ","ESA","134821","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.","Silva-Filho, A.A.","Souza, V.C.; Flores, T.B.; Colletta, G.D.; Coelho, R.L.G.; Toledo, C.A.P.T.; Silva-Filho, A.A.; Ramos, B.A.; Nascimento, M.S.; Antonio, P.E.; Brito, T.R.O.","39616.0","2015",NA,"Brasil","Parque Nacional da Serra da Bocaina. Arredores da Pedra da Macela.",NA,"Erva rupícola; folhas avermelhadas na face inferior. Vegetativo.","ESA134821",NA,"09","11","Rio de Janeiro","Parati","-44.7131004333496","-23.2178001403809",NA,"1450","1450","2016","05","20","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 10:55:08-03","ESALQ","ESA","141824","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.","Kollmann, L.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2209.0","2015",NA,"Brasil","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.",NA,"Arbusto ca. 90 cm de alt. Frutos acastanhados.","ESA141824",NA,"11","28","Rio de Janeiro","Paraty","-44.7131004333496","-23.2178001403809",NA,NA,NA,"2019","03","15","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:03:01-03","ESALQ","ESA","79247","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.","Souza, J.P.","Souza, J.P.; Fonseca, M.G.; Matteo, B.C.; Giarola, N.; Silva, L.N.; Passold, A.J.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3287.0","2000",NA,"Brasil","Parque Estadual da Serra do Mar, Estrada da Limeira. Floresta Ombrófila Densa de Encosta com perturbação. Beira de estrada",NA,"Epífita. Frutos castanhos","ESA079247","ESA079247","04","19","São Paulo","São Sebastião","-45.32","-23.44",NA,"600","600",NA,NA,NA,NA,NA,"-45.32","-23.44",NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:03:01-03","ESALQ","ESA","71871","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.","Souza, J.P.; IV/2000","Forster, W.; Mazine, F.F.; Paranaguá, P.A.; Moura, C.; Oliveira, R.C.; Silveira, E.R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","259.0","2000",NA,"Brasil","Parque Estadual da Serra do Mar - Estrada da Intermediária - Km30/570m. Floresta Ombrófila Densa Submontana de Encosta. Beira de estrada.",NA,NA,"ESA071871","ESA071871","04","18","São Paulo","Caraguatatuba","-45.37","-23.41",NA,NA,NA,NA,NA,NA,NA,NA,"-45.37","-23.41",NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:03:01-03","ESALQ","ESA","53346","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima",NA,"Delfini, C.","Lucas, E.J. et al.","346.0","2006",NA,"Brasil",NA,NA,NA,"ESA053346","ESA053346","11","16","São Paulo","Cunha","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:03:01-03","ESALQ","ESA","117484","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima",NA,"Delfini, C.","Delfini, C.","38.0",NA,NA,"Brasil","Parque Estadual da Serra do Brigadeiro. Trilha do Mucuri.",NA,"Erva trepadeira, ca. de 60cm do solo, folhas face adaxial verde brilhante.","ESA117484","ESA117484",NA,NA,"Minas Gerais","Araponga","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:24:40-03","MN","R","9852","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng","Jacques, E.L.","Glaziou, A.F.M.","14232","1882",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000009852","R000009852_001","08","28","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"1997","10","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:55:22-03","JBP","HPL","1897","S","Plantae",NA,NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng","H. Lorenzi","H. Lorenzi","3136","2002",NA,"Brasil","Na estrada para a Pedra da Marcela.",NA,NA,NA,NA,"02","14","SP","Cunha","-44.823944","-23.151861",NA,"1450","1450","2002","02","14",NA,NA,"44° 49' 26,2 W","23° 09' 06,7 S",NA,NA,NA,NA,NA,NA
"18","2015-07-02 14:55:22-03","JBP","HPL","2912","S","Plantae",NA,NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng","H. Lorenzi","H. Lorenzi","3136","2002",NA,"Brasil","Coletada na estrada para a pedra da Marcela.",NA,NA,NA,NA,"02","14","SP","Cunha","-44.823944","-23.151861",NA,"1450","1450","2002","02","14",NA,NA,"44° 49' 26,2 W","23° 09' 06,7 S",NA,NA,NA,NA,NA,NA
"19","2016-02-02 14:37:48-02","BGBM","B","B 10 0243015","S","Plantae",NA,NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.",NA,"F. Sellow",NA,NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243015 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243015","B100243015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA
"20","2016-02-02 14:37:48-02","BGBM","B","B 10 0243017","S","Plantae",NA,NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.",NA,"F. Sellow","566",NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243017 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243017","B100243017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA
"21","2016-02-02 14:37:48-02","BGBM","B","B 10 0243020","S","Plantae",NA,NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.",NA,"F. Sellow",NA,NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243020 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243020","B100243020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA
"22","2016-02-02 14:37:48-02","BGBM","B","B 10 0243014","S","Plantae",NA,NA,"Begoniaceae","Begonia","integerrima","Begonia integerrima","Spreng.",NA,"F. Sellow","566",NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243014 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243014","B100243014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA
