"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","fieldNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","911169","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","M. H. Nee","H. S. Irwin","15890","1966","05","18","South America","Brazil","Distrito Federal","Brasília","Jardim Zoolôgico, Brasília","-47.95","-15.85","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911169","NY00911169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","911170","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","M. H. Nee","H. S. Irwin","6462","1964","09","30","South America","Brazil","Mato Grosso",NA,"Garapú.","-52.57","-13.2","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911170","NY00911170_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:49:51-03","EAO","IAN","145745","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","Vignoli-Silva, M","Ribeiro, BGS","758","1975","02","21","Southern America","Brasil","Amazonas",NA,"S. Gabriel, Rio Negro.",NA,NA,NA,NA,NA,NA,"IAN145745",NA,"2009","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:49:51-03","EAO","IAN","145834","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","Vignoli-Silva, M","Ribeiro, BGS","847","1975","03","06","Southern America","Brasil","Amazonas",NA,"Margem da estrada Perimetral Norte Rio Negro, Uaupés.",NA,NA,NA,NA,NA,NA,"IAN145834",NA,"2009","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:51-03","EAO","IAN","146190","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","Vignoli-Silva, M","Cordeiro, MR","264","1975","02","21","Southern America","Brasil","Amazonas",NA,"Campo de Aviação de Uaupés, Alto R. Negro, a 14km da cidade S. Gabriel.",NA,NA,NA,NA,NA,NA,"IAN146190",NA,"2009","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:49:51-03","EAO","IAN","149670","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","Vignoli-Silva, M","Ribeiro, BGS","980","1975","05","20","Southern America","Brasil","Amazonas",NA,"Vila Iauuareté, margem do Rio Uaupés, mata de catinga, areia branca.",NA,NA,NA,NA,NA,NA,"IAN149670",NA,"2009","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:49:51-03","EAO","IAN","33321","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","Vignoli-Silva, M","Black, GA","2586","1948","05","10","Southern America","Brasil","Amazonas","Tunuí","Içana",NA,NA,NA,NA,NA,NA,"IAN033321","IAN033321 IAN033321_e","2009","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:49:51-03","EAO","IAN","74770","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","Vignoli-Silva, M","Fróes, RL","27965","1952","03","21","Southern America","Brasil","Amazonas",NA,"Piraiauara, Rio Içana.",NA,NA,NA,NA,NA,NA,"IAN074770",NA,"2009","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:49:51-03","EAO","IAN","114234","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","Vignoli-Silva, M","Archer, WA","7809","1942","11","11","Southern America","Brasil","Pará","Belém","Jardim Botânico do Museu Goeldi.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"Tree-like shrub, 15 ft.","IAN114234",NA,"2009","03","48462","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-19 10:25:32-03","CPAP","CPAP","22423","PreserverdSpecimen","Plantae",NA,NA,"Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","R. Stehmann","Pott, V. J.","7765","2005","04","22",NA,"Brasil","MS","Água Clara","Fazenda São Lourenço, 27 Km de Água Clara p/ inocência","-52.734444","-20.256111","420","420",NA,"Subarbusto anfíbio, 1m de altura. com flores de cor branca, planta tóxica Ocasional. Campo úmido graminoso, ralo, com veios d'água e surgências; entre ex-cerrado e mata de galeria,. Solo: arenoso hidromórfico,. Relevo: levemente inclinado.",NA,NA,"2005","10",NA,NA,"13","52°44'04'' W","20°15'22'' S",NA,NA,NA,NA
"11","2019-02-15 11:50:48-02","IPA","IPA","43987","S","Plantae","Plantae",NA,"Solanaceae","Cestrum","tubulosum","Cestrum tubulosum","Sendtn.","Rita Pereira; Fotius, G.","Fotius, G.; Iêdo, S.á.; Iêdo, S.á.","3771","1984","02","15","Southern America","Brasil","Ceará","Crato","Chapada do Araripe. 3 Km de Serrolândia. Capoeira à beira da estrada.","-39.4094009399414","-7.23416996002197",NA,NA,NA,"Hábito: arbusto 0,7 - 1,5 m de alt. Folha: quase concolor. Flor: amarelo-claro esverdeado. Fruto: maduro preto. Casca: cinza. Fenologia: f12 - fr2","IPA0043987",NA,"1984",NA,"30071","auto",NA,NA,NA,NA,NA,NA,NA
