"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","class","yearIdentified","monthIdentified","dayIdentified"
"1","2016-02-02 14:38:04-02","BGBM","B","B 10 0250101","S","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R.Knuth","holotype","A. Loefgren","3573","1896","12","22","Middle and South America","Brazil","Cerrado, S. Francisco dos Campes, Serra da Mantiqueira.","<a href=http://herbarium.bgbm.org/object/B100250101 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100250101","B100250101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2011-02-18 16:40:00-02","MO","MOBOT","3041042","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R. Knuth",NA,"A. Loefgren","Loefgren 3573",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-15 15:30:14-03","UNESP-RC","HRCB","65784","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R. Knuth",NA,"Siqueira",NA,NA,NA,NA,NA,"Brasil","Reserva Natural Vale","<ll>dwc_commonname:</ll> Salsaparrilha",NA,NA,"Araújo, D.","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA
"4","2019-09-04 19:29:34-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii",NA,"Type [status unknown]","A. Löfgren","3573",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta","Monocotyledoneae",NA,NA,NA
"5","2019-11-21 10:03:34-03","IBt","SP","210381","S","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R.Knuth",NA,"Sobral, M; Folli, DA","4772","1986","03",NA,NA,"Brasil",NA,NA,NA,NA,"Kirizawa, M","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA
"6","2020-12-17 09:29:05-03","IBt","SP","364051","S","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R.Knuth",NA,"Folli, DA","641","1987","03","28",NA,"Brasil","Reserva Florestal da CVRD",NA,NA,NA,NA,"Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA
"7","2020-12-17 09:29:05-03","IBt","SP","364052","S","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R.Knuth",NA,"Folli, DA","1879","1993","05","06",NA,"Brasil","Reserva Florestal da CVRD",NA,NA,NA,NA,"Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA
"8","2020-12-17 09:29:05-03","IBt","SP","412879","S","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R.Knuth",NA,"Folli, DA","641","1987","03","28",NA,"Brasil","Reserva Florestal da CVRD",NA,NA,NA,NA,"Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA
"9","2020-12-17 09:29:05-03","IBt","SP","412880","S","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R.Knuth",NA,"Folli, DA","1879","1993","05","06",NA,"Brasil","Reserva Florestal da CVRD",NA,NA,NA,NA,"Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA
"10","2020-11-26 10:00:08-03","IBt","SP","382452","S","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R.Knuth",NA,"Kirizawa, M","3523","2006","01","15",NA,"Brasil",NA,NA,NA,NA,NA,"Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","auto",NA,NA,NA,NA,NA
"11","2020-11-26 10:00:09-03","IBt","SP","382453","S","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R.Knuth",NA,"Kirizawa, M","3524","2006","01","15",NA,"Brasil",NA,NA,NA,NA,NA,"Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","auto",NA,NA,NA,NA,NA
"12","2020-11-26 10:00:09-03","IBt","SP","382457","S","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R.Knuth",NA,"Kirizawa, M","3522","2006","01","15",NA,"Brasil",NA,NA,NA,NA,NA,"Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","auto",NA,NA,NA,NA,NA
"13","2019-11-21 10:03:34-03","IBt","SP","9094","S","Plantae","Dioscoreaceae","Dioscorea","loefgrenii","Dioscorea loefgrenii","R.Knuth","Isotype","Loefgren, A","CGG3573","1896","12","22",NA,"Brasil","São Fancisco dos Campos, Serra da Mantiqueira, Estado de Minas Gerais",NA,"SP002977","SP002977","Kirizawa, M; Xifreda, C","São Paulo","São Francisco","-50.689998626709","-20.3500003814697","9856","auto",NA,NA,"2006","01","16"
