"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount","class","typeStatus"
"1","2020-09-23 10:41:47-03","E","E","82953","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Silva, J.M. & Hatschbach, G.","1786","1996","06","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91364","<a href=http://data.rbge.org.uk/herb/E00082953 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","579982","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","G. G. Hatschbach","52157","1988","07","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=263648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579982","Magnoliophyta","Myrtales","Kausel","M. Sobral","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.72","-25.42","50","100","NY00579982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579981","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","J. M. Silva","1786","1996","06","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=263649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579981","Magnoliophyta","Myrtales","Kausel","G. G. Hatschbach","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.72","-25.42",NA,NA,"NY00579981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","594924","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","G. G. Hatschbach","14517","1966","07","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594924","Magnoliophyta","Myrtales","Kausel","M. Sobral","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.90806","-25.93389","100","100","NY00594924_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:34-03","ESALQ","ESA","35151","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Silva, J.M. ; Hatschbach, G.","1786.0","1996","06","13",NA,"Brasil",NA,NA,NA,"ESA035151","Magnoliophyta",NA,"Kausel","Hatschbach, G.","Paraná","Antonina",NA,"-48.7118988037109","-25.4286003112793",NA,NA,"ESA035151","38300","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034389","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","J. M. Silva; G. Hatschbach","1786","1996","6","13",NA,"Brazil",NA,NA,"Coor from www.fallingrain.com/world; Arbusto, 3.50m, flor alva.",NA,"Magnoliophyta","Myrtales","Kausel","G. Hatschbach, 1996","Parana","Antonina","No specific.","-48.7167","-25.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034390","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","G. Hatschbach; J. M. Silva","52157","1988","7","5",NA,"Brazil",NA,NA,"Coor from www.fallingrain.com/world; Arbusto 3m; flores alvas.",NA,"Magnoliophyta","Myrtales","Kausel","M. Sobral.","Parana","Antonina","No specific.","-48.7167","-25.45","50","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:36:19-03","UNICAMP","UEC","36840","S","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G","s.n.","1966","07","26",NA,"Brazil",NA,NA,"Arvoreta flor alva.",NA,"Magnoliopsida",NA,"Kausel","Sobral, M","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596","100","100",NA,"41937","auto","1990",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-08 08:53:48-03","FURB","FURB","4001","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Pozzobon, M.",NA,"2004","06","01",NA,"Brasil",NA,NA,NA,"FURB32227",NA,NA,"Kausel","Sobral, M","Santa Catarina","Indaial","PCH.","-49.2036111","-26.8833333","59","59","FURB32227",NA,NA,"2006","05","-49.2036111","-26.8833333",NA,NA,NA,NA
"10","2020-05-20 17:53:18-03","FURB","FURB","54019","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Funez, L.A.","6380","2017","05","01",NA,"Brasil",NA,NA,"Flores brancas Habitat: Floresta Habito: Arvoreta","FURB54019",NA,NA,"Kausel","Vieira, F. C. S.","Santa Catarina","Indaial","Foz do Encano.","-49.19","-26.8883333","41","41","FURB54019",NA,NA,"2020","04","-49.1900000","-26.8883333","21",NA,NA,NA
"11","2020-05-20 17:53:18-03","FURB","FURB","54535","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Funez, L.A.; Marascalchi, M.N., Kassner-Filho, A.","6433","2017","08","21",NA,"Brasil",NA,NA,"Flores brancas Habitat: Entre rochas expostas Habito: Arbusto","FURB54535",NA,NA,"Kausel","Vieira, F. C. S.","Santa Catarina","Blumenau","Ponte do Salto.","-49.1025","-26.8797223","42","42","FURB54535",NA,NA,"2020","04","-49.1025000","-26.8797223","17",NA,NA,NA
"12","2019-11-08 08:53:48-03","FURB","FURB","683","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Freygang, C.C.; Severo, I.S.",NA,"1995","05","25",NA,"Brasil",NA,NA,NA,"FURB32228",NA,NA,"Kausel","Sevegnani, L","Santa Catarina","Blumenau","Sulfabril - Salto Weissbach.","-49.1275","-26.8925",NA,NA,"FURB32228",NA,NA,"2002","10","-49.1275000","-26.8925000","04",NA,NA,NA
"13","2020-10-14 10:03:22-03","FURB","FURB","1878","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Sevegnani, L.",NA,"2001","06","15",NA,"Brasil",NA,NA,"Projeto EMBRAPA / FURB.","FURB32226",NA,NA,"Kausel","Sobral, M","Santa Catarina","Apiúna",NA,"-49.3897018432617","-27.0356006622314",NA,NA,"FURB32226","24893","auto","2009","07",NA,NA,"17",NA,NA,NA
"14","2019-11-08 08:53:48-03","FURB","FURB","5836","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Kalk, J.M.",NA,"2006","06","15",NA,"Brasil",NA,NA,NA,"FURB02448",NA,NA,"Kausel","Sobral, M","Santa Catarina","Indaial","Warnow Central.","-49.2317008972168","-26.8978004455566",NA,NA,"FURB02448","29534","auto","2009","07",NA,NA,"17",NA,NA,NA
