"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","individualCount","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","118614","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","handroi","Begonia handroi","Brade","Unspecified Determiner","isotype","O. Handro","s.n.","1941","10","04","South America","Brazil","São Paulo","Mairink-Santos.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00118614","NY00118614_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:59:05-03","NBC","NL-BOTANY","WAG0000286","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","handroi","Begonia handroi","Brade",NA,"isotype","Oswaldo Handro",NA,"1941","10","04","Southern America","Brazil","São Paulo","Brasil, Estado de Säo Paulo: Mairink a Santos. Cultivado no Jardim Botânico de Säo Paulo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG0000286 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG0000286","NL-WAG0000286","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:37:47-02","BGBM","B","B 10 0243035","S","Plantae",NA,NA,"Begoniaceae","Begonia","handroi","Begonia handroi","Brade",NA,"isotype","O. Handro","s.n.","1941","10","04","Middle and South America","Brazil",NA,"Estado de Sao Paulo, Mairink a Santos.",NA,"Herb. no. 48968 <a href=http://herbarium.bgbm.org/object/B100243035 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243035","B100243035",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2987052","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","handroi","Begonia handroi","Brade",NA,NA,"W. Hoehne","15366","1954","6","6","South America - Neotropics","Brazil","São Paulo","Sao paulo capital, state park",NA,NA,"US00314441","US00314441_01","Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2569979","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","handroi","Begonia handroi","Brade",NA,"Isotype","O. Handro","s.n.","1941","10","4","South America - Neotropics","Brazil","São Paulo","Mairink-Santos.",NA,NA,"US00314469","US00314469_01","Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2569962","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","handroi","Begonia handroi","Brade",NA,NA,"F. C. Hoehne","28599","1931","7","16","South America - Neotropics","Brazil","São Paulo","Mairink a santos, cultivated sao paulo botanical garden",NA,NA,"US00314443","US00314443_01","Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2569987","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","handroi","Begonia handroi","Brade",NA,NA,"F. C. Hoehne","28599","1931","7","16","South America - Neotropics","Brazil","São Paulo","Mairink a santos, cultivated sao paulo botanical garden",NA,NA,"US00314444","US00314444_01","Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2569980","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","handroi","Begonia handroi","Brade",NA,"Isotype","O. Handro","s.n.","1941","12","4","South America - Neotropics","Brazil","São Paulo","Mairink-Santos.",NA,NA,"US00314470","US00314470_01","Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:16:41-03","USP","SPF","83858","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","handroi","Begonia handroi","Brade","Silva, SJG",NA,"Handro, O","681","1956","11","30",NA,"Brasil","São Paulo","Serra do Mar",NA,NA,"SPF00083858",NA,NA,NA,"2000",NA,NA,NA,NA,NA,NA
"10","2021-03-15 18:25:37-03","USP","SPF","82121","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","handroi","Begonia handroi","Brade",NA,"isotype","Handro, O","s.n.",NA,NA,NA,NA,"Brasil","São Paulo","Mairink-Santos. Cultivada no Jardim Botânico de São Paulo.",NA,NA,"SPF00082121","SPF00082121",NA,NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA
"11","2019-10-07 09:24:03-03","UEFS","HUEFS","191241","PreservedSpecimen","Plantae","Angiospermae","Cucurbitales","Begoniaceae","Begonia","handroi","Begonia handroi","Brade",NA,NA,"Handro, O.","681","1956","11","30",NA,"Brasil","São Paulo","Serra do Mar. Piassaguéra na mata.",NA,NA,"HUEFS0191241","HUEFS0191241","Rosanae",NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA
"12","2019-11-21 10:01:48-03","IBt","SP","48968","S","Plantae",NA,NA,"Begoniaceae","Begonia","handroi","Begonia handroi","Brade","Brade, AC","Holotype","Handro, O","s.n.","1941","10","04",NA,"Brasil","São Paulo","Mairinque-Santos. Cult. no Jardim Botânico de São Paulo",NA,"Planta arbustiforme. Flores alvas","SP000038","SP000038",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 10:01:48-03","IBt","SP","48968a","Extra","Plantae",NA,NA,"Begoniaceae","Begonia","handroi","Begonia handroi","Brade","Brade, AC","Isotype","Handro, O","s.n.","1941","10","04",NA,"Brasil","São Paulo","Mairinque-Santos. Cult. no Jardim Botânico de São Paulo",NA,"Planta arbustiforme. Flores alvas","SP000039","SP000039",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 10:01:48-03","IBt","SP","56528","S","Plantae",NA,NA,"Begoniaceae","Begonia","handroi","Begonia handroi","Brade","Jacques, EL",NA,"Handro, O","856","1959","03","31",NA,"Brasil","São Paulo",NA,NA,"Folhas com a lâmina superiormente empolada. Flores alvas",NA,NA,NA,NA,"1998","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","09"
"15","2019-11-21 10:01:48-03","IBt","SP","55523","S","Plantae",NA,NA,"Begoniaceae","Begonia","handroi","Begonia handroi","Brade","Gomes da Silva, SJ",NA,"Handro, O","681","1956","11","30",NA,"Brasil","São Paulo","Serra do Mar, Rod. Piaçaguera",NA,"Na mata. Até 80cm de alt. Folhas luzidas, na face verde e no verso vinoso-avermelhada. Flores alvas",NA,NA,NA,NA,"1998","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","04"
