"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2020-09-23 10:42:48-03","E","E","176402","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","Anderson, W.R.; Stieber, M. & Kirkbride, J.H.","35706","1972","02","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:185046","<a href=http://data.rbge.org.uk/herb/E00176402 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00176402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","626253","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","A. C. Brade","s.n.","1942",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626253","Magnoliophyta","Proteales","(Schott ex Spreng.) Ducke","K. S. Edwards","Rio de Janeiro","Tijuca.","-43.274528","-22.95583","NY00626253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01021675","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","L. Riedel","s.n.","1824",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106932' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021675","Magnoliophyta","Proteales","(Schott ex Spreng.) Ducke","H. O. Sleumer","Minas Gerais","Iter ad Minas Geraes.",NA,NA,"NY01021675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01021689","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","L. Riedel","s.n.","1824",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106939' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021689","Magnoliophyta","Proteales","(Schott ex Spreng.) Ducke","H. O. Sleumer","Minas Gerais","Iter ad Minas Geraes.",NA,NA,"NY01021689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626254","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","A. F. M. Glaziou","8108",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626254","Magnoliophyta","Proteales","(Schott ex Spreng.) Ducke","K. S. Edwards","Rio de Janeiro",NA,NA,NA,"NY00626254_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","626255","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","Pessoal do Horto Florestal","s.n.","1929","03","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626255","Magnoliophyta","Proteales","(Schott ex Spreng.) Ducke","K. S. Edwards","Rio de Janeiro","Vista Chineza, perto da séde do Horto Florestal.","-43.249313","-22.973268","NY00626255_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00626403","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","W. R. Anderson","35706","1972","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626403","Magnoliophyta","Proteales","(Schott ex Spreng.) Ducke","K. S. Edwards","Minas Gerais","South eastern drainage of Pico de Itambé, about 5km directly west and north of Santo Antônio de Itambé.",NA,NA,"NY00626403_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","626256","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","Collector unspecified",NA,NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626256","Magnoliophyta","Proteales","(Schott ex Spreng.) Ducke","K. S. Edwards","Rio de Janeiro","In monte Corçovado.","-43.212076","-22.951842","NY00626256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-09-10 21:44:00-03","UNEMAT","TANG","2693","S","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","Bronholi, AZ; Souza, JR; Souza, NS; Oliveira, RA","s.n.","2014","10","03",NA,"Brasil",NA,NA,NA,"TANG000002693",NA,NA,"(Schott ex Spreng.) Ducke.","Ferneda Rocha, LC; Melo, JAM","Mato Grosso","Lote C de supressão, Resgate da flora da UHE Colider.","-55.715833","-10.973889",NA,"251","251","2015","01","12","Itaúba","-55.715833","-10.973889",NA,NA,NA,NA,NA
"10","2020-02-08 10:21:20-03","NBC","NL-BOTANY","L.1642092","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","Brade AC",NA,"1942","08","09","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1642092 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1642092",NA,"Proteales","(Schott ex Spreng.) Ducke",NA,NA,"Brasil, Rio de Janeiro, Pico da Tijuca.",NA,NA,"NL-L1642092",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"11","2020-02-08 10:21:20-03","NBC","NL-BOTANY","L.1642093","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","Kuhlmann JG",NA,"1933","08","11","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1642093 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1642093",NA,"Proteales","(Schott ex Spreng.) Ducke",NA,NA,"Brasil: Estado da Guanabara-Estrada do Sumaré.",NA,NA,"NL-L1642093",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"12","2020-02-08 10:21:20-03","NBC","NL-BOTANY","U.1532174","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","Ruhlmann JG",NA,"1925","07","18","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1532174 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1532174",NA,"Proteales","(Schott ex Spreng.) Ducke",NA,NA,"Procedencia Pico dor Fijuca prope urbem Rio de Janeiro.",NA,NA,"NL-U1532174",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"13","2020-02-08 10:21:20-03","NBC","NL-BOTANY","U.1532175","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","Ducke A",NA,"1928","05","15","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1532175 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1532175",NA,"Proteales","(Schott ex Spreng.) Ducke",NA,NA,"Procedencia Rio de Janeiro. Tijinca 600-1000m, siboula humiliore.",NA,NA,"NL-U1532175",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"14","2021-01-14 15:33:18-03","MN","R","56318","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","Glaziou, A.F.M.; Schwacke, C.A.W.","2783",NA,NA,NA,NA,"Brasil",NA,NA,"Plantae Flum. Ex Herb. Glaziou","R000056318",NA,NA,"(Schott ex Spreng.) Ducke","Edwards, K.S.","Rio de Janeiro","Gavea","-43.2075004577637","-22.9027996063232","R000056318_001",NA,NA,"1991","10",NA,"Rio de Janeiro",NA,NA,NA,"57442","auto",NA,NA
"15","2019-11-06 09:57:17-03","UFOP","OUPR","30278","PreservedSpecimen","Plantae","Proteaceae","Panopsis","multiflora","Panopsis multiflora","Badini, J.","s.n.","1980","12","18",NA,"Brasil",NA,NA,"Flores amareladas.",NA,NA,NA,"(Schott) Ducke","Roschel, M.B.","Minas Gerais","Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"2000","07",NA,"Ouro Preto",NA,NA,NA,"44599","auto",NA,NA
