"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","maximumElevationInMeters","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","order","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","01914161","PreservedSpecimen","Plantae","Bryophyta","Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis","(Mont.) Reimers","H. J. O. Reimers","A. Hollermayer","71a","1923","09","20","South America","Chile","Los Lagos","Valdivia. Panguipulli","-72.33","-39.63","180","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142770' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914161","NY01914161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1010742","PreservedSpecimen","Plantae","Bryophyta","Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis","(Mont.) Reimers","R. R. Ireland, Jr.","R. R. Ireland, Jr.","31894","2001","09","25","South America","Chile","Bío-Bío","Caracol Hill","-73.03","-36.82","250","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086194' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010742",NA,"Concepción","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01914164","PreservedSpecimen","Plantae","Bryophyta","Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis","(Mont.) Reimers",NA,"R. E. Schultes","11451","1951","03","04","South America","Colombia","Cundinamarca",NA,"-74.03","5.0261","2450","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142773' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914164","NY01914164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01914169","PreservedSpecimen","Plantae","Bryophyta","Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis","(Mont.) Reimers","R. R. Ireland, Jr.","R. R. Ireland, Jr.","33816","2001","11","14","South America","Chile","Bío-Bío","road from Los Cambuchos to Arana","-73.5","-37.53","210","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142778' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914169","NY01914169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1076974","PreservedSpecimen","Plantae","Bryophyta","Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis","(Mont.) Reimers","M. J. Cano; J. A. Jiménez","M. J. Cano","3884","2007","08","16","South America","Bolivia","La Paz","pr. Choquekkota, mina San Francisco","-67.8942","-16.4853","4285","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207119' target='other'> <mi>dwc_moreinfo</mi></a>","NY01076974",NA,NA,"4285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01914140","PreservedSpecimen","Plantae","Bryophyta","Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis","(Mont.) Reimers","W. C. Steere","W. C. Steere","27548","1984","10","09","South America","Ecuador","Carchi","Páramo de El Angel, old Tulcán-El Angel road ca. 20 km N of El Angel",NA,NA,"3630","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142748' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914140","NY01914140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01914168","PreservedSpecimen","Plantae","Bryophyta","Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis","(Mont.) Reimers","R. R. Ireland, Jr.","R. R. Ireland, Jr.","33432","2001","11","08","South America","Chile","Bío-Bío","Huilquihue","-73.23","-37.88","540","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142777' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914168","NY01914168_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 12:00:00-03","NY","NYBG","01914151","PreservedSpecimen","Plantae","Bryophyta","Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis",NA,"R. R. Ireland, Jr.","R. R. Ireland, Jr.","34343","2002","11","14","South America","Chile","Bío-Bío","Queco River, 400 m N from Ralco","-71.63","-37.85","500","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142760' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914151","NY01914151_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01914130","PreservedSpecimen","Plantae","Bryophyta","Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis","(Mont.) Reimers","S. P. Churchill","B. R. Ramírez Padilla","3234","1991","03","14","South America","Colombia","Nariño","Km 16 Pasto-Chachagüí, La Josefina","-77.5","0.92","2640","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142738' target='other'> <mi>dwc_moreinfo</mi></a>","NY01914130","NY01914130_01","Pasto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01288716","PreservedSpecimen","Plantae","Bryophyta","Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis","(Mont.) Reimers","J. Jiménez","R. R. Ireland, Jr.","32976","2001","10","29","South America","Chile","Bío-Bío","Region VIII: San Alfonso Farm.","-73.15","-37.7","770","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1533447' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
