"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","605654","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","leucophylla","Rhynchosia leucophylla","Benth.","J. W. Grear","G. G. Hatschbach","38687","1976","05","16","South America","Brazil","Mato Grosso do Sul","Dourados","Rio Dourados","-54.8056","-22.2211","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=430778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605654","NY00605654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","26947","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","leucophylla","Rhynchosia leucophylla elliptica","Chodat & Hassl.",NA,"E. Hassler","5620",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00026947","NY00026947_01","elliptica","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","605655","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","leucophylla","Rhynchosia leucophylla","Benth.","R. C. Barneby","J. Mattos","15127","1967","11","14","South America","Brazil","São Paulo","Capao Bonito","No parque florestal Getulio Vargas.","-48.34","-24","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=430777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605655","NY00605655_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","26948","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","leucophylla","Rhynchosia leucophylla pubescens","Hassl. & Chodat",NA,"E. Hassler","5621",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=107790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00026948","NY00026948_01","pubescens","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:29:48-03","UNESP-IBB","BOTU","32222","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Rhynchosia","leucophylla","Rhynchosia leucophylla","(Benth.) Benth.","Cristaldo, A.C.M.","Vargas, W.","10","2012","04","26",NA,"Brasil","Mato Grosso do Sul","Bela Vista","Lado direito da BR 267 (sentido Porto Murtinho)","-56.661389","-21.589444",NA,NA,"BOTU032222",NA,NA,NA,"2012","05","09","56°39'41w","21°35'22s",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:14:29-03","NBC","NL-BOTANY","WAG.1041564","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","leucophylla","Rhynchosia leucophylla","Benth.",NA,"Hatschbach GG",NA,"1976","05","16","Southern America","Brazil",NA,NA,"Rio Dourado (mun. Dourados) Mato Grosso.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1041564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1041564","NL-WAG1041564",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:30:13-03","MN","R","220686","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Rhynchosia","leucophylla","Rhynchosia leucophylla","Benth.","Cristaldo, A.C.M.","Pott, A.","13735","2005","12","08",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho",NA,"-56.765556","-21.2125",NA,NA,NA,NA,NA,NA,"2007","05","23","56º45'56W","21º12'45S",NA,"555","555",NA,NA,NA,NA
"8","2019-11-21 14:37:07-03","UFJF","CESJ","35710","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Rhynchosia","leucophylla","Rhynchosia leucophylla","Benth.","H.C. Lima","D.S. Pifano; R.M. Castro","199","2001","11","30","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,"Liana à 1,5 m, na beira da estrada que corta a mata em local de meia luz. Flores de corola branca e amarela.","CESJ035710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11991","auto",NA,NA
"9","2019-11-21 14:37:07-03","UFJF","CESJ","40388","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Rhynchosia","leucophylla","Rhynchosia leucophylla","Benth.","A.V. Lopes","D.S. Pifano; R.M. Castro; P.O. Garcia","456","2003","02","11","América do Sul","Brasil","Minas Gerais","São João Nepomuceno","Serra dos Núcleos - Fazenda Primavera","-43.0106010437012","-21.5400009155273",NA,"Liana ca. 1.5 m do solo em local de meia luz. Frutos imaturos verdes e maduros pardos. Sementes vermelhas e pretas.","CESJ040388",NA,NA,NA,"2003","03","28",NA,NA,NA,NA,NA,"20981","auto",NA,NA
"10","2021-04-07 11:44:38-03","UFMS","CGMS","47980","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Rhynchosia","leucophylla","Rhynchosia leucophylla","Benth.","A.C.M. Cristaldo","V.J. Pott; A. Pott; S.N. Moreira","9598","2007","08","25",NA,"Brasil","Mato Grosso do Sul","Bela Vista","BR-267, KM 537, 61Km SW de Jardim para Porto Murtinho.","-56.6605556","-21.5883333",NA,"Papilionoideae. Folha discolor. Lado inferior cinza. Habitat: Campo herbáceo natural com Elyonurus muticus (campim-carona). Habito: Erva ereta.","CGMS1077938",NA,NA,NA,"2014","10","02","-56,6605556","-21,5883333",NA,"425","425",NA,NA,NA,NA
