"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","803880","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonia","westermanii","Vernonia westermanii","Ekman & Dusén","isotype","P. K. H. Dusén","16400","1915","01","15","South America","Brazil","Paraná","Jaguariaíva.","730","730","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803880","NY00803880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","803881","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonia","westermanii","Vernonia westermanii","Ekman & Dusén","isotype","P. K. H. Dusén","16400","1915","01","15","South America","Brazil","Paraná","Jaguariaíva.","730","730","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803881","NY00803881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:23-03","UFRJ","RFA","6446","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","westermanii","Vernonia westermanii","Ekman & Dusen ex Malme",NA,"E. Pereira","5255","1960","02","10",NA,"Brasil","Paraná","Vila Velha",NA,NA,NA,"Subarbusto; flor lilas","RFA26090",NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-16 17:50:54-03","UCS","HUCS","39970","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Lessingianthus","westermanii","Lessingianthus westermanii","(Ekman & Dusén ex Malme) H. Rob.",NA,"Brotto, M.L.","938","2013","02","15",NA,"Brasil","Paraná","Fazenda Nova",NA,NA,NA,"Herbario MBM; Campo limpo",NA,NA,"Piraí do Sul","-49.855764","-24.398889",NA,NA,"Brotto, M.L.; Barboza","2013","02","18","-49.855764","-24.398889",NA,NA,NA,NA
"5","2019-12-26 15:11:31-03","UFSM","SMDB","19319","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","westermani","Lessingianthus westermani","(Ekman & Dusén ex Malme) H. Rob.",NA,"Brotto, ML; Barboza, E","938","2013","02","15",NA,"Brasil","Paraná","Fazenda Nova Era",NA,NA,NA,"Arbusto, 1,2 m, capítulos vinosos. Estepe Gramíneo-Lenhosa (campo limpo)","SMDB019319",NA,"Piraí do Sul","-49.855764","-24.398889",NA,NA,"Barboza, E; Brotto, ML","2013","02","18","-49.855764","-24.398889",NA,NA,NA,NA
"6","2020-12-21 16:16:28-03","MBM","MBM","251657","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","westermanii","Lessingianthus westermanii","(Ekman & Dusén ex Malme) H. Rob.",NA,"Johnsson, G.","448","1914","05","26","Southern America","Brazil","Paraná","Jaguariaíva",NA,NA,NA,NA,"MBM251657",NA,"Jaguariaíva","-49.7057991027832","-24.2511005401611","44368","auto","Barroso, G.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:16:28-03","MBM","MBM","113674","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","westermanii","Lessingianthus westermanii","(Ekman & Dusén ex Malme) H. Rob.",NA,"Hatschbach, G.; Souza, A.; Souza, A.","50900","1987","02","18","Southern America","Brazil","Paraná","Rio Cilada",NA,NA,NA,NA,"MBM113674","MBM113674","Jaguariaíva","-49.7057991027832","-24.2511005401611","44368","auto","Dematteis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:16:28-03","MBM","MBM","113675","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","westermanii","Lessingianthus westermanii","(Ekman & Dusén ex Malme) H. Rob.",NA,"Hatschbach, G.; Souza, A.; Souza, A.","50904","1987","02","18","Southern America","Brazil","Paraná","Rio Cilada",NA,NA,NA,NA,"MBM113675","MBM113675","Jaguariaíva","-49.7057991027832","-24.2511005401611","44368","auto","Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2011-02-17 08:48:00-02","MO","MOBOT","2696966","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","westermanii","Vernonia westermanii","Ekman & Dusén ex Malme","Type","Per Dusén","Dusén 16400","1915","1","15","South America","Brazil","Paraná","Jaguarica hyva ad marginem silvulae paludosae.","740.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","1481778","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","westermanii","Lessingianthus westermanii","(Ekman & Dusén) H. Rob.",NA,"P. K. Dusén","16400","1915","1","15","South America","Brazil","Paraná","Jaguariohyra, in Silvula","730",NA,NA,NA,"US01631394","US01631394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"11","2020-09-12 05:00:02-03","US","US","3062451","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","westermanii","Lessingianthus westermanii","(Ekman & Dusén) H. Rob.",NA,"G. Hatschbach & A. Souza","50904","1987","2","18","South America","Brazil","Paraná","Rio Ciladad (Mun. Jaguariaiva)",NA,NA,NA,NA,"US01631393","US01631393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"12","2020-09-12 05:00:02-03","US","US","1473914","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonia","westermanii","Vernonia westermanii","Ekman & Dusén ex Malme","Syntype","P. K. Dusén","16400","1915","1","15","South America","Brazil","Paraná","Jaguariahyba.","730","730",NA,NA,"US00147387","US00147387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"13","2019-09-04 19:36:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Vernonia","westermanii","Vernonia westermanii",NA,"Type [status unknown]","P. Dusén","16400",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"14","2019-07-02 15:55:02-03","UEM","HUEM","24500","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","westermanii","Lessingianthus westermanii","(Ekman & Dusén ex Malme) H.Rob.",NA,"C.H.Voltolini","51","2015","03","01",NA,"Brasil","Paraná","Parque Estadual de Vila Velha",NA,NA,NA,"Flor coloração lilás.","HUEM000001556","HUEM000001556","Ponta Grossa","-49.988786","-25.239475",NA,NA,"J.N.Nakajima","2015","04","17","-49.988786","-25.239475",NA,NA,NA,NA
