"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","yearIdentified","monthIdentified","typeStatus","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","533109","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Cunoniaceae","Lamanonia","ulei","Lamanonia ulei","(Engl.) L.B.Sm.","T. C. Plowman","T. C. Plowman","12870","1983","02","22","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Santa Maria Madalena. Pedra Dubois.","-42.02","-21.97","900","1195","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533109","NY00533109_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:21:44-03","MBM","MBM","151324","PreservedSpecimen","Plantae",NA,NA,"Cunoniaceae","Lamanonia","ulei","Lamanonia ulei","(Engl.) L.B.Sm.","Smith, S.F.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","55459","1991","06","14","Southern America","Brazil","Minas Gerais","Caparaó","Parque Nacional do Caparaó, próximo a Cachoeira Bonita","-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"MBM151324","MBM151324","15056","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-05 09:22:16-03","MNHN","RECOLNAT_MNHN_P","P05616955","PreservedSpecimen",NA,NA,NA,"Cunoniaceae","Lamanonia","ulei","Lamanonia ulei","(Engl.) L.B.Sm.","Fortune-Hopkins","Saint-Hilaire",NA,"1816","1","1",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05616955' target='other'> <mi>dwc_moreinfo</mi></a>","P05616955","P05616955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-30 17:35:02-03","MBML","MBML-HERBARIO","52534",NA,"Plantae",NA,NA,"Cunoniaceae","Lamanonia","ulei","Lamanonia ulei","(Engl.) L.B.Sm.","Zorzanelli, JPF - 18/11/2020","A. P. Fontana; K.A. Brahim, L.N. Lima & W. Pertel","3375","2007","05","18",NA,"Brasil","Espírito Santo","Afonso Cláudio","Serra Pelada. Pedra dos Três Pontões. Inselbergue.","-41.037111","-20.076167","1078","1078",NA,"Árvore, ca. 7m. Frutos secos. Projeto CORES-JBRJ.","MBML052534","MBML052534",NA,NA,"41W2'13,6","20S4'34,2",NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3266727","PreservedSpecimen","Plantae",NA,"Rosales","Cunoniaceae","Lamanonia","ulei","Lamanonia ulei","(Engl.) L.B. Sm.",NA,"G. Hatschbach, M. M. Hatschbach & J. M. Silva","55459","1991","6","14","South America - Neotropics","Brazil","Caparaó",NA,"Parque Nacioanal do Caparaó, próximo a Cachoeira Bonita",NA,NA,NA,NA,NA,NA,"US01351743","US01351743_01",NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA
"6","2019-10-07 09:36:15-03","UEFS","HUEFS","166662","PreservedSpecimen","Plantae","Angiospermae","Oxalidales","Cunoniaceae","Lamanonia","ulei","Lamanonia ulei","(Engl.) L.B.Sm.","F.Santos-Silva","Moraes, M.A.","151",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Petrópolis","Vale das Videiras, Serra da Maria Comprida, Morro do Cuca.","-43.1786003112793","-22.5049991607666","1500","1500",NA,NA,"HUEFS0166662","HUEFS0166662 HUEFS0166662_e1","36524","auto",NA,NA,"Rosanae",NA,"2018","08",NA,NA
"7","2019-09-04 19:26:13-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Cunoniaceae","Belangera","ulei","Belangera ulei",NA,NA,"E. H. G. Ule","4551","1898","1",NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,"Type [status unknown]",NA
"8","2016-07-18 09:27:43-03","F","FMNH-SEEDPLANTS","V0334489F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Cunoniaceae","Lamanonia","ulei","Lamanonia ulei",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0334489F","V0334489F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"9","2014-10-09 13:58:17-03","UHH","HBG","506927","S","Plantae",NA,NA,"Cunoniaceae","Belangera","ulei","Belangera ulei","Engl.","HBG-formal name entry","Ule, E.","4551","1898","01","17","South America","Brazil",NA,NA,"kleiner Baum auf der Pedra do Conico, Nova Friburgo",NA,NA,"1300","1300",NA,"Herb. E. Ule NEOTROP","HBG506927","HBG506927",NA,NA,NA,NA,NA,NA,"2009","07","Isotype","09"
