"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","individualCount","continentOcean","preparationType","barcode","imagecode","class","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2492","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","cf. glutinosa","Barbacenia cf. glutinosa","Goethart & Henrard","Carlos A. Ferreira Jr.","2013","02","01","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","caf","2013","01","29","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço & Ermo de Minas,Base do Pico Por do Sol.","-43.7144012451172","-19.1688995361328","19º 01' 33S","43º 43' 12W","26557","1323","1323","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2434","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","glutinosa","Barbacenia glutinosa","Goethart & Henrard","Carlos A. Ferreira Jr.","2012","11","29","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","CAF","2012","11","29","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, campo de quartzo branco na descida para o posso da rainha por tras do Pico Por do Sol","-43.7144012451172","-19.1688995361328","19º 01' 23 S","43º 43' 22 W","26557","1349","1349","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2491","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","glutinosa","Barbacenia glutinosa","Goethart & Henrard","Carlos A. Ferreira Jr.","2013","02","01","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","caf","2013","01","29","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço & Ermo de Minas,Base do Pico Por do Sol.","-43.7144012451172","-19.1688995361328","19º 01' 33S","43º 43' 12W","26557","1323","1323","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2432","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","glutinosa","Barbacenia glutinosa","Goethart & Henrard","Carlos A. Ferreira Jr.","2012","11","29","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","CAF","2012","11","29","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais, campo de quartzo branco na descida para o posso da rainha por tras do Pico Por do Sol","-43.7144012451172","-19.1688995361328","19º 01' 23 S","43º 43' 22W","26557","1349","1349","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2529","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","glutinosa","Barbacenia glutinosa","Goethart & Henrard","Carlos A. Ferreira Jr.","2013","02","01","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","CAF1059","2013","01","31","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço & Ermo de Minas, margem do corrego Ventania abaixa da estrada na frete da Casa Sede.","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,"254","auto","1",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","898651","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","glutinosa","Barbacenia glutinosa","Goethart & Henrard","R. de Mello-Silva",NA,NA,NA,"J. R. Pirani","4129","1998","03","02","Brazil","Minas Gerais","Congonhas do Norte","Serra da Carapina (Serra Talhada), setor N da Serra do Cipó.","-43.7258","-18.8817",NA,NA,NA,"1220","1220","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=976614' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00898651","NY00898651_01",NA,NA,NA
"7","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L 0041291","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","glutinosa","Barbacenia glutinosa","Goethart & Henrard","Mello-Silva R de","2007","04","20","Riedel L",NA,"1824","11","01","Brazil",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200041291 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-L0041291","NL-L0041291","Magnoliopsidae","type","93747337"
"8","2020-12-21 16:46:47-03","MBM","MBM","230223","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","glutinosa","Barbacenia glutinosa","Goethart & Henrard","Mello-Silva, R.",NA,NA,NA,"Pirani, J.R.; et al.; et al.","4129",NA,NA,NA,"Brazil","Minas Gerais","Congonhas do Norte","Serra da Carapina","-43.6814002990723","-18.8071994781494",NA,NA,"30386",NA,NA,NA,"auto",NA,"Southern America",NA,"MBM230223","MBM230223",NA,NA,NA
"9","2020-12-11 11:45:25-03","UFMG","BHCB","186809","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","glutinosa","Barbacenia glutinosa","Goethart & Henrard",NA,"2017","02","14","Rocha, MJR; Oliveira, CT","1328","2017","01","24","Brasil","Minas Gerais","Itambé do Mato Dentro",NA,"-43.271667","-19.4175","-43.271667","-19.4175",NA,NA,NA,NA,NA,NA,"Southern America",NA,"BHCB186809",NA,NA,NA,NA
"10","2019-06-10 10:11:44-03","FZB-BH","BHZB","9693","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","glutinosa","Barbacenia glutinosa",NA,"Renato Mello -Silva","2015","12",NA,"Ferreira Junior, C.A. et al.","849","2012","11","29","Brasil","MG","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo do Gerais","-43.717222","-19.033056","43W 43' 02","19S 01' 59",NA,"1355","1355","Ponto 103, 635004 7895005 1355m , Planta pilosa. ,com duplicata. Doação de duplicata para Herbario SPF em março 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA
