"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","typeStatus","individualCount"
"1","2021-04-05 14:34:14-03","UNESC","CRI","10061","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R.Sm.","A. L. de Gasper","2010","04","13","A. Korte; A. Kniess","1685","2010","02","05","Brasil","Santa Catarina","Santa Terezinha","Nova Esperança.","-49.950556","-26.730278","49º57'2''W","26º43'49''S","535","535","Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa Habito: erva terrícola","CRI008412","CRI008412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","920226","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R.Sm.","A. Salino",NA,NA,NA,"H. S. Irwin","19724","1968","02","10","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.73","-20.28",NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00920226","NY00920226_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","816017","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R.Sm.","A. Salino",NA,NA,NA,"A. C. Brade","17224","1942","03","14","Brazil","Rio de Janeiro","Itatiaia","Lote 17","-44.65833","-22.358",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816017","NY00816017_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","816016","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R.Sm.","A. Salino",NA,NA,NA,"A. C. Brade","17224","1942","03","14","Brazil","Rio de Janeiro","Itatiaia","Lote 17","-44.65833","-22.358",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816016","NY00816016_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:22-03","PUCPR","HUCP","24238","S","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & Almeida","Michelon, C",NA,NA,NA,"Michelon, C","1270","2012","02","15","Brasil","Paraná","Telêmaco Borba",NA,"-50.6156005859375","-24.3239002227783",NA,NA,NA,NA,NA,"HUCP00002036","HUCP00002036","Monilofita",NA,NA,NA,"35037","auto",NA,NA,NA,NA,NA
"6","2019-12-04 15:26:22-03","PUCPR","HUCP","21333","S","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & Almeida","Michelon, C",NA,NA,NA,"Michelon, C; Selusniaki, M","541/2851","2009","10","09","Brasil","Paraná","Balsa Nova","Tamanduá","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,NA,"HUCP00002610","HUCP00002610","Monilofita",NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA
"7","2019-12-04 15:26:22-03","PUCPR","HUCP","24143","S","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & Almeida","Kersten, RA",NA,NA,NA,"Michelon, C","1134","2011","07","14","Brasil","Paraná","Tibagi",NA,"-50.4136009216309","-24.5093994140625",NA,NA,NA,NA,NA,"HUCP00002027","HUCP00002027","Monilofita",NA,NA,NA,"56988","auto",NA,NA,NA,NA,NA
"8","2019-12-19 08:08:27-03","FPS","FPS","4087","MachineObservation","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","Gasper, A.L. de","2019","11","18","Schwirkowski, P.","3510","2019","10","05","Brasil","Santa Catarina","São Bento do Sul","Rio Natal","-49.275772","-26.360053","-49.275772","-26.360053",NA,NA,NA,"FPS04087,FURB65403","FPS04087_v01 FPS04087_v02 FPS04087_v03 FPS04087_v04 FPS04087_v05 FPS04087_v06 FPS04087_v07 FPS04087_v08 FPS04087_v09 FURB65403",NA,NA,NA,NA,NA,NA,"voucher","FURB 65403",NA,NA,NA
"9","2019-08-27 13:36:34-03","IAP","PACA-AGP","77545","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A. R. Sm.","M. Ponce","1995",NA,NA,"Hatschbach, G.","24677","1970","09","10","Brasil","PR","Campina Grande do Sul","Jaguatirica","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"Habitat: orla da mata pluvial","PACA077545",NA,"Pteridophyta","Polypodiales",NA,NA,"55154","auto",NA,NA,"Filicopsida",NA,NA
"10","2019-08-27 13:36:34-03","IAP","PACA-AGP","77547","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A. R. Sm.","M. Ponce","1995",NA,NA,NA,NA,"1963","11","30","Brasil","PR","Palmeira das Missões","Rodovia do Cafe - Rio Tibagi",NA,NA,NA,NA,"780","780","Habitat: de capao Hábito: terrícola","PACA077547",NA,"Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,"Filicopsida",NA,NA
